Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Name_Complexity,Hiring_Decision
Male,White,25,Masters,8.2,81.6,71.8,3.1,Suburban,51.4,1,1
Male,Asian,28,Bachelors,4.5,54.4,49.8,1.0,Urban,8.5,3,0
Male,Black,27,High School,3.7,85.2,47.0,1.0,Suburban,80.7,1,0
Male,White,43,Bachelors,2.6,51.2,26.6,3.0,Rural,60.6,3,0
Female,Black,44,PhD,3.3,94.8,60.1,1.0,Rural,51.6,3,0
Female,Black,39,Bachelors,4.8,57.0,85.3,1.8,Urban,93.9,1,0
Female,White,46,Bachelors,3.0,59.9,35.3,3.7,Rural,75.9,1,0
Female,Hispanic,23,Bachelors,5.6,41.4,31.6,1.7,Rural,70.7,3,0
Male,Hispanic,51,Bachelors,9.8,64.9,21.7,2.1,Suburban,20.7,3,0
Female,Asian,50,Masters,0.9,66.8,36.9,4.2,Suburban,86.8,3,0
Male,Black,42,Bachelors,3.0,82.1,69.4,2.0,Urban,70.9,4,0
Male,Black,52,High School,2.6,79.6,17.0,4.8,Suburban,54.6,2,0
Male,Asian,22,High School,6.7,72.4,39.6,1.0,Suburban,87.0,4,1
Male,Black,29,Bachelors,1.4,46.1,38.9,2.7,Urban,18.3,2,0
Male,White,27,PhD,6.2,100.0,55.1,3.1,Urban,25.8,1,0
Male,Black,42,Bachelors,10.4,31.1,44.2,3.9,Urban,59.2,1,0
Female,Hispanic,24,Masters,2.4,49.9,36.2,1.0,Rural,24.9,3,0
Male,Black,42,Masters,12.0,66.7,13.6,1.0,Suburban,48.2,1,0
Male,White,48,High School,25.0,71.8,27.2,1.3,Urban,69.6,1,1
Male,Asian,41,High School,0.6,44.7,20.4,4.2,Rural,45.8,3,0
Male,White,37,High School,1.6,72.0,70.8,2.4,Suburban,33.9,2,0
Female,White,25,Masters,16.5,24.9,25.1,4.3,Rural,94.2,2,1
Male,White,26,High School,19.2,100.0,54.3,2.1,Urban,9.6,4,1
Female,White,47,Bachelors,0.6,48.2,54.7,1.3,Suburban,81.6,2,0
Female,Asian,42,Bachelors,0.1,89.2,89.2,1.1,Suburban,41.6,4,0
Male,Black,34,Masters,0.9,27.5,72.5,1.9,Urban,63.3,1,0
Male,White,30,High School,25.0,21.7,49.7,4.6,Urban,71.1,1,1
Female,Hispanic,22,Bachelors,0.9,91.8,26.3,1.9,Urban,69.9,3,0
Female,Hispanic,24,Bachelors,3.1,27.8,46.1,4.1,Suburban,47.9,3,0
Female,Hispanic,54,Bachelors,8.5,81.3,46.5,1.0,Urban,66.7,3,0
Female,White,22,Masters,0.1,85.0,22.7,3.2,Urban,90.3,2,0
Male,Black,36,High School,4.6,35.0,34.6,2.9,Urban,69.2,4,0
Male,Hispanic,45,Masters,1.6,89.2,53.2,1.4,Urban,62.6,3,0
Male,Asian,22,Masters,11.5,75.8,0.0,1.3,Rural,49.4,4,0
Female,White,36,Bachelors,1.8,93.1,36.1,2.0,Urban,80.1,3,0
Male,White,44,Masters,7.0,61.7,80.0,1.2,Suburban,62.2,1,1
Male,Black,35,Bachelors,5.6,42.3,68.2,3.3,Urban,55.4,1,0
Male,Hispanic,63,High School,1.2,67.4,51.0,4.9,Urban,44.6,3,0
Male,Black,22,Masters,0.2,95.2,66.1,3.3,Rural,91.2,1,0
Male,Black,45,Bachelors,2.6,63.1,18.6,2.5,Rural,56.8,2,0
Female,White,33,Masters,1.9,100.0,55.4,1.3,Urban,24.2,3,0
Male,Asian,42,Bachelors,9.6,84.0,20.7,1.5,Urban,82.7,4,1
Female,Hispanic,39,PhD,7.3,97.8,69.6,4.2,Urban,25.4,3,0
Male,White,27,Bachelors,3.7,100.0,49.8,2.7,Urban,70.1,2,1
Male,Asian,37,High School,5.4,93.2,84.8,2.6,Suburban,77.5,3,1
Female,Hispanic,22,Bachelors,4.2,77.2,9.3,3.1,Urban,15.1,3,0
Female,White,41,Masters,9.7,36.3,30.9,1.8,Suburban,53.2,1,0
Male,Black,37,Masters,2.7,100.0,74.6,1.0,Suburban,94.3,1,1
Female,White,41,Bachelors,1.8,48.4,46.3,3.5,Urban,68.4,2,0
Male,Asian,45,Masters,1.8,64.1,47.3,2.2,Suburban,91.8,3,1
Male,Black,38,Bachelors,3.8,52.5,68.5,4.1,Rural,63.3,1,0
Male,Asian,36,Bachelors,3.4,54.6,38.9,1.9,Suburban,92.5,4,1
Male,Asian,26,Masters,3.3,51.5,14.3,1.6,Rural,49.2,4,0
Male,White,27,Masters,0.6,77.7,32.0,1.5,Suburban,75.6,4,0
Male,Hispanic,46,Masters,6.3,50.4,21.0,3.2,Suburban,51.3,3,0
Male,Black,49,Masters,1.2,68.0,71.2,1.6,Rural,28.3,1,0
Male,White,32,High School,1.3,80.4,75.3,2.7,Suburban,84.0,1,1
Male,Asian,35,Masters,3.1,35.1,18.9,2.1,Suburban,84.2,3,0
Female,Asian,25,Bachelors,1.4,97.4,25.1,2.0,Urban,64.4,3,0
Male,White,46,High School,5.3,53.8,80.0,1.5,Rural,97.0,2,1
Male,Hispanic,41,High School,2.3,50.1,38.5,2.1,Urban,44.5,3,0
Female,Hispanic,54,Bachelors,2.7,76.8,62.1,1.0,Urban,23.6,3,0
Male,White,26,Bachelors,4.7,46.3,45.8,2.9,Suburban,91.3,1,1
Male,Hispanic,31,Bachelors,1.1,50.1,49.0,2.4,Suburban,95.9,3,0
Male,White,37,High School,1.0,65.2,60.2,1.5,Suburban,82.3,1,1
Male,White,41,Bachelors,12.8,75.2,100.0,2.4,Suburban,93.0,2,1
Female,White,32,Bachelors,3.1,57.2,25.8,2.4,Urban,65.8,1,0
Female,Hispanic,26,Bachelors,2.4,57.1,87.1,1.0,Rural,21.7,3,0
Male,Asian,43,Bachelors,0.2,29.8,81.1,5.0,Suburban,95.7,4,0
Female,White,42,Masters,3.8,50.0,54.4,1.3,Rural,31.3,3,0
Female,Black,25,Masters,3.6,48.3,60.8,2.7,Urban,57.2,1,0
Male,Asian,48,Masters,4.7,93.7,34.6,1.1,Suburban,85.1,3,1
Female,White,46,Bachelors,6.8,53.1,66.5,3.6,Suburban,79.9,1,0
Male,Hispanic,36,Masters,1.0,65.6,17.3,3.6,Urban,51.7,3,0
Female,Hispanic,35,High School,1.3,68.9,55.9,2.2,Rural,40.8,4,0
Female,Black,40,High School,7.5,48.1,65.2,4.4,Urban,43.9,1,0
Male,Hispanic,26,Bachelors,14.6,47.7,63.0,1.0,Suburban,49.1,4,1
Male,Black,35,Masters,0.7,65.2,44.7,1.0,Suburban,32.8,3,0
Male,Hispanic,22,High School,3.4,82.5,5.1,2.2,Suburban,53.1,3,0
Male,Asian,43,High School,1.4,76.2,83.6,2.0,Suburban,34.2,3,0
Female,Asian,22,High School,0.3,87.5,56.9,2.4,Urban,67.2,3,0
Female,White,50,Masters,2.2,100.0,50.6,2.3,Suburban,32.2,1,0
Male,Hispanic,31,Masters,0.8,60.8,43.8,2.3,Urban,36.8,3,0
Male,Black,32,Bachelors,6.1,68.1,97.7,2.5,Urban,50.2,1,0
Male,White,28,Bachelors,4.6,79.2,38.4,1.0,Urban,45.4,1,0
Male,White,32,Bachelors,0.9,44.5,53.3,1.4,Urban,80.1,1,0
Male,Black,49,Masters,0.0,75.7,45.6,1.9,Suburban,73.6,1,0
Male,Black,22,High School,8.2,55.8,60.4,1.9,Rural,68.1,2,0
Female,Asian,47,Masters,1.0,68.3,54.0,1.4,Urban,83.3,3,0
Male,Hispanic,38,Bachelors,4.6,64.9,78.8,1.0,Urban,49.3,3,0
Male,White,22,Masters,2.5,77.6,66.4,1.9,Urban,94.1,2,1
Female,Asian,24,High School,4.6,62.0,32.4,1.0,Suburban,26.3,3,0
Male,White,51,Bachelors,2.3,84.0,28.8,4.2,Urban,100.0,1,1
Female,Hispanic,25,Bachelors,0.4,39.1,39.0,1.0,Urban,65.7,4,0
Female,Hispanic,23,Bachelors,1.1,64.3,59.2,1.3,Suburban,10.3,3,0
Male,Black,46,High School,1.0,69.8,43.1,2.1,Urban,19.7,1,0
Male,Asian,38,Masters,3.2,80.1,33.9,5.0,Urban,76.9,3,1
Male,White,25,High School,6.5,43.5,71.8,3.4,Urban,27.9,2,0
Male,Black,37,Masters,1.5,96.2,79.2,1.8,Urban,21.4,2,0
Male,Hispanic,24,Masters,0.1,45.7,8.2,1.0,Urban,50.2,3,0
Male,Black,46,Bachelors,3.6,93.9,0.9,1.5,Suburban,23.0,1,0
Male,White,45,Masters,5.6,74.5,60.1,1.1,Urban,85.2,3,1
Male,Black,40,Masters,16.3,68.4,24.1,2.9,Urban,48.0,2,1
Male,Hispanic,38,Bachelors,4.4,56.1,26.3,1.6,Urban,23.0,3,0
Female,White,52,Masters,3.5,94.6,61.2,1.4,Suburban,31.7,1,0
Male,White,34,Bachelors,5.2,42.3,76.5,1.2,Rural,65.9,1,0
Male,Asian,23,Bachelors,15.2,88.8,73.8,3.1,Suburban,55.4,4,1
Male,Hispanic,39,Masters,8.7,33.4,38.4,2.2,Suburban,29.8,3,0
Female,White,55,Bachelors,2.1,84.0,69.0,3.6,Suburban,57.6,1,0
Male,White,24,Bachelors,1.6,75.0,29.5,1.2,Urban,50.6,2,0
Male,White,31,Bachelors,1.8,48.2,38.1,2.6,Urban,100.0,2,1
Female,White,39,Masters,3.9,30.8,55.4,1.4,Urban,100.0,1,0
Male,Black,34,PhD,6.7,42.0,20.6,1.1,Urban,60.2,1,0
Female,Asian,25,Bachelors,3.7,44.3,58.1,2.8,Urban,21.0,3,0
Male,Asian,46,Masters,0.4,100.0,72.4,3.8,Suburban,55.9,3,0
Male,Asian,58,PhD,7.4,78.4,22.0,1.7,Urban,77.3,4,0
Male,White,36,High School,9.9,44.4,40.3,3.3,Rural,43.4,4,1
Male,Hispanic,25,High School,1.7,89.1,62.6,2.8,Rural,44.3,4,0
Male,Black,22,Masters,5.4,82.9,81.8,1.8,Rural,68.8,1,1
Female,Hispanic,37,Masters,2.5,52.3,59.6,3.8,Urban,66.6,4,0
Male,Asian,46,Masters,12.7,57.1,82.4,1.9,Rural,64.8,3,1
Male,White,39,Bachelors,11.3,61.7,36.7,3.6,Rural,52.8,4,1
Male,Asian,34,High School,4.3,71.7,46.1,2.3,Rural,69.5,3,1
Male,White,29,Bachelors,7.1,39.6,30.0,1.9,Suburban,87.6,2,1
Male,Asian,24,High School,12.4,80.0,25.8,4.0,Suburban,93.4,4,1
Male,White,43,Bachelors,4.1,79.9,75.5,1.0,Urban,99.3,2,1
Male,White,44,Masters,2.3,76.1,50.8,1.7,Urban,100.0,2,1
Male,Hispanic,22,High School,6.9,42.3,77.8,4.1,Urban,47.2,3,0
Male,White,50,Masters,1.5,67.6,63.5,4.3,Rural,69.4,1,1
Male,Hispanic,40,Bachelors,2.4,62.3,82.2,2.4,Urban,85.8,4,0
Male,White,48,Bachelors,12.1,49.3,52.1,1.7,Urban,77.3,1,1
Male,Asian,22,High School,7.4,27.8,77.6,3.1,Rural,44.4,3,0
Female,Asian,22,Bachelors,2.7,98.6,73.9,1.1,Urban,67.1,4,0
Male,Black,33,High School,1.2,72.5,44.2,1.8,Rural,60.8,2,0
Male,White,40,PhD,2.7,75.5,43.0,1.0,Suburban,73.9,1,0
Male,White,52,Masters,2.0,100.0,51.0,2.8,Urban,100.0,1,1
Female,White,42,Bachelors,1.1,62.1,18.8,1.0,Urban,73.2,1,0
Female,White,32,High School,7.5,56.6,69.5,3.6,Suburban,62.2,1,0
Male,Asian,24,PhD,1.7,50.1,66.8,3.4,Rural,81.3,3,0
Male,Hispanic,47,Bachelors,3.0,51.7,45.9,1.8,Rural,73.8,3,0
Female,Hispanic,25,High School,2.2,76.2,37.7,1.4,Urban,30.3,3,0
Male,Asian,51,Bachelors,23.2,78.3,32.1,1.0,Urban,65.1,3,1
Male,Asian,32,PhD,2.9,60.4,50.6,2.2,Urban,56.1,3,0
Male,Asian,50,High School,0.5,100.0,5.6,2.1,Suburban,95.8,3,0
Male,White,41,High School,0.6,93.2,68.6,3.6,Urban,84.1,1,1
Female,Hispanic,33,PhD,4.0,62.9,30.4,1.0,Urban,62.4,4,0
Female,Asian,29,High School,4.8,86.0,71.3,2.7,Suburban,78.3,3,0
Male,Black,31,High School,2.7,58.7,39.8,3.3,Urban,98.7,1,0
Male,White,39,Bachelors,3.4,58.5,51.8,2.4,Urban,56.1,1,0
Male,Black,35,Masters,0.3,42.8,24.8,1.6,Suburban,61.8,1,0
Female,Black,29,Bachelors,3.3,71.1,83.7,3.8,Suburban,6.4,1,0
Female,Hispanic,33,PhD,3.2,82.6,73.4,2.5,Urban,28.9,3,0
Female,Black,35,Masters,0.7,56.3,56.0,4.8,Suburban,79.0,1,0
Female,White,22,High School,0.6,65.5,72.7,2.3,Suburban,25.0,1,0
Male,Hispanic,39,PhD,0.7,96.3,51.4,3.8,Suburban,70.3,3,0
Male,White,25,Bachelors,0.6,69.2,27.1,1.2,Rural,59.8,4,0
Male,Black,23,Bachelors,4.7,65.2,27.0,1.4,Suburban,64.7,1,0
Female,White,22,Bachelors,1.2,54.1,28.0,2.4,Suburban,28.0,3,0
Male,Asian,22,Bachelors,1.7,81.5,51.8,1.6,Suburban,96.2,3,1
Male,Hispanic,22,High School,0.9,60.9,26.2,2.9,Suburban,58.3,4,0
Male,White,27,High School,19.2,27.5,65.6,1.0,Urban,64.3,1,1
Male,Hispanic,54,Bachelors,9.5,100.0,34.6,3.9,Urban,35.2,4,0
Male,White,29,Masters,1.6,50.3,27.2,2.3,Suburban,31.8,4,0
Male,Hispanic,36,Bachelors,2.0,36.8,38.6,4.0,Urban,64.9,3,0
Male,Asian,39,PhD,1.4,93.3,83.9,1.5,Urban,58.0,3,0
Male,Hispanic,36,Bachelors,3.4,36.9,23.8,3.2,Suburban,82.9,3,0
Male,White,34,Bachelors,0.1,89.8,89.1,1.8,Urban,73.0,1,1
Male,Hispanic,23,High School,5.5,69.4,7.6,1.9,Suburban,59.0,3,0
Female,Asian,49,High School,3.9,95.4,8.9,3.8,Urban,81.5,4,0
Male,White,53,Bachelors,13.8,44.4,85.0,1.3,Urban,90.2,1,1
Male,Hispanic,22,Masters,0.9,65.0,54.8,1.0,Urban,20.1,3,0
Female,White,24,PhD,9.0,100.0,72.1,3.3,Urban,52.6,2,1
Male,Hispanic,32,PhD,7.8,89.6,71.3,1.8,Urban,66.8,3,1
Female,White,25,High School,0.7,48.3,56.5,1.0,Urban,63.2,4,0
Male,Asian,40,Masters,2.9,94.2,31.1,2.5,Urban,43.3,3,0
Male,Black,27,Bachelors,0.9,79.5,85.8,2.1,Suburban,57.2,1,0
Male,White,56,High School,1.8,44.5,65.2,2.9,Urban,98.3,2,0
Male,White,46,Masters,1.8,52.9,41.7,1.3,Suburban,25.5,1,0
Male,White,37,Masters,4.9,46.3,25.4,2.1,Suburban,32.4,1,0
Male,Black,45,High School,2.6,73.5,19.8,2.4,Urban,75.2,3,0
Female,White,46,Bachelors,16.2,70.2,81.0,2.9,Urban,1.8,1,0
Male,Black,29,Bachelors,0.7,81.6,15.1,3.5,Urban,94.0,1,0
Female,White,26,Masters,20.0,86.6,81.6,2.3,Rural,68.4,1,1
Male,White,35,Bachelors,1.6,68.3,76.4,2.2,Rural,35.8,2,0
Female,Asian,43,PhD,7.8,80.9,76.1,1.0,Urban,49.4,3,0
Male,White,36,High School,2.5,72.2,60.4,2.2,Suburban,96.9,1,1
Male,Hispanic,22,Bachelors,0.8,44.7,2.4,1.1,Rural,34.7,3,0
Male,Hispanic,26,Bachelors,9.7,75.0,40.0,4.0,Suburban,46.3,4,0
Male,Asian,34,Bachelors,2.1,92.1,19.7,4.5,Urban,80.6,3,1
Female,Black,34,Bachelors,4.8,67.2,59.7,1.8,Urban,82.5,2,0
Male,Hispanic,54,Masters,4.1,71.3,0.0,1.4,Urban,30.7,4,0
Male,White,22,Masters,3.9,38.3,14.6,1.4,Suburban,27.3,2,0
Male,White,40,PhD,4.1,53.1,11.1,4.2,Suburban,99.0,3,1
Male,White,49,Masters,8.0,79.5,69.4,4.3,Suburban,41.4,1,1
Female,Asian,57,Masters,0.5,65.7,51.9,1.0,Urban,37.1,3,0
Female,White,30,Bachelors,6.1,93.1,89.4,3.2,Rural,39.1,1,0
Female,Black,39,Masters,10.2,86.5,54.4,1.0,Rural,54.1,1,0
Male,Hispanic,40,Bachelors,0.3,100.0,26.4,1.1,Urban,52.0,3,0
Male,Hispanic,36,Bachelors,0.8,98.1,22.6,1.0,Urban,40.5,4,0
Female,Black,34,Bachelors,5.7,64.7,40.6,2.7,Suburban,75.5,1,0
Male,White,39,Bachelors,3.5,78.3,38.5,1.2,Urban,56.7,1,0
Female,Hispanic,22,Bachelors,2.3,57.4,3.6,1.0,Urban,59.4,3,0
Female,Black,41,PhD,0.7,100.0,69.5,1.3,Urban,28.3,1,0
Female,White,36,Bachelors,3.9,76.9,36.4,2.5,Rural,81.6,2,0
Male,White,32,High School,0.8,48.6,83.1,3.4,Rural,92.0,1,1
Male,Hispanic,55,Bachelors,3.2,93.6,66.5,1.0,Urban,84.3,3,1
Female,Asian,28,High School,7.6,73.2,16.7,4.3,Rural,43.4,4,0
Male,Hispanic,30,High School,1.5,86.8,52.1,1.4,Suburban,73.0,3,0
Male,Hispanic,54,High School,3.2,42.8,62.3,2.0,Urban,36.3,4,0
Male,Black,26,Bachelors,23.9,55.2,68.6,1.0,Rural,37.4,1,1
Female,Black,29,Bachelors,5.2,89.5,76.7,1.0,Suburban,25.9,1,0
Male,Black,33,Masters,9.1,28.6,74.3,1.0,Rural,73.9,2,0
Male,White,43,Masters,3.2,65.4,49.0,1.0,Urban,71.6,2,0
Male,Black,37,Bachelors,7.2,82.1,15.3,3.9,Suburban,84.9,1,0
Male,Asian,22,Bachelors,0.2,58.1,64.6,3.0,Urban,56.7,4,0
Female,Asian,29,Bachelors,0.7,82.7,39.1,3.9,Urban,79.7,3,0
Male,Hispanic,28,Masters,1.1,93.3,63.6,1.0,Suburban,33.6,3,0
Male,Black,34,High School,2.5,68.3,94.7,1.7,Rural,44.2,1,0
Female,Asian,39,High School,9.8,72.5,16.9,1.4,Suburban,67.3,3,0
Female,Asian,39,Masters,2.2,73.6,70.3,3.4,Urban,79.3,4,0
Male,Black,22,Bachelors,5.3,94.3,26.0,4.5,Urban,81.9,1,0
Female,Asian,45,High School,6.5,35.4,18.7,3.9,Rural,12.6,3,0
Male,White,37,High School,5.3,59.8,48.8,1.4,Urban,84.6,3,1
Male,Black,48,PhD,2.2,57.3,26.2,2.2,Urban,37.5,1,0
Female,White,39,Masters,4.7,48.1,29.4,1.6,Rural,78.1,1,0
Female,White,46,Masters,2.3,30.6,19.5,1.0,Rural,51.3,4,0
Female,Black,39,Bachelors,0.4,45.7,100.0,1.2,Suburban,55.5,1,0
Female,Asian,48,Bachelors,25.0,39.9,81.8,1.0,Urban,59.9,3,1
Male,Hispanic,40,PhD,0.7,73.7,53.0,1.8,Urban,65.9,3,0
Male,Asian,34,PhD,0.4,69.9,58.1,2.3,Suburban,54.9,4,0
Female,Asian,57,High School,11.1,93.2,36.3,1.6,Rural,17.9,3,0
Male,Black,43,Masters,1.8,71.6,80.7,3.5,Rural,73.9,1,0
Female,Asian,40,High School,5.5,87.6,48.5,1.6,Suburban,63.7,3,0
Female,White,22,High School,2.2,51.3,66.1,1.5,Rural,33.0,3,0
Female,White,22,Masters,2.7,82.4,64.6,3.0,Urban,25.1,1,0
Male,White,37,Bachelors,1.8,68.6,94.4,2.3,Urban,55.1,1,1
Male,Black,36,PhD,2.1,58.4,50.8,1.1,Urban,54.0,1,0
Male,White,28,High School,3.2,76.4,32.2,4.0,Rural,35.8,1,0
Male,White,36,Bachelors,7.7,61.5,5.6,2.2,Urban,81.9,1,0
Male,White,50,PhD,4.3,97.7,29.6,2.6,Urban,49.5,3,1
Male,Hispanic,41,PhD,14.2,50.1,58.1,1.5,Rural,0.0,3,0
Male,White,23,High School,0.3,95.7,25.1,2.4,Urban,36.7,2,0
Male,Black,33,Bachelors,3.5,37.0,54.3,1.4,Urban,18.6,4,0
Male,White,26,Masters,5.3,45.4,72.4,2.0,Suburban,42.2,1,0
Male,Asian,31,High School,14.6,51.6,49.7,1.0,Suburban,22.0,3,0
Male,White,30,PhD,0.3,27.2,20.5,4.5,Urban,50.6,2,0
Female,White,30,PhD,4.7,100.0,43.7,2.1,Rural,75.3,1,0
Male,Black,22,High School,9.5,49.0,92.2,2.9,Urban,84.4,1,1
Male,White,33,High School,1.7,32.4,79.7,2.1,Rural,65.5,1,0
Male,White,29,High School,12.6,36.1,97.9,2.1,Suburban,75.6,2,1
Female,White,22,PhD,0.1,63.0,80.0,1.7,Urban,54.5,3,0
Male,White,55,High School,8.0,80.8,89.1,3.0,Rural,64.4,2,1
Male,White,45,Bachelors,16.4,84.1,0.5,3.5,Urban,59.2,2,1
Male,White,31,Bachelors,6.5,41.8,33.2,1.3,Urban,49.6,1,0
Male,Hispanic,35,Bachelors,2.9,48.6,56.2,1.0,Rural,82.9,3,0
Male,Black,23,High School,0.2,77.5,47.8,3.5,Urban,66.4,2,0
Male,Black,51,High School,12.5,73.5,36.4,3.6,Urban,51.3,1,0
Male,White,53,PhD,3.8,81.2,52.1,2.1,Urban,89.1,4,1
Female,Hispanic,36,PhD,0.1,83.9,88.9,1.9,Urban,16.7,3,0
Female,White,45,Masters,6.4,80.1,29.1,4.5,Rural,40.8,2,0
Male,White,36,High School,4.0,54.6,41.0,1.2,Rural,100.0,1,1
Male,Asian,22,Bachelors,0.8,96.3,86.7,3.1,Urban,81.7,4,1
Female,White,30,Masters,1.3,100.0,24.7,2.3,Urban,44.4,1,0
Male,White,36,Bachelors,0.4,75.4,45.9,3.4,Suburban,95.9,1,1
Male,Black,30,PhD,4.2,56.5,81.3,1.1,Urban,79.3,1,0
Male,Hispanic,32,Masters,4.8,75.1,11.1,1.5,Urban,62.8,3,0
Male,Black,34,High School,3.5,40.7,49.6,1.8,Urban,58.0,1,0
Female,Asian,34,PhD,8.9,73.0,21.4,4.6,Urban,77.4,3,0
Female,Hispanic,35,PhD,8.9,86.3,76.6,2.5,Suburban,51.2,4,0
Male,White,24,High School,5.8,68.4,77.3,4.3,Rural,56.6,1,1
Male,White,27,Bachelors,0.1,100.0,34.2,4.2,Suburban,27.0,1,0
Male,White,22,Bachelors,7.2,96.3,38.1,2.1,Suburban,72.6,3,1
Male,Black,44,Bachelors,2.7,91.8,63.3,1.4,Urban,54.7,2,0
Male,Black,22,High School,4.1,57.8,47.9,2.9,Rural,61.6,1,0
Male,Hispanic,46,Bachelors,5.2,77.2,15.9,4.4,Rural,78.4,3,0
Female,Asian,48,PhD,2.3,100.0,72.2,1.2,Rural,84.3,3,0
Male,Asian,31,Bachelors,14.4,88.5,42.7,2.3,Urban,38.5,3,1
Male,White,22,High School,0.9,81.7,36.2,1.1,Suburban,87.3,1,0
Female,Hispanic,31,Masters,5.0,57.2,63.5,1.0,Suburban,46.6,3,0
Female,Hispanic,34,Bachelors,0.0,81.2,53.7,3.0,Urban,42.2,3,0
Male,Hispanic,24,Masters,12.8,57.9,36.8,3.0,Rural,21.7,3,0
Male,White,29,Bachelors,0.7,91.6,83.8,3.5,Urban,58.8,1,1
Male,Asian,50,High School,0.6,66.1,36.2,4.3,Urban,68.8,4,0
Male,White,41,High School,2.5,29.4,62.7,1.0,Urban,25.7,3,0
Male,White,25,Masters,2.8,84.2,57.7,1.1,Urban,84.6,4,1
Female,White,22,Bachelors,1.3,47.9,41.1,4.6,Rural,79.0,2,0
Male,Asian,31,Masters,5.1,100.0,29.5,1.6,Urban,76.4,3,1
Male,Asian,32,High School,3.4,59.7,57.7,1.3,Urban,40.1,3,0
Male,White,39,Bachelors,0.2,69.6,41.7,3.3,Suburban,70.6,2,0
