Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,White,50,High School,6.0,64.5,4.0,Rural,25.4,86275,2,0
Male,Black,52,Masters,20.6,72.6,1.0,Rural,54.0,125164,4,1
Female,Black,27,Bachelors,1.9,78.8,1.2,Rural,46.4,76255,2,0
Female,Hispanic,38,High School,0.3,68.5,4.2,Urban,56.9,74515,3,0
Male,White,43,Masters,2.8,99.0,2.3,Suburban,81.6,90082,1,1
Female,Hispanic,51,PhD,2.2,74.5,4.5,Urban,44.1,66674,3,0
Male,Asian,25,Bachelors,3.2,50.2,3.1,Suburban,81.6,81197,3,0
Female,White,36,High School,10.9,65.1,3.1,Rural,73.9,94172,3,1
Female,Asian,28,Masters,1.1,90.0,2.9,Urban,40.9,84165,3,0
Female,Black,37,Masters,8.9,81.3,2.5,Suburban,61.5,90489,1,0
Male,Asian,29,Bachelors,3.3,90.3,2.8,Urban,48.7,87111,3,0
Female,Hispanic,35,High School,0.3,73.0,2.0,Suburban,57.4,69346,3,0
Female,Black,39,Masters,4.2,78.0,2.3,Suburban,37.3,87845,2,0
Male,Asian,35,Masters,3.3,64.2,1.0,Urban,59.7,88238,3,0
Male,White,42,Bachelors,10.1,70.1,5.0,Suburban,100.0,105037,2,1
Male,White,36,Masters,12.0,44.3,2.2,Urban,74.5,95520,1,1
Female,White,22,High School,10.5,69.1,1.6,Urban,24.9,103511,1,0
Male,Black,22,Bachelors,5.5,47.6,1.6,Urban,44.4,75423,2,0
Female,Hispanic,31,Masters,10.8,30.1,2.9,Urban,58.6,67191,3,0
Female,White,26,Masters,13.3,62.3,3.5,Urban,51.6,101646,1,1
Female,White,27,Bachelors,1.3,74.8,2.7,Urban,84.4,80808,1,1
Female,Hispanic,30,Masters,0.3,75.2,4.4,Urban,71.2,66118,4,0
Female,White,34,Bachelors,8.2,54.2,4.7,Urban,24.3,82419,1,1
Male,White,24,Masters,0.1,45.7,3.1,Urban,96.4,71823,3,1
Female,Black,22,Masters,5.9,62.6,1.0,Rural,76.2,83097,4,0
Male,White,39,PhD,1.3,65.2,1.1,Urban,72.4,81949,2,0
Female,Asian,48,Bachelors,1.7,60.2,4.4,Urban,51.7,74159,3,0
Female,White,46,Masters,2.0,88.2,2.4,Suburban,0.0,81293,1,0
Male,Asian,32,Masters,1.6,64.5,1.6,Urban,100.0,79635,3,1
Female,Asian,39,High School,0.6,59.0,1.0,Suburban,23.1,74501,3,0
Male,White,27,Bachelors,2.5,60.0,1.4,Urban,77.4,82600,1,0
Male,White,44,PhD,16.2,73.7,2.5,Urban,48.2,106595,1,1
Male,Hispanic,33,High School,3.1,39.1,2.4,Suburban,95.2,75182,3,0
Female,White,33,Bachelors,11.8,45.5,4.3,Suburban,31.6,91210,2,1
Male,Black,22,Bachelors,6.5,84.4,1.8,Suburban,67.5,91903,1,1
Female,Black,37,Masters,6.4,47.9,1.5,Rural,50.0,70181,2,0
Male,Black,30,Masters,1.1,28.0,1.3,Urban,82.4,70745,1,0
Female,White,28,Bachelors,9.6,55.3,2.9,Suburban,52.0,88444,1,0
Male,White,54,Masters,5.7,100.0,1.0,Urban,14.3,96939,4,0
Male,Asian,47,Masters,5.5,90.6,1.4,Rural,32.6,94942,4,1
Female,Black,34,Masters,2.9,65.5,2.9,Suburban,63.9,74159,1,0
Male,White,26,Masters,3.7,58.8,4.1,Suburban,87.8,84232,1,1
Male,Hispanic,34,PhD,6.1,81.9,1.2,Rural,39.5,93175,4,0
Male,White,46,Masters,0.6,81.1,1.0,Urban,93.1,86301,2,0
Female,White,34,Masters,2.2,58.4,4.5,Rural,72.3,72782,1,0
Female,White,30,High School,18.0,100.0,3.8,Suburban,53.4,121159,1,1
Female,White,32,Bachelors,7.9,58.8,2.3,Urban,55.3,89985,4,0
Female,White,27,High School,2.3,87.7,1.3,Suburban,61.9,82484,3,0
Male,White,24,Masters,2.9,71.1,1.4,Urban,79.2,87286,1,0
Male,Asian,26,Masters,1.9,77.7,2.1,Suburban,65.3,84169,4,0
Male,White,51,Masters,6.8,66.6,3.2,Rural,82.0,87954,2,1
Male,Asian,29,Bachelors,5.9,71.7,3.2,Suburban,55.2,84904,3,0
Male,Asian,51,Bachelors,15.3,46.0,1.0,Urban,40.0,101305,4,0
Female,Hispanic,45,High School,4.0,12.2,2.4,Urban,48.2,63840,3,0
Male,Asian,36,Bachelors,8.3,91.3,3.4,Urban,63.3,93735,4,1
Male,White,44,PhD,5.6,96.9,2.0,Rural,61.9,97521,2,1
Male,White,26,PhD,25.0,85.1,4.3,Urban,83.7,127752,4,1
Male,White,50,Bachelors,5.9,56.0,2.7,Suburban,31.4,89266,1,0
Male,White,38,Bachelors,9.7,51.1,1.5,Urban,100.0,91369,2,1
Female,White,33,Bachelors,7.5,65.4,5.0,Rural,43.2,81224,1,0
Male,Asian,30,High School,0.8,75.0,1.0,Suburban,88.2,73593,3,0
Male,Hispanic,34,Masters,1.1,100.0,1.7,Rural,47.7,81813,4,0
Male,Asian,32,High School,0.7,62.3,3.5,Suburban,69.9,71734,3,0
Male,Black,31,PhD,7.2,56.4,2.1,Rural,20.3,92213,2,0
Female,Hispanic,22,High School,3.4,65.9,4.1,Suburban,83.5,73996,4,0
Female,White,23,Masters,7.1,82.6,4.3,Urban,33.6,97366,1,1
Male,Asian,28,Bachelors,11.4,57.4,3.3,Rural,66.2,89154,3,1
Female,White,31,High School,20.9,78.7,1.8,Rural,85.3,125236,1,1
Female,Asian,46,Bachelors,3.0,69.2,3.4,Suburban,83.9,73693,4,0
Male,White,39,High School,4.1,33.8,2.9,Suburban,59.6,71307,1,0
Male,Hispanic,37,Bachelors,11.4,47.8,1.5,Urban,82.6,96832,3,1
Male,White,31,Masters,4.1,87.3,2.2,Urban,54.8,93515,1,1
Male,White,36,Masters,2.6,94.5,3.2,Urban,55.4,95845,1,1
Female,White,41,Masters,2.0,83.6,1.4,Urban,56.9,78838,1,0
Male,Asian,33,High School,2.8,54.7,3.3,Urban,7.8,71505,3,0
Male,Hispanic,27,High School,1.0,83.2,1.1,Urban,96.6,86054,3,0
Male,Asian,33,Bachelors,9.9,100.0,1.8,Urban,53.9,105089,3,1
Male,Asian,22,Masters,2.0,82.0,3.5,Urban,54.9,91328,4,1
Male,Asian,51,PhD,6.3,86.9,4.7,Suburban,62.4,92386,4,1
Male,Black,33,High School,2.2,72.1,1.5,Suburban,41.9,80404,2,0
Female,Asian,22,Masters,0.5,84.1,3.2,Suburban,71.7,73203,3,0
Female,White,34,Masters,0.4,60.0,3.1,Urban,44.2,71152,1,0
Female,Asian,22,Masters,4.7,94.3,1.0,Urban,27.5,80742,3,0
Male,Black,30,Bachelors,6.0,80.2,2.0,Urban,45.5,90899,3,0
Female,Black,41,PhD,4.3,100.0,2.1,Suburban,61.2,86111,1,0
Female,White,23,High School,9.6,53.3,4.0,Suburban,67.5,96026,1,1
Female,Asian,36,PhD,5.1,69.7,3.7,Urban,45.4,73268,3,0
Female,Black,49,High School,3.0,68.5,1.0,Suburban,36.6,74298,1,0
Female,White,23,High School,1.9,76.8,1.8,Urban,86.1,80537,4,1
Female,Asian,22,High School,2.2,34.3,4.3,Urban,75.6,65262,4,0
Female,Black,40,High School,8.9,76.9,4.0,Urban,31.8,92274,4,0
Female,White,40,PhD,7.2,69.5,1.7,Urban,69.9,86003,2,0
Male,Black,34,Masters,1.8,81.3,1.0,Suburban,20.1,86333,4,0
Male,Asian,42,High School,4.8,49.0,2.3,Rural,100.0,78704,4,1
Male,White,30,Bachelors,1.5,60.0,3.3,Urban,86.4,77579,1,1
Male,Asian,56,High School,1.7,73.6,1.4,Urban,100.0,77419,3,0
Male,Asian,47,High School,6.4,49.1,2.2,Urban,29.6,87784,4,0
Female,Hispanic,43,Masters,2.4,39.0,5.0,Suburban,74.2,64528,3,0
Female,Black,29,Bachelors,5.9,58.3,1.0,Rural,48.2,84962,1,0
Female,Black,40,Bachelors,1.4,82.7,1.0,Urban,28.0,79641,1,0
Male,White,54,Masters,5.1,95.9,2.3,Urban,45.1,93709,1,1
Male,White,28,High School,6.1,46.7,1.5,Suburban,94.8,81467,2,1
Female,Hispanic,46,Bachelors,0.2,62.3,3.8,Urban,10.5,63256,3,0
Female,Hispanic,48,PhD,11.1,63.9,1.0,Urban,37.7,92184,3,0
Female,Asian,31,High School,5.0,72.7,1.0,Suburban,33.9,87724,3,0
Male,Hispanic,31,Bachelors,0.5,22.1,2.8,Rural,100.0,71173,4,0
Female,White,28,Masters,2.6,63.0,2.5,Suburban,3.7,73439,1,0
Female,Black,38,Masters,1.9,63.3,1.0,Urban,51.2,76161,1,0
Female,Asian,26,Masters,13.9,64.7,4.4,Urban,53.5,94854,4,1
Male,White,47,Bachelors,12.5,60.4,1.2,Urban,49.2,99724,2,1
Male,Hispanic,41,Bachelors,4.3,99.9,2.2,Suburban,72.9,104320,4,0
Male,Black,29,Masters,7.3,58.2,2.3,Suburban,33.9,94039,1,0
Male,Asian,32,High School,1.4,38.8,1.3,Urban,100.0,67979,3,0
Male,Hispanic,29,Bachelors,2.1,61.9,1.9,Rural,83.3,77155,4,0
Male,White,30,High School,5.6,31.4,3.4,Urban,65.1,89212,2,1
Male,Hispanic,47,Masters,7.3,46.3,1.4,Suburban,75.7,85409,3,0
Female,Black,35,High School,3.7,78.9,1.7,Suburban,48.4,82187,1,0
Male,Hispanic,34,Bachelors,3.0,55.4,3.0,Rural,69.6,77034,3,0
Female,White,22,Bachelors,0.5,39.5,3.8,Rural,60.5,68973,1,0
Female,Hispanic,36,Masters,8.1,100.0,1.0,Suburban,73.4,93171,4,0
Female,Asian,43,Bachelors,0.6,65.6,1.0,Urban,24.3,66911,3,0
Female,White,57,Bachelors,8.2,62.5,1.5,Urban,100.0,95972,2,1
Female,White,22,Masters,1.2,68.3,2.1,Urban,50.0,76816,2,0
Male,Black,38,Bachelors,5.7,68.8,3.9,Urban,34.1,87546,1,0
Female,Asian,22,Masters,13.7,63.7,1.3,Suburban,44.5,94319,3,0
Female,Black,25,Masters,2.5,36.6,1.0,Urban,31.4,68157,1,0
Male,Hispanic,22,Masters,7.0,69.0,2.3,Urban,20.8,88376,3,0
Female,White,33,Bachelors,6.5,75.0,2.1,Urban,78.4,94580,1,1
Female,Asian,32,Bachelors,1.6,100.0,3.0,Urban,38.3,80796,4,0
Female,Asian,44,High School,6.2,32.0,2.2,Suburban,60.0,71648,3,0
Male,Hispanic,43,Bachelors,17.7,57.2,5.0,Urban,69.4,103582,3,1
Female,White,40,Bachelors,1.2,61.5,3.7,Suburban,43.6,71422,1,0
Male,Black,29,Bachelors,0.7,71.8,1.0,Suburban,23.2,80926,4,0
Female,White,39,Masters,2.9,86.4,5.0,Suburban,99.3,93365,1,1
Female,White,36,High School,0.1,78.1,3.7,Urban,20.4,73750,1,0
Female,White,39,Masters,1.3,55.4,3.9,Urban,99.5,70712,1,0
Male,Black,42,High School,0.4,44.4,3.5,Urban,67.2,73813,1,0
Female,Black,31,PhD,6.2,100.0,1.4,Suburban,19.3,93924,1,0
Male,Asian,52,Bachelors,7.8,41.9,1.9,Suburban,36.8,79740,3,0
Male,White,62,Masters,4.7,83.9,2.2,Urban,70.3,95850,1,1
Male,Hispanic,28,Bachelors,7.4,74.9,1.7,Urban,81.8,91199,3,0
Male,White,45,High School,7.4,69.3,1.0,Urban,50.8,91940,3,0
Male,Black,35,High School,25.0,61.5,4.1,Suburban,64.8,127688,1,1
Female,White,37,Bachelors,25.0,75.5,3.5,Suburban,67.4,124443,1,1
Male,White,43,Bachelors,13.7,55.5,3.6,Urban,30.2,98906,1,1
Male,Asian,42,Bachelors,7.0,46.5,3.7,Rural,60.0,92614,3,1
Male,Hispanic,33,Masters,3.8,37.8,1.6,Urban,62.6,79285,4,0
Male,White,48,High School,2.2,63.4,4.2,Rural,36.7,88314,1,0
Female,Asian,26,High School,11.6,79.5,5.0,Suburban,31.5,97370,4,0
Male,Black,60,High School,5.0,81.8,1.0,Rural,47.9,95188,1,0
Female,White,39,Bachelors,0.4,88.3,2.0,Rural,42.1,87559,2,0
Female,Black,30,High School,9.0,71.1,1.0,Urban,7.5,83429,1,0
Female,White,40,Masters,2.6,83.9,3.3,Urban,53.4,79475,1,1
Male,Hispanic,51,High School,2.0,54.3,3.7,Suburban,32.1,88132,4,0
Female,White,34,PhD,6.2,47.1,3.7,Urban,93.6,87130,1,1
Female,Black,43,Masters,6.3,44.7,1.9,Urban,11.9,85603,1,0
Male,Asian,25,PhD,6.9,100.0,3.5,Suburban,55.4,103476,3,1
Female,White,39,Bachelors,0.1,100.0,1.2,Urban,28.2,73831,2,0
Male,White,37,High School,7.0,89.9,4.1,Suburban,49.5,97734,2,1
Female,White,37,Bachelors,5.2,100.0,2.2,Urban,63.1,91503,1,1
Female,Black,34,High School,12.5,49.5,2.1,Urban,25.2,98092,1,0
Female,White,22,PhD,7.9,78.5,2.5,Urban,9.2,88165,2,0
Female,White,43,Masters,0.3,83.2,2.4,Urban,62.0,83546,2,0
Female,Black,22,Masters,2.7,82.8,1.0,Suburban,0.0,87467,3,0
Female,Black,33,Masters,5.4,71.9,1.1,Suburban,56.2,86119,4,0
Male,White,22,Masters,13.2,96.5,2.1,Suburban,69.9,110099,1,1
Female,Hispanic,35,PhD,0.1,63.2,3.8,Urban,16.3,74423,3,0
Male,Black,34,Bachelors,1.2,55.0,1.0,Urban,84.2,70226,1,0
Male,Black,36,Masters,4.1,56.7,1.0,Urban,44.0,79588,2,0
Female,White,52,High School,1.9,58.5,4.2,Suburban,41.4,78085,1,0
Male,Asian,22,High School,1.0,57.9,3.9,Urban,24.9,82676,3,0
Male,Asian,36,Bachelors,2.7,89.8,1.5,Urban,88.6,88760,3,1
Male,White,53,Bachelors,1.9,100.0,5.0,Urban,35.2,98441,1,1
Female,Hispanic,22,Masters,11.9,55.0,1.0,Suburban,42.8,90499,3,0
Male,White,65,Bachelors,0.8,84.1,3.4,Urban,70.4,83839,1,1
Male,White,43,Masters,1.9,100.0,1.2,Urban,37.4,91201,1,0
Female,Hispanic,36,Bachelors,0.6,50.8,1.7,Rural,17.6,71338,3,0
Female,White,26,Bachelors,17.7,59.4,2.3,Urban,69.0,107947,2,1
Male,Black,40,Masters,1.5,92.9,3.3,Rural,49.7,76339,2,0
Male,White,48,Masters,0.6,76.1,1.3,Urban,41.7,84327,1,0
Male,White,31,High School,11.0,57.9,3.5,Suburban,79.2,97492,1,1
Female,White,44,Bachelors,0.0,92.5,1.4,Urban,43.6,88264,4,0
Female,Black,45,Masters,0.6,65.6,1.8,Urban,83.3,68384,2,0
Male,White,34,Masters,4.6,67.6,4.2,Urban,61.9,88722,1,1
Female,White,36,Masters,0.6,80.4,1.0,Rural,32.8,78949,1,0
Female,White,22,PhD,0.7,86.0,3.2,Urban,58.7,86540,2,0
Female,Hispanic,42,High School,2.7,57.1,1.7,Rural,21.5,81428,4,0
Female,White,41,Masters,0.6,80.7,2.5,Urban,93.5,78607,1,0
Male,White,42,Bachelors,2.4,49.1,2.4,Urban,95.0,83808,3,1
Female,Asian,24,Bachelors,0.9,71.8,2.7,Suburban,69.4,76353,4,0
Female,Hispanic,42,Bachelors,4.7,70.1,1.0,Suburban,12.7,80770,3,0
Female,White,45,Masters,7.2,46.3,1.0,Urban,46.3,81821,2,0
Female,White,22,Masters,2.5,40.9,3.5,Suburban,23.8,75611,2,0
Female,Hispanic,41,Bachelors,1.5,69.9,1.0,Suburban,38.6,73144,3,0
Male,Black,27,Masters,0.6,67.9,4.0,Urban,94.8,59541,4,0
Male,Black,35,Bachelors,10.0,75.0,5.0,Suburban,34.9,96671,2,0
Female,Black,33,High School,8.4,93.9,1.0,Rural,60.5,91972,3,0
Male,White,24,High School,5.2,75.3,4.4,Suburban,72.3,91795,3,1
Male,Hispanic,45,PhD,0.0,81.0,3.1,Urban,42.0,84142,3,0
Female,Asian,39,High School,6.1,73.3,1.2,Urban,57.7,84085,4,0
Female,White,28,High School,2.9,54.7,2.1,Urban,52.3,78066,4,0
Female,White,22,Masters,13.5,61.7,1.1,Urban,13.0,100083,3,0
Female,White,24,High School,10.7,50.9,1.4,Rural,85.8,85178,1,0
Male,Asian,25,Masters,15.6,27.4,4.1,Suburban,46.9,88741,3,1
Female,White,37,Masters,4.0,31.3,1.0,Rural,41.6,84803,2,0
Female,Black,29,Bachelors,1.9,73.5,1.9,Rural,33.1,85187,2,0
Female,White,26,Bachelors,12.1,83.1,2.1,Suburban,46.4,102516,1,1
Male,Black,27,Masters,15.6,100.0,3.8,Suburban,76.9,111079,1,1
Female,Hispanic,47,Masters,2.6,99.9,2.0,Urban,75.4,89529,3,0
Male,White,27,Masters,1.7,70.4,3.0,Suburban,98.9,76319,1,1
Male,White,47,High School,6.9,74.4,1.0,Suburban,52.1,93348,2,1
Male,White,22,Masters,18.8,100.0,1.0,Suburban,7.5,127385,2,1
Female,Asian,30,Bachelors,0.2,76.6,4.1,Urban,68.5,79075,3,0
Female,White,25,Bachelors,12.6,52.2,3.2,Suburban,77.1,93783,1,1
Female,Black,33,Bachelors,13.5,89.0,1.8,Urban,48.6,99701,1,0
Female,White,49,Bachelors,0.4,52.5,1.0,Urban,50.9,74919,1,0
Female,White,35,Bachelors,8.8,66.9,3.0,Urban,71.6,88924,2,1
Female,White,43,High School,4.0,20.4,2.2,Rural,69.8,70744,2,0
Male,Hispanic,31,Masters,10.8,40.8,4.0,Suburban,49.4,87320,3,0
Male,Hispanic,53,Masters,12.3,39.6,1.0,Rural,73.7,90518,3,0
Male,White,50,Bachelors,2.9,60.5,5.0,Urban,61.3,81374,3,1
Male,Hispanic,22,PhD,0.1,79.9,2.9,Rural,58.1,73740,3,0
Male,Hispanic,48,Bachelors,8.8,81.8,1.7,Suburban,52.2,91555,3,0
Male,Black,30,Bachelors,2.7,81.9,1.5,Suburban,75.6,90900,2,0
Female,White,47,Bachelors,13.5,94.3,2.1,Urban,56.0,110587,2,1
Male,White,33,Masters,2.0,88.6,1.9,Urban,76.8,91344,1,1
Female,Black,22,PhD,1.6,35.0,3.2,Urban,79.5,52534,1,0
Male,White,31,Masters,8.5,87.4,2.9,Urban,86.7,109963,3,1
Female,White,46,Bachelors,5.3,47.8,2.4,Urban,76.3,70531,1,0
Male,Asian,38,High School,17.0,89.6,3.1,Urban,75.9,115582,3,1
Female,White,43,Bachelors,2.6,75.6,2.1,Urban,80.7,83437,1,0
Female,Black,36,Bachelors,1.0,50.5,2.1,Suburban,41.8,61170,2,0
Male,White,22,PhD,0.9,46.9,1.5,Suburban,64.5,71802,1,0
Male,Hispanic,44,Masters,0.5,40.7,1.9,Urban,18.4,71788,4,0
Female,White,31,Bachelors,10.3,50.1,1.1,Urban,59.0,92759,1,0
Female,Black,22,PhD,0.1,72.0,3.1,Rural,24.1,71173,1,0
Male,White,27,Masters,3.0,61.0,5.0,Urban,56.3,85000,1,0
Female,White,38,Bachelors,4.3,44.7,5.0,Rural,28.1,79735,3,0
Male,Asian,30,Bachelors,3.3,57.7,1.0,Urban,69.8,77059,3,0
Female,Hispanic,38,Masters,0.2,60.9,2.9,Suburban,48.8,58584,3,0
Female,Asian,44,High School,0.3,78.3,1.9,Rural,21.4,79126,4,0
Female,White,37,Bachelors,0.3,61.4,2.1,Suburban,47.7,75501,1,0
Female,Asian,30,Bachelors,1.0,81.1,1.1,Urban,84.7,77276,3,0
Male,Black,33,Masters,5.6,100.0,3.8,Rural,35.1,99272,2,0
Female,Black,44,Masters,1.0,54.7,2.0,Urban,41.2,67244,2,0
Female,Asian,35,Bachelors,3.1,58.1,3.8,Rural,57.6,85732,4,0
Male,Black,32,Bachelors,3.5,45.6,1.4,Suburban,40.9,72739,2,0
Female,Black,22,Bachelors,8.7,89.1,1.3,Urban,84.2,92078,3,0
Male,Hispanic,42,Masters,4.2,44.5,1.7,Rural,67.7,74657,3,0
Female,Asian,25,Bachelors,1.4,53.9,2.3,Urban,81.1,71390,3,0
Male,Asian,22,Masters,5.8,85.3,3.3,Urban,95.0,88888,3,1
Male,Hispanic,27,High School,6.9,86.8,1.0,Suburban,69.7,94172,4,0
Female,White,25,High School,7.7,58.8,4.6,Suburban,21.1,87737,3,0
Female,Hispanic,36,Masters,4.0,72.7,1.2,Urban,41.3,79947,3,0
Female,White,28,Masters,0.5,94.3,2.9,Urban,48.4,88488,1,0
Female,White,22,Masters,3.9,49.2,1.4,Urban,75.0,68494,1,0
Male,Hispanic,38,Masters,0.0,39.0,1.5,Urban,32.1,69407,3,0
Male,White,30,Masters,2.7,83.2,2.5,Urban,90.7,91948,3,1
Female,Asian,35,Masters,6.7,70.3,5.0,Rural,73.5,86170,3,0
Male,Hispanic,22,High School,1.8,71.3,2.1,Urban,61.4,81676,3,0
Female,Asian,44,PhD,2.1,100.0,2.3,Suburban,71.8,87850,3,0
Female,White,39,Bachelors,2.9,62.2,2.3,Urban,54.8,68568,4,0
Female,Hispanic,32,PhD,1.1,77.4,1.0,Urban,18.7,85312,4,0
Female,Hispanic,37,Bachelors,7.0,82.4,1.0,Suburban,35.6,88146,3,0
Female,Asian,50,Bachelors,7.1,78.3,5.0,Suburban,96.9,93121,4,1
Male,White,39,Masters,5.1,76.2,1.0,Suburban,76.7,102256,1,1
Female,White,28,Masters,3.2,88.1,1.4,Suburban,23.1,91587,2,0
Male,White,50,High School,4.0,80.9,3.9,Urban,89.5,97817,2,1
Female,Black,41,Bachelors,1.5,80.2,3.0,Urban,38.0,74902,1,0
Male,White,22,High School,1.5,87.2,4.4,Suburban,100.0,86803,1,1
Female,Black,36,Bachelors,1.1,54.2,2.6,Urban,37.4,69599,1,0
Male,Hispanic,22,High School,7.6,75.0,1.0,Urban,84.5,89963,4,1
Female,Black,38,Bachelors,1.5,62.3,1.3,Urban,36.9,69125,1,0
Male,Asian,36,Bachelors,10.8,53.0,1.0,Rural,69.6,89461,3,1
Male,Black,32,PhD,1.1,55.0,2.2,Suburban,88.1,67679,3,0
Female,White,28,Masters,7.6,53.6,2.6,Rural,74.1,83771,1,0
Female,Black,39,High School,2.6,34.0,2.0,Suburban,72.1,74960,2,0
Male,White,37,Masters,3.5,87.6,2.3,Urban,65.3,90836,1,1
Female,Asian,28,Masters,4.1,76.7,1.0,Urban,54.5,81449,4,0
Male,White,29,Masters,1.7,40.8,3.7,Rural,56.8,76490,1,0
Female,White,56,Bachelors,5.2,60.6,1.5,Urban,100.0,83337,2,1
Female,Asian,44,Masters,2.0,83.3,3.4,Urban,59.4,82788,4,0
Male,Asian,24,Masters,16.8,47.9,3.8,Rural,37.0,102098,3,1
Male,White,25,PhD,1.5,92.0,1.1,Suburban,89.6,85549,3,1
Male,White,25,Bachelors,1.3,100.0,2.0,Urban,39.5,89505,4,1
Male,Hispanic,44,Masters,9.0,41.5,2.6,Suburban,48.6,85659,3,0
Female,Black,29,PhD,1.3,73.9,1.0,Rural,62.7,72331,1,0
Male,Asian,31,High School,16.6,62.2,3.5,Rural,100.0,107253,4,1
Male,White,35,PhD,8.9,35.2,1.1,Urban,38.4,82278,2,0
Female,Black,52,Bachelors,14.3,74.5,2.8,Suburban,58.2,90624,2,0
Female,Black,23,Masters,1.0,21.8,2.1,Rural,19.9,60819,2,0
