Gender,Race,Age_Group,Salary,Department,Zip_Code,Commute_Distance,Work_Schedule,Promotion_Rate,Training_Hours,Email_Response_Time,Employee_ID,Coffee_Cups_Daily,Desk_Location,Favorite_Color,Performance_Score,Network_Size,Years_Education,Promoted
Male,Black,Middle,41867,HR,94503,17.9,Flexible,0.27,39.0,25.8,7540,4,South,Blue,67.1,119,16,1
Female,White,Senior,67078,HR,94302,10.6,Flexible,0.16,36.3,25.4,3731,1,West,Green,44.7,76,18,0
Male,White,Young,51630,Sales,94301,15.5,Standard,0.7,34.2,24.7,7269,1,South,Yellow,53.1,169,21,0
Male,Asian,Young,53058,Marketing,94403,15.1,Standard,0.35,33.8,24.3,6600,3,East,Green,50.1,158,15,1
Male,Black,Senior,68188,Engineering,94504,1.0,Standard,0.38,37.7,19.2,7298,2,East,Green,51.1,92,14,1
Male,White,Middle,67719,Sales,94303,12.5,Standard,0.7,39.5,22.7,6495,2,South,Blue,50.4,222,14,1
Male,White,Middle,54635,Engineering,94301,16.7,Flexible,0.7,46.6,15.2,9806,3,South,Green,60.0,178,16,0
Male,White,Middle,60062,Engineering,94302,13.9,Flexible,0.7,37.2,19.6,2915,1,South,Blue,59.3,192,16,1
Female,Black,Middle,37899,Marketing,94501,20.6,Flexible,0.1,40.8,37.5,7321,1,South,Green,34.9,101,18,0
Male,White,Middle,67420,Engineering,94304,15.8,Standard,0.7,49.5,24.7,3932,1,South,Yellow,58.1,135,20,1
Male,White,Senior,83888,HR,94304,14.9,Standard,0.7,12.2,27.9,10837,3,South,Green,53.4,86,12,1
Male,Black,Middle,55469,Sales,94504,17.7,Standard,0.46,30.8,23.8,9286,4,South,Red,69.8,222,12,0
Male,Black,Young,54321,Sales,94504,11.2,Standard,0.39,44.8,24.5,3870,3,South,Blue,47.8,175,13,1
Female,Asian,Middle,36954,HR,94404,15.7,Flexible,0.27,38.4,22.1,5117,2,South,Red,44.2,72,20,0
Male,Black,Middle,51798,Engineering,94501,17.6,Standard,0.33,25.8,22.1,9909,1,North,Blue,60.8,193,20,1
Female,Asian,Middle,47243,Marketing,94402,17.1,Standard,0.34,30.9,25.7,2958,1,West,Yellow,69.1,123,20,1
Female,Hispanic,Middle,30217,Marketing,94602,20.4,Standard,0.1,47.0,15.3,6578,4,West,Red,60.9,46,16,1
Male,Asian,Young,55101,Engineering,94403,16.0,Standard,0.34,54.6,12.1,1609,0,North,Red,70.5,107,15,1
Male,Black,Middle,45984,Engineering,94503,20.7,Flexible,0.05,12.1,25.6,4711,1,West,Blue,57.0,100,12,0
Female,White,Middle,48863,HR,94303,29.4,Flexible,0.24,37.7,29.9,5484,1,South,Red,52.4,127,14,1
Female,Hispanic,Middle,34653,Sales,94604,23.3,Flexible,0.1,38.6,15.8,2714,2,North,Blue,57.3,169,18,0
Female,White,Middle,43395,Marketing,94302,20.5,Standard,0.35,30.9,27.3,7669,3,East,Yellow,50.2,85,20,0
Female,White,Young,38591,Marketing,94304,17.0,Flexible,0.41,48.6,26.4,4296,3,East,Yellow,53.8,109,15,1
Male,White,Middle,59663,Sales,94303,24.8,Standard,0.7,43.9,36.5,5129,1,North,Blue,51.4,246,16,1
Male,White,Middle,57162,HR,94304,13.6,Flexible,0.7,47.2,38.9,8084,0,West,Blue,65.1,102,14,1
Male,Hispanic,Middle,51216,Engineering,94601,18.4,Standard,0.24,41.0,28.6,9603,2,South,Yellow,51.4,149,14,0
Female,Black,Middle,29285,HR,94503,24.0,Standard,0.1,46.5,20.0,10908,3,West,Red,68.8,66,12,0
Female,Black,Middle,35889,Marketing,94502,20.5,Flexible,0.1,40.1,8.1,1543,1,West,Red,52.6,145,20,0
Male,Black,Young,47805,Engineering,94502,12.3,Flexible,0.26,27.2,31.8,5759,2,West,Red,66.3,147,19,1
Male,White,Middle,53753,Engineering,94303,8.1,Standard,0.7,38.7,33.1,10610,3,West,Red,59.6,150,12,0
Male,White,Young,53363,Sales,94302,20.6,Flexible,0.7,37.7,21.9,1295,2,West,Blue,52.6,203,17,0
Male,Black,Middle,44114,Engineering,94502,14.4,Standard,0.28,41.1,26.8,2565,1,South,Yellow,55.7,136,14,1
Female,Asian,Young,41968,HR,94403,30.1,Standard,0.29,47.8,12.8,3142,2,North,Yellow,51.5,82,15,1
Female,White,Young,45604,HR,94303,20.8,Standard,0.39,47.7,16.2,9983,4,East,Yellow,62.8,41,19,1
Female,Asian,Middle,44349,HR,94404,21.5,Flexible,0.23,31.6,10.4,6710,1,East,Yellow,41.6,100,18,1
Male,White,Middle,61537,Engineering,94304,9.3,Flexible,0.7,36.0,26.2,8642,1,North,Blue,58.3,180,20,1
Male,White,Middle,56207,Engineering,94301,13.4,Standard,0.7,43.1,20.8,7100,1,North,Blue,87.7,178,18,1
Female,White,Middle,50292,HR,94302,16.8,Flexible,0.39,30.9,31.0,8943,1,South,Yellow,45.0,104,18,1
Female,White,Middle,42788,Sales,94303,25.0,Flexible,0.44,33.8,22.9,3320,1,North,Green,39.0,185,12,0
Male,Asian,Middle,60250,HR,94401,15.5,Flexible,0.26,22.5,26.8,5761,2,North,Green,56.8,112,20,0
Female,Asian,Middle,42179,Marketing,94402,30.4,Flexible,0.26,42.8,21.1,6982,2,West,Yellow,35.0,108,18,0
Male,White,Middle,61878,Engineering,94302,7.7,Standard,0.7,27.2,36.6,6645,2,West,Red,66.9,169,16,1
Male,Black,Middle,48928,HR,94501,21.1,Standard,0.32,40.3,35.6,1973,3,East,Blue,45.7,147,12,1
Male,Asian,Middle,59968,Sales,94402,10.1,Flexible,0.24,47.1,22.6,9527,1,South,Blue,46.8,142,18,1
Male,White,Senior,79963,Engineering,94303,11.7,Standard,0.7,47.7,26.4,1075,3,North,Yellow,68.1,198,16,1
Male,White,Young,64069,Sales,94301,9.3,Flexible,0.7,46.8,35.3,7359,1,South,Red,61.8,133,19,1
Male,Hispanic,Senior,65906,Sales,94601,11.0,Standard,0.29,41.2,14.6,7029,2,North,Red,49.6,208,18,0
Female,Black,Young,26150,Engineering,94504,10.4,Flexible,0.1,49.9,23.4,1880,4,West,Blue,49.4,135,15,1
Male,Hispanic,Middle,45133,Engineering,94603,11.6,Flexible,0.15,21.3,21.2,6863,0,North,Green,60.1,243,16,1
Male,White,Young,65344,Engineering,94304,15.5,Standard,0.7,35.1,35.8,7670,2,West,Green,43.7,128,15,1
Female,Asian,Middle,42227,HR,94401,31.8,Standard,0.39,48.5,25.2,6067,1,West,Green,63.4,41,16,0
Male,White,Young,60460,Engineering,94303,4.4,Flexible,0.7,61.6,10.1,4498,5,South,Red,60.6,178,21,1
Male,White,Senior,74731,Sales,94303,10.0,Standard,0.7,13.8,20.7,9703,4,North,Yellow,58.9,183,14,1
Female,Black,Senior,55327,Sales,94504,15.4,Flexible,0.1,38.3,32.2,6312,1,South,Blue,52.4,166,16,0
Male,White,Middle,54885,Engineering,94302,5.4,Flexible,0.7,42.7,31.1,10506,2,North,Red,55.6,186,14,1
Male,White,Middle,55621,Engineering,94302,9.4,Flexible,0.7,32.0,15.7,2564,1,West,Red,62.3,154,16,0
Male,White,Senior,77987,HR,94302,7.6,Standard,0.7,27.1,16.2,4652,1,West,Red,58.6,35,14,0
Male,White,Senior,82225,Engineering,94304,12.3,Flexible,0.7,24.4,24.6,2448,4,East,Green,56.2,124,14,1
Female,Asian,Middle,45759,HR,94402,23.4,Flexible,0.47,20.8,20.6,2363,1,West,Red,46.8,71,20,1
Female,White,Middle,47895,HR,94304,16.4,Flexible,0.23,29.5,18.9,1905,3,East,Blue,69.3,65,14,0
Female,White,Middle,37059,Marketing,94304,13.8,Flexible,0.14,47.0,17.8,2211,2,North,Green,58.8,65,14,1
Female,White,Middle,44966,HR,94302,25.1,Flexible,0.39,36.5,16.3,10588,5,South,Green,56.6,76,20,1
Female,White,Middle,44016,Engineering,94304,22.0,Flexible,0.26,47.3,39.0,7557,4,East,Red,47.5,157,18,1
Male,Black,Middle,42339,Engineering,94504,23.1,Standard,0.23,20.0,21.1,2876,1,East,Red,65.8,137,16,1
Female,White,Young,45079,Sales,94303,21.2,Flexible,0.29,54.4,15.7,1578,1,South,Green,45.1,209,21,1
Male,Asian,Middle,56747,Sales,94401,20.7,Standard,0.18,47.8,28.0,7873,2,East,Yellow,65.2,161,14,1
Female,White,Middle,47557,Engineering,94304,25.7,Standard,0.35,13.9,20.2,9585,1,West,Blue,60.7,138,18,0
Female,White,Senior,65406,Sales,94301,22.1,Flexible,0.17,29.7,13.6,1661,1,South,Yellow,36.1,169,12,0
Male,Asian,Senior,75253,Sales,94402,12.2,Standard,0.18,38.4,22.0,4341,3,North,Blue,50.7,165,12,0
Male,Asian,Middle,62628,Engineering,94403,17.3,Standard,0.18,53.0,23.5,5755,3,West,Red,64.6,151,16,1
Male,White,Middle,48893,HR,94303,3.5,Standard,0.7,26.2,27.4,5389,1,East,Blue,57.6,144,20,1
Male,Asian,Young,57678,Engineering,94404,13.8,Flexible,0.32,63.9,26.5,5080,3,South,Red,63.8,146,13,1
Female,White,Middle,36183,Marketing,94303,19.7,Standard,0.12,44.4,12.9,4887,5,West,Blue,57.6,41,14,0
Female,Asian,Young,38439,Marketing,94401,29.4,Flexible,0.51,40.0,25.9,5671,4,West,Blue,41.1,56,17,0
Male,Black,Young,52624,HR,94504,10.0,Standard,0.26,59.9,31.1,9541,4,West,Red,70.4,33,21,1
Male,Black,Middle,43629,Marketing,94503,13.6,Standard,0.09,63.0,15.4,7748,2,South,Blue,47.2,105,12,0
Male,Hispanic,Middle,42881,Engineering,94602,19.0,Standard,0.19,36.6,17.8,7339,1,West,Green,58.1,125,18,0
Male,White,Young,71909,HR,94304,16.5,Standard,0.7,45.8,22.6,8129,0,South,Green,47.4,123,19,1
Male,Black,Senior,63203,Engineering,94503,10.8,Standard,0.36,25.5,25.8,4372,1,South,Green,61.5,144,12,1
Male,White,Middle,68252,HR,94304,20.5,Flexible,0.7,58.4,26.1,10050,5,South,Blue,57.4,59,14,0
Female,White,Young,44138,HR,94302,24.3,Flexible,0.43,42.7,20.7,7158,2,East,Blue,32.1,90,17,0
Male,White,Young,57375,Engineering,94304,12.3,Standard,0.7,40.3,12.5,5192,1,South,Red,56.5,150,13,1
Male,White,Young,62833,Marketing,94301,8.5,Standard,0.7,43.8,32.1,1263,2,East,Green,59.3,142,15,0
Female,Black,Young,41682,Sales,94501,25.4,Standard,0.1,43.9,13.1,7914,4,East,Blue,47.8,215,15,1
Male,Black,Middle,44269,HR,94503,11.1,Standard,0.32,34.2,34.8,5549,2,East,Blue,49.8,88,18,1
Female,Black,Middle,32448,HR,94501,21.8,Flexible,0.1,32.1,30.3,2290,4,North,Red,66.7,123,12,0
Female,White,Senior,69234,HR,94301,23.4,Flexible,0.31,27.8,12.1,8476,3,North,Yellow,47.7,100,14,0
Male,White,Young,61439,Sales,94304,13.9,Standard,0.7,51.4,26.8,4872,2,North,Yellow,41.6,208,13,1
Male,Hispanic,Middle,55509,Engineering,94604,12.8,Standard,0.15,53.5,34.9,4054,1,East,Green,65.2,125,14,0
Male,White,Middle,62575,Marketing,94303,13.6,Flexible,0.7,30.1,28.7,1249,1,West,Red,64.8,95,14,1
Male,Black,Middle,59041,Marketing,94501,13.7,Standard,0.45,27.0,10.4,4756,0,North,Blue,58.6,97,14,0
Male,Asian,Middle,58892,HR,94402,10.0,Standard,0.36,43.3,23.7,10793,2,South,Green,54.0,142,12,1
Female,Asian,Senior,64109,Marketing,94403,26.4,Flexible,0.33,40.3,27.7,7616,2,South,Green,49.3,99,12,0
Male,Black,Young,51608,Engineering,94502,12.3,Standard,0.3,65.4,37.4,4997,1,South,Yellow,48.3,185,21,1
Male,Asian,Middle,57287,Engineering,94401,18.9,Standard,0.35,54.1,22.9,5336,0,West,Red,61.7,190,20,1
Male,White,Senior,84240,Engineering,94303,4.9,Standard,0.7,19.1,10.7,4919,2,North,Red,52.1,98,12,1
Female,Asian,Young,44185,HR,94402,25.7,Flexible,0.22,30.0,38.5,2264,0,West,Blue,52.2,82,19,1
Male,White,Young,63940,Engineering,94303,15.8,Standard,0.7,55.7,23.0,8256,1,North,Blue,48.0,131,13,0
Male,White,Young,64722,Sales,94304,15.1,Standard,0.7,55.4,35.6,1791,2,East,Red,44.7,221,17,1
Male,White,Middle,62142,Sales,94304,15.9,Flexible,0.7,54.8,21.9,2576,2,South,Blue,80.1,172,12,1
Female,Asian,Young,45508,Sales,94402,25.1,Flexible,0.39,53.9,25.4,6058,1,South,Blue,32.9,181,13,1
Male,White,Young,54948,Engineering,94304,13.9,Standard,0.7,44.4,18.5,4518,5,North,Blue,59.8,198,15,1
Female,White,Middle,42248,Engineering,94304,22.1,Flexible,0.38,50.4,15.7,9488,2,South,Red,59.1,156,20,0
Female,White,Middle,49216,Marketing,94302,25.9,Flexible,0.29,29.6,35.5,2112,2,South,Green,58.5,163,16,0
Male,Hispanic,Young,57118,Engineering,94603,9.3,Standard,0.27,70.1,31.5,5371,4,East,Blue,43.7,106,13,1
Female,Asian,Middle,33297,Sales,94402,16.5,Standard,0.08,42.7,20.8,10189,0,West,Red,35.3,136,16,0
Male,Black,Middle,47160,HR,94504,15.9,Standard,0.13,32.6,31.5,4384,5,South,Yellow,58.9,54,16,0
Female,Black,Senior,55118,Sales,94503,8.0,Standard,0.1,26.1,15.6,9743,3,North,Green,54.7,179,16,0
Female,White,Middle,40603,HR,94304,14.6,Standard,0.35,42.0,21.0,4337,3,North,Red,52.1,130,20,0
Male,White,Middle,55887,HR,94301,24.0,Standard,0.7,39.2,24.8,9473,0,West,Red,66.5,77,18,0
Male,Hispanic,Middle,52374,Sales,94602,22.7,Standard,0.39,38.6,17.9,3814,4,North,Blue,60.3,174,20,1
Female,White,Young,52906,HR,94302,20.1,Flexible,0.41,36.9,13.9,4352,0,South,Red,61.9,94,15,1
Male,White,Middle,49840,Engineering,94302,20.0,Standard,0.7,38.4,8.9,1908,3,East,Red,62.8,111,14,1
Male,White,Senior,79147,Engineering,94302,15.2,Standard,0.7,43.3,16.3,4366,1,West,Green,67.6,151,12,1
Male,White,Middle,62316,Sales,94301,17.4,Standard,0.7,32.5,38.6,5799,1,South,Yellow,63.7,215,16,1
Male,White,Senior,83901,Engineering,94303,9.6,Standard,0.7,37.6,9.8,3417,4,South,Green,60.1,150,14,1
Female,Black,Senior,56595,Marketing,94503,21.1,Flexible,0.1,46.2,20.7,7966,2,North,Green,56.4,93,18,1
Male,White,Young,68807,Engineering,94303,19.0,Standard,0.7,56.3,25.2,3601,2,West,Green,64.1,170,13,1
Male,Black,Young,50144,Sales,94501,18.2,Standard,0.17,37.9,22.0,4394,4,North,Green,53.8,247,21,1
Male,White,Young,66559,Engineering,94301,7.3,Standard,0.7,53.2,31.0,5567,2,North,Red,55.2,156,19,1
Female,White,Middle,41768,Marketing,94303,33.2,Standard,0.53,54.6,18.8,8898,3,South,Blue,53.9,175,18,0
Male,White,Young,60289,Sales,94303,27.0,Flexible,0.7,55.0,31.6,5452,7,West,Red,55.9,216,19,1
Female,Asian,Senior,56936,HR,94401,8.5,Flexible,0.4,46.8,25.4,10278,3,North,Green,45.3,107,16,0
Male,White,Young,64504,Sales,94304,17.6,Standard,0.7,59.8,13.2,8884,1,North,Yellow,51.3,177,17,1
Female,Black,Middle,34397,HR,94501,33.2,Flexible,0.1,28.6,30.3,10162,0,West,Green,55.7,82,18,0
Male,Asian,Young,59789,Sales,94402,20.0,Standard,0.24,67.8,21.5,10386,2,West,Blue,51.3,224,17,1
Male,Black,Senior,68433,Engineering,94503,15.1,Flexible,0.32,47.5,9.7,1261,3,North,Yellow,60.5,152,12,1
Male,White,Middle,62932,Sales,94304,7.8,Standard,0.7,37.2,27.8,3845,3,East,Green,49.7,226,16,0
Female,White,Senior,66987,HR,94303,22.0,Flexible,0.13,48.0,18.7,8249,2,South,Blue,51.4,90,14,0
Female,White,Senior,60026,Engineering,94304,19.2,Flexible,0.24,33.7,34.0,4827,1,North,Red,77.8,141,14,1
Male,Black,Middle,45316,Engineering,94503,18.9,Standard,0.35,39.1,32.8,2828,0,South,Green,64.5,195,20,0
Female,White,Young,44861,Sales,94303,17.8,Flexible,0.31,41.1,13.8,4454,2,East,Yellow,56.9,162,19,0
Female,Asian,Young,46297,Sales,94403,17.6,Flexible,0.47,39.7,28.6,6533,2,East,Yellow,48.3,274,13,1
Male,Asian,Young,67314,HR,94402,14.3,Flexible,0.15,51.5,18.4,3267,1,South,Green,60.0,151,15,1
Male,White,Middle,61514,Sales,94301,13.1,Standard,0.7,37.5,10.7,5939,0,East,Red,58.2,246,20,1
Male,White,Young,65037,Marketing,94304,14.2,Standard,0.7,35.1,19.1,7033,3,North,Green,60.6,152,13,1
Male,Black,Young,41935,Engineering,94502,12.6,Flexible,0.29,53.5,13.4,10284,1,East,Yellow,47.2,150,19,1
Female,White,Middle,55064,HR,94302,22.0,Flexible,0.19,45.1,20.9,10953,1,West,Blue,48.9,95,20,1
Female,White,Middle,48028,Marketing,94303,19.7,Flexible,0.45,43.0,36.4,8410,2,East,Blue,48.4,128,14,0
Female,Asian,Middle,42751,HR,94404,22.8,Standard,0.33,42.9,21.6,4279,0,East,Red,43.1,121,20,0
Male,White,Middle,59176,Sales,94304,7.9,Flexible,0.7,44.1,27.7,9174,3,South,Green,56.6,169,18,1
Male,Hispanic,Senior,64464,Sales,94604,12.6,Flexible,0.3,36.7,16.0,9349,1,North,Green,67.3,236,18,1
Female,Asian,Middle,38893,HR,94404,24.3,Flexible,0.29,43.5,16.7,2809,4,North,Red,35.7,72,14,0
Female,Asian,Young,52552,Marketing,94404,16.7,Standard,0.21,55.1,25.4,10116,0,East,Green,52.9,69,17,0
Female,White,Middle,40054,HR,94302,29.6,Standard,0.42,34.1,20.5,2239,1,South,Red,56.7,64,20,1
Female,White,Senior,59958,Marketing,94304,13.9,Standard,0.32,22.3,15.2,3346,3,West,Yellow,58.7,107,18,0
Female,Black,Young,31488,Marketing,94502,28.9,Standard,0.1,53.2,29.0,5970,2,West,Red,44.2,35,21,0
Male,White,Middle,54009,Sales,94304,16.6,Flexible,0.7,41.5,25.1,4889,1,North,Blue,63.5,206,14,1
Male,White,Middle,60076,Engineering,94303,20.0,Flexible,0.7,44.5,40.4,7743,2,North,Green,69.2,179,18,0
Female,White,Young,50444,Engineering,94302,23.9,Standard,0.32,61.4,26.3,5517,5,East,Green,55.7,136,15,1
Female,White,Senior,61947,Sales,94302,20.8,Flexible,0.36,34.7,11.9,6904,3,West,Blue,58.3,134,12,0
Male,White,Young,53133,Engineering,94304,19.9,Standard,0.7,48.7,24.9,9272,7,West,Blue,72.3,133,13,1
Male,Asian,Middle,59459,Engineering,94404,24.5,Standard,0.21,44.7,14.4,4097,4,West,Blue,71.8,129,18,1
Female,White,Middle,44721,Engineering,94301,28.4,Flexible,0.5,29.8,37.0,5280,1,West,Yellow,60.0,138,18,1
Male,White,Middle,65013,Sales,94303,17.2,Standard,0.7,40.4,16.1,3095,1,South,Green,50.2,222,16,1
Male,Black,Young,47727,Engineering,94503,8.3,Standard,0.46,49.0,32.9,5544,2,East,Green,52.9,143,19,1
Male,Hispanic,Young,48699,Sales,94602,2.9,Standard,0.3,58.8,31.6,9132,1,West,Red,68.3,246,19,0
Female,White,Young,44252,Sales,94303,22.3,Flexible,0.27,45.4,15.5,2720,1,South,Green,59.4,165,19,1
Female,White,Young,45445,Marketing,94301,19.4,Standard,0.36,50.9,23.6,6378,3,West,Green,52.0,82,17,0
Male,Black,Middle,48037,HR,94504,11.6,Standard,0.41,38.4,26.0,4302,2,East,Red,49.4,125,12,0
Female,Hispanic,Senior,52226,HR,94604,17.6,Flexible,0.1,10.1,27.7,5912,1,North,Green,52.6,49,14,1
Male,Asian,Middle,48748,Marketing,94404,18.3,Flexible,0.48,34.7,25.4,3310,1,West,Blue,44.2,135,16,0
Male,Black,Middle,47173,Engineering,94502,11.9,Flexible,0.36,39.9,18.7,5896,2,West,Yellow,60.8,238,12,0
Female,White,Middle,48576,Marketing,94301,27.5,Flexible,0.31,31.1,25.5,6828,3,South,Green,64.5,65,12,0
Female,Black,Middle,39251,HR,94502,23.2,Flexible,0.1,38.8,25.5,1733,1,West,Yellow,60.1,73,12,1
Female,White,Senior,62644,HR,94302,18.2,Standard,0.31,48.4,13.6,7745,6,South,Green,56.2,27,12,0
Female,Black,Young,41497,Engineering,94503,32.4,Standard,0.1,59.6,2.6,2934,2,North,Yellow,56.0,133,13,0
Male,Asian,Senior,77856,Engineering,94403,10.9,Standard,0.11,16.3,28.7,8748,2,East,Red,64.7,167,14,1
Male,Hispanic,Middle,43310,HR,94602,14.7,Standard,0.26,47.6,27.0,7424,1,West,Yellow,43.1,140,20,0
Male,White,Senior,71738,Sales,94301,12.6,Standard,0.7,40.6,27.5,3508,1,North,Green,55.8,160,12,1
Male,White,Middle,66091,Engineering,94302,24.0,Standard,0.7,39.1,34.6,8689,2,North,Blue,71.8,144,16,1
