Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,Asian,31,Bachelors,0.4,42.2,72.6,4.5,Urban,58550,3,0
Male,White,42,Masters,9.6,100.0,75.7,4.7,Rural,112325,2,1
Male,Black,51,Masters,10.9,88.3,33.8,1.8,Suburban,106476,1,0
Male,White,46,Masters,0.3,23.1,72.3,2.5,Suburban,64175,1,0
Male,Black,24,Masters,3.3,82.4,86.7,1.0,Urban,86865,1,0
Male,White,45,Masters,5.4,75.2,24.1,1.0,Suburban,78682,1,1
Female,Hispanic,48,Masters,5.1,67.3,8.1,4.3,Urban,87850,4,0
Male,Black,22,Masters,0.0,35.4,26.5,3.6,Suburban,64627,1,0
Female,Asian,22,High School,9.0,51.1,25.0,1.4,Urban,84921,3,0
Male,Asian,37,Bachelors,5.1,77.3,67.3,1.6,Rural,84536,3,1
Female,Black,22,Bachelors,1.3,77.0,66.4,2.8,Urban,77120,1,0
Male,Black,49,Bachelors,3.8,44.7,28.0,2.1,Suburban,79539,1,0
Female,White,44,High School,7.7,33.5,64.7,2.2,Urban,77430,1,0
Male,White,49,Masters,1.1,93.8,50.3,3.4,Suburban,93351,3,1
Female,White,28,Bachelors,5.8,56.7,47.9,1.9,Urban,88673,1,0
Female,White,49,Bachelors,4.3,39.1,51.7,2.6,Rural,74309,1,0
Female,White,35,PhD,12.4,69.2,63.3,1.7,Suburban,100933,1,1
Male,Hispanic,29,Bachelors,10.7,37.8,9.6,1.1,Urban,87933,4,0
Female,Black,24,PhD,6.1,77.2,35.5,1.8,Urban,82304,1,0
Male,Asian,36,High School,4.8,77.8,18.3,4.6,Urban,83283,3,1
Female,White,25,High School,2.7,32.6,80.2,1.0,Rural,59660,1,0
Female,White,25,Bachelors,3.4,74.9,64.0,3.6,Urban,87197,1,1
Male,Black,32,PhD,0.5,88.5,13.2,3.0,Urban,78949,1,0
Male,Black,43,High School,11.0,77.1,82.8,1.7,Urban,94744,1,1
Female,Black,43,Bachelors,4.2,35.1,40.1,1.8,Urban,64587,1,0
Female,White,46,Bachelors,3.9,75.7,29.2,1.0,Urban,80857,1,0
Male,White,22,Masters,1.0,89.7,28.1,3.5,Suburban,83184,1,1
Male,Hispanic,54,Masters,0.1,100.0,48.5,1.3,Urban,88076,3,0
Male,White,45,Bachelors,12.7,55.3,13.9,4.5,Suburban,100276,2,1
Male,White,42,Masters,0.4,95.1,69.3,2.5,Urban,84803,3,0
Male,Asian,33,Masters,5.4,82.4,35.4,2.6,Urban,91173,4,1
Male,White,41,Bachelors,0.1,73.6,27.8,4.5,Urban,86523,1,0
Female,White,26,Masters,5.6,61.6,65.2,2.8,Suburban,88537,1,0
Male,Asian,34,High School,3.4,54.0,70.9,3.2,Suburban,81242,3,1
Male,White,50,Masters,3.1,53.4,65.5,2.5,Suburban,76848,1,0
Male,Asian,29,Masters,12.7,41.7,9.8,1.4,Rural,94826,4,0
Female,Asian,22,Bachelors,13.2,64.2,72.9,1.1,Urban,95453,4,1
Female,Asian,39,Masters,2.0,68.9,63.8,2.6,Urban,71141,3,0
Male,Black,50,Bachelors,3.3,90.8,74.5,2.7,Suburban,91166,3,0
Female,White,33,Masters,1.9,69.3,22.4,2.6,Suburban,77639,1,0
Male,Black,26,High School,0.2,32.4,74.2,1.0,Suburban,69833,1,0
Male,Asian,40,Bachelors,10.9,37.1,58.2,2.4,Urban,82507,3,1
Male,Black,22,High School,6.0,64.4,14.8,2.0,Urban,84656,2,0
Female,White,37,Bachelors,12.8,54.0,54.9,5.0,Urban,102444,1,1
Female,Asian,42,Masters,7.4,40.8,15.1,3.3,Urban,84832,4,0
Female,Hispanic,22,High School,10.2,32.1,13.0,2.3,Urban,78593,3,0
Female,Asian,25,High School,19.4,78.1,19.2,1.6,Suburban,113736,3,1
Male,White,24,Bachelors,1.6,48.8,76.0,5.0,Urban,69384,1,1
Female,Asian,27,Bachelors,2.3,71.8,54.3,1.5,Suburban,77126,3,0
Female,Hispanic,30,Masters,17.6,38.5,74.5,2.2,Suburban,96633,3,0
Female,White,37,Bachelors,1.9,50.8,27.6,2.2,Suburban,72393,3,0
Female,Asian,36,Masters,15.1,65.3,63.9,3.8,Urban,97059,3,0
Male,White,48,PhD,5.8,55.6,24.0,1.6,Suburban,78006,3,1
Male,Black,24,Masters,1.6,72.2,37.4,3.1,Urban,67965,2,0
Female,Hispanic,22,Bachelors,2.6,87.2,25.3,1.0,Suburban,78871,3,0
Male,Asian,45,Masters,0.0,94.1,10.9,2.6,Urban,80149,3,0
Female,Asian,31,Bachelors,1.1,84.6,22.7,1.4,Urban,78980,3,0
Female,Asian,30,Masters,5.2,72.2,52.8,3.1,Suburban,81953,3,0
Male,White,53,Bachelors,16.0,69.3,64.6,2.2,Rural,113899,1,1
Male,White,36,Bachelors,4.5,87.6,21.5,3.4,Suburban,91523,4,0
Male,White,22,Masters,9.4,69.6,46.6,3.1,Urban,94104,1,1
Female,White,51,PhD,25.0,85.7,71.9,5.0,Suburban,129852,1,1
Female,White,38,Masters,13.4,81.3,46.4,2.3,Suburban,101722,4,1
Male,Hispanic,32,PhD,5.3,94.1,35.1,1.1,Urban,98304,4,0
Male,White,23,Masters,5.0,100.0,94.8,3.1,Urban,102528,1,1
Male,White,44,PhD,1.4,82.2,76.4,2.9,Urban,91237,2,1
Male,Asian,39,Masters,0.4,93.9,49.4,3.3,Urban,84496,4,1
Female,Black,38,Bachelors,2.8,80.7,45.0,1.0,Rural,83995,1,0
Female,Asian,31,Bachelors,5.0,59.7,72.9,1.0,Urban,81034,4,0
Male,Black,26,High School,0.1,88.5,37.5,1.0,Urban,73591,2,0
Female,White,41,Bachelors,8.6,49.2,48.7,5.0,Urban,78297,2,1
Female,Hispanic,44,High School,3.2,41.6,15.4,3.7,Urban,61732,3,0
Female,Hispanic,40,High School,10.7,39.4,79.9,1.0,Urban,82893,3,0
Female,Asian,33,High School,3.3,54.2,37.7,2.0,Urban,75842,4,0
Male,White,35,Bachelors,0.4,49.6,0.3,1.7,Suburban,80573,1,0
Male,Black,30,Bachelors,4.2,56.2,25.7,1.6,Suburban,85162,2,0
Female,White,35,Bachelors,0.5,43.2,21.8,1.4,Urban,71122,1,0
Female,Black,45,Masters,1.5,75.2,16.5,1.8,Suburban,70826,1,0
Female,Asian,41,Masters,8.2,80.1,98.2,1.2,Rural,91470,3,1
Female,White,22,High School,8.6,33.6,81.5,4.2,Suburban,83095,1,1
Male,Asian,44,Masters,3.6,58.7,4.2,1.1,Urban,91892,4,0
Male,Asian,37,High School,1.5,43.1,49.5,4.4,Suburban,73081,4,0
Male,Asian,30,Masters,1.6,96.6,23.8,2.1,Rural,83917,3,1
Female,Black,42,Masters,7.4,64.4,60.0,2.7,Urban,85315,1,0
Male,Black,27,Bachelors,0.4,34.1,15.6,1.2,Urban,68264,1,0
Male,White,26,Masters,0.6,83.7,41.2,2.4,Rural,84230,1,0
Male,White,37,Bachelors,15.3,44.9,66.5,2.4,Urban,91448,1,1
Male,Hispanic,34,PhD,3.8,100.0,54.4,1.3,Suburban,96204,4,0
Female,White,34,Masters,10.2,97.3,87.1,5.0,Rural,96687,1,1
Female,Black,37,High School,1.9,54.3,42.6,1.7,Rural,74606,1,0
Male,White,48,Bachelors,13.2,85.7,11.1,4.9,Urban,108181,4,1
Male,Hispanic,30,Bachelors,5.0,40.4,22.2,1.0,Suburban,73332,3,0
Female,Black,45,Masters,1.3,29.7,68.8,3.6,Rural,57872,1,0
Female,Hispanic,26,High School,4.8,81.2,13.1,1.0,Suburban,83755,3,0
Female,White,50,Masters,5.3,30.4,59.8,1.9,Urban,71641,2,0
Male,Asian,46,High School,5.5,29.4,54.8,3.4,Urban,83580,3,0
Male,White,34,Masters,12.0,97.8,39.1,2.4,Urban,115389,1,1
Female,Hispanic,30,Bachelors,2.9,46.4,20.4,2.0,Urban,67149,3,0
Female,White,35,PhD,16.7,100.0,47.6,2.9,Urban,116978,2,1
Male,Black,34,High School,4.7,88.2,97.4,3.7,Urban,93883,2,1
Male,Asian,46,Masters,4.9,75.8,42.6,1.3,Urban,85438,3,0
Female,White,36,Masters,6.4,50.2,5.8,1.1,Rural,85162,2,0
Male,Hispanic,22,Masters,0.2,94.1,56.9,1.6,Suburban,81848,3,0
Male,Hispanic,22,Masters,10.1,46.3,27.1,1.0,Urban,90621,3,0
Female,White,29,PhD,2.8,100.0,44.3,1.7,Urban,92698,2,0
Female,Black,49,Masters,0.3,78.5,62.6,1.1,Urban,62468,2,0
Male,Black,31,Bachelors,0.8,94.0,60.8,1.0,Urban,86414,3,0
Female,White,23,PhD,1.3,67.4,20.6,1.5,Rural,80134,1,0
Female,Black,22,High School,0.7,61.3,22.7,1.0,Rural,76477,1,0
Male,Black,39,Bachelors,8.9,93.2,43.6,2.1,Rural,104419,1,0
Female,Hispanic,41,Bachelors,1.4,22.9,10.4,1.8,Rural,63200,3,0
Male,White,42,High School,18.3,65.2,51.4,1.0,Urban,113267,1,1
Female,White,31,Bachelors,8.2,47.2,28.1,2.1,Rural,79585,1,0
Female,Hispanic,22,High School,8.2,56.5,87.6,4.1,Suburban,85311,3,0
Female,Black,25,Bachelors,2.0,56.5,28.8,1.1,Urban,73605,1,0
Male,Hispanic,54,Masters,13.9,32.9,28.8,2.2,Suburban,100810,3,0
Male,Black,41,PhD,3.6,71.8,70.8,1.1,Suburban,80586,2,0
Female,Asian,48,Bachelors,18.9,42.7,39.0,3.2,Suburban,108979,3,1
Female,Hispanic,40,Bachelors,0.6,58.6,90.8,3.2,Urban,69829,4,0
Female,Asian,29,Bachelors,8.7,60.1,28.1,1.4,Suburban,86029,4,0
Female,Black,48,Bachelors,1.1,70.2,66.4,4.1,Urban,78294,1,0
Male,White,32,Masters,1.2,47.2,60.1,1.8,Rural,77468,1,0
Female,White,22,High School,10.2,42.3,75.1,3.9,Suburban,84980,2,0
Male,White,38,Masters,22.1,52.4,40.1,2.6,Suburban,109658,2,1
Male,White,43,PhD,6.3,70.0,53.8,3.1,Urban,87038,4,1
Female,White,25,Masters,5.1,77.4,70.2,1.4,Urban,97246,1,0
Female,Asian,36,Bachelors,1.2,76.1,58.2,2.4,Suburban,73825,3,0
Female,Black,50,Masters,0.5,100.0,26.5,1.4,Rural,76432,1,0
Male,White,46,High School,4.0,53.5,58.9,4.3,Urban,76940,1,1
Male,Hispanic,41,High School,2.0,85.1,30.8,2.2,Urban,76827,3,0
Male,White,34,Masters,0.9,79.7,84.5,5.0,Suburban,82495,1,1
Male,White,39,High School,12.1,74.5,65.3,5.0,Suburban,107312,1,1
Female,Asian,33,Bachelors,5.4,74.7,18.5,2.5,Suburban,81793,3,0
Female,White,35,High School,2.2,79.9,39.8,4.2,Rural,86340,1,0
Male,Asian,26,High School,5.9,53.3,74.5,1.5,Urban,75430,4,1
Male,White,35,Bachelors,1.9,83.5,67.2,4.5,Urban,83854,3,1
Male,White,30,PhD,5.0,84.0,54.6,3.0,Suburban,95637,2,1
Female,Hispanic,39,Bachelors,5.6,72.7,48.3,1.0,Urban,80515,3,0
Male,White,42,Bachelors,3.3,100.0,43.5,1.9,Suburban,90970,1,1
Male,White,27,PhD,1.0,100.0,87.0,3.0,Urban,94862,1,1
Female,White,37,Masters,15.3,37.1,58.2,2.2,Urban,90396,1,1
Male,Hispanic,22,Bachelors,2.6,71.0,17.8,1.1,Urban,76820,3,0
Male,White,56,Bachelors,3.3,63.1,36.5,5.0,Urban,78340,1,1
Female,Hispanic,36,Masters,2.0,99.0,89.1,2.4,Suburban,84401,4,0
Male,Hispanic,24,High School,0.5,57.0,13.6,1.7,Suburban,75906,4,0
Male,White,31,Bachelors,0.2,94.9,73.5,2.4,Urban,88261,3,1
Female,Black,30,Bachelors,3.6,92.5,37.3,4.0,Rural,82765,4,0
Female,White,27,Masters,4.8,92.1,37.3,1.0,Urban,96190,1,0
Female,Asian,29,Bachelors,0.6,79.0,65.5,3.5,Urban,64450,3,0
Female,White,46,Bachelors,4.1,67.2,41.2,2.2,Urban,75228,1,0
Female,White,38,Masters,11.9,77.2,30.9,1.1,Suburban,90790,1,1
Female,Hispanic,36,Bachelors,2.0,34.8,75.3,3.0,Suburban,69363,3,0
Male,Asian,31,Bachelors,0.3,73.7,53.7,3.6,Rural,77894,3,0
Female,White,46,Masters,1.9,71.5,64.6,3.8,Urban,80010,1,0
Male,Asian,22,PhD,4.7,100.0,3.0,3.7,Urban,92592,3,1
Female,Asian,34,PhD,7.2,52.4,72.9,2.1,Suburban,85498,3,0
Female,Asian,22,High School,8.8,54.8,15.4,2.2,Rural,89090,3,0
Female,Asian,37,Masters,2.1,97.3,45.5,4.6,Rural,90473,4,0
Male,White,35,PhD,0.3,87.6,55.6,1.5,Suburban,92750,3,0
Male,Black,24,PhD,3.3,79.7,46.5,2.1,Suburban,78888,2,0
Male,White,38,Masters,8.4,58.1,88.3,1.7,Suburban,99522,1,1
Male,Asian,35,Bachelors,4.4,70.9,57.5,2.2,Urban,89673,4,1
Female,Hispanic,26,Bachelors,4.5,52.8,19.1,4.0,Rural,75759,4,0
Female,Hispanic,46,High School,9.9,72.8,43.7,1.8,Urban,86775,3,0
Female,Hispanic,49,Bachelors,5.9,65.8,16.0,2.1,Suburban,70916,4,0
Male,Black,35,High School,2.5,59.3,78.2,1.0,Suburban,76410,1,0
Male,White,33,Masters,3.0,86.4,44.2,1.4,Suburban,94344,1,1
Female,Asian,34,Bachelors,12.6,96.1,74.7,2.2,Rural,109564,3,1
Male,White,39,Masters,6.4,31.7,92.9,1.9,Rural,76640,3,0
Female,Asian,44,Bachelors,5.2,85.2,80.3,2.8,Urban,85977,3,1
Male,Hispanic,25,Bachelors,2.2,33.2,23.5,1.1,Suburban,64398,3,0
Female,Asian,22,Masters,2.6,56.8,81.9,1.9,Rural,69113,3,0
Male,White,39,Bachelors,16.3,35.6,80.6,4.4,Urban,105284,4,1
Female,Hispanic,26,Masters,2.5,57.0,30.6,2.4,Suburban,73300,3,0
Male,White,52,Bachelors,10.6,62.1,18.1,2.0,Rural,95457,1,0
Female,Hispanic,34,Bachelors,3.5,82.9,78.2,1.0,Urban,73692,3,0
Male,Hispanic,42,PhD,0.2,84.3,49.5,3.9,Urban,70822,3,0
Male,Hispanic,34,Masters,0.8,91.5,15.6,1.0,Suburban,75834,3,0
Male,White,35,Bachelors,2.8,74.6,18.6,1.1,Rural,86109,4,0
Male,Hispanic,27,Bachelors,6.0,77.2,44.5,1.5,Urban,89931,3,0
Female,Black,22,Masters,0.8,66.5,66.5,1.8,Rural,74121,1,0
Female,White,34,High School,1.6,32.5,38.4,1.6,Urban,76868,1,0
Female,Black,29,Masters,2.3,48.3,42.5,1.7,Urban,69160,2,0
Female,White,39,Bachelors,0.3,17.0,54.1,2.0,Urban,55584,1,0
Female,Hispanic,24,PhD,2.3,84.9,13.8,1.0,Rural,76550,3,0
Female,Black,39,Masters,0.2,54.1,16.6,3.7,Urban,65383,2,0
Female,White,22,Bachelors,5.0,64.0,46.9,1.3,Urban,85241,2,0
Female,White,39,Bachelors,3.2,80.3,13.2,1.4,Urban,83301,1,0
Female,White,38,Masters,5.6,68.2,51.4,4.0,Suburban,77514,1,0
Male,White,38,High School,0.3,77.1,30.9,3.2,Rural,85525,1,0
Male,Black,31,Masters,2.3,40.4,64.6,1.9,Suburban,75138,2,0
Male,Asian,46,Masters,7.8,96.6,77.5,1.2,Urban,92660,4,1
Male,White,23,Bachelors,4.6,92.6,24.0,3.2,Suburban,100234,1,1
Male,Asian,39,Bachelors,6.4,95.7,39.4,2.8,Urban,92428,4,0
Male,White,48,Bachelors,9.3,100.0,56.8,4.7,Suburban,100682,1,1
Male,White,27,Masters,7.7,61.3,38.9,1.1,Suburban,97231,1,0
Male,Asian,38,PhD,0.9,81.5,8.4,1.6,Suburban,76219,3,0
Male,White,34,Masters,10.4,42.0,21.3,4.3,Urban,96039,1,1
Male,Hispanic,39,Bachelors,2.7,77.7,34.6,2.5,Rural,91398,3,0
Male,White,41,High School,14.4,60.2,31.3,2.3,Suburban,95006,2,1
Female,White,47,Bachelors,1.8,73.8,35.5,1.0,Urban,83980,1,0
Female,Asian,36,Masters,4.3,51.6,48.1,1.4,Urban,79689,3,0
Female,White,36,Masters,9.0,72.9,60.9,1.0,Urban,96193,1,1
Female,Asian,35,High School,4.9,83.5,71.8,1.4,Suburban,79514,4,1
Male,Black,28,Masters,3.1,83.8,26.5,3.5,Suburban,82298,1,0
Male,White,52,Bachelors,9.2,50.6,21.4,3.5,Urban,94153,1,1
Female,White,55,Masters,1.0,72.2,47.3,2.2,Rural,85603,1,0
Male,White,23,Masters,3.3,59.3,38.9,1.2,Urban,80188,2,0
Male,Hispanic,33,Bachelors,1.2,93.5,68.2,2.9,Urban,86670,3,0
Female,Asian,22,High School,2.7,59.1,61.3,4.3,Urban,72159,4,1
Male,Black,34,Bachelors,5.3,42.6,21.7,2.7,Suburban,82118,3,0
Female,Black,34,Bachelors,4.4,38.5,63.3,3.1,Urban,70871,1,0
Male,Hispanic,46,Bachelors,3.1,39.5,49.5,3.0,Urban,83108,4,0
Female,Hispanic,35,Masters,0.9,99.4,35.4,1.7,Urban,82657,3,0
Male,Asian,22,Masters,1.7,67.1,71.1,3.6,Rural,81078,3,1
Female,Black,31,Masters,6.6,63.0,64.3,1.0,Rural,81256,3,0
Male,Black,22,High School,1.2,75.7,88.4,3.0,Urban,79672,1,0
Female,Hispanic,31,Masters,1.1,39.9,25.6,2.3,Urban,63908,4,0
Female,Hispanic,26,PhD,17.5,79.2,68.1,2.1,Rural,114333,3,0
Female,White,33,Bachelors,3.8,95.8,66.1,3.4,Suburban,94954,1,0
Male,White,29,Masters,8.4,85.9,49.2,1.1,Suburban,106020,4,1
Male,Hispanic,41,Masters,1.2,41.9,78.9,2.3,Suburban,61393,4,0
Male,White,22,High School,0.8,89.6,63.9,1.9,Suburban,87695,1,1
Male,Hispanic,54,Masters,1.6,100.0,9.9,1.4,Urban,93595,3,0
Male,Black,44,High School,1.7,53.4,32.6,2.9,Urban,80684,1,0
Male,Black,40,High School,1.0,53.4,69.1,1.0,Suburban,71648,1,0
Female,Asian,22,High School,8.1,99.5,74.3,2.0,Urban,94297,3,0
Male,Hispanic,53,Masters,3.0,60.6,41.5,1.6,Urban,73275,3,0
Female,Black,29,Masters,3.2,54.0,22.5,1.0,Suburban,64860,2,0
Female,White,27,Masters,2.3,51.1,67.0,5.0,Rural,74549,1,1
Male,Asian,45,Bachelors,7.1,84.8,9.3,3.2,Rural,101068,4,0
Male,White,22,PhD,9.2,50.8,46.7,4.3,Suburban,92662,1,1
Female,White,23,Masters,6.0,79.8,61.8,2.2,Rural,83017,4,1
Male,White,22,PhD,17.3,81.6,29.8,2.2,Suburban,122675,3,1
Male,Black,25,Bachelors,4.2,78.1,31.2,4.0,Suburban,75588,1,0
Female,White,38,PhD,6.7,40.2,61.7,1.1,Urban,79879,4,0
Male,Hispanic,29,Masters,3.5,79.4,30.9,2.3,Rural,82214,3,0
Male,White,38,PhD,10.1,100.0,85.7,1.3,Rural,106724,1,1
Female,White,52,PhD,12.4,93.9,52.9,4.4,Urban,108824,1,1
Male,Asian,28,Bachelors,1.1,66.5,50.3,4.2,Suburban,79060,3,1
Male,Black,44,Bachelors,4.7,80.3,26.0,1.3,Suburban,93175,2,0
Female,Black,32,Masters,6.7,68.8,27.3,2.9,Urban,88656,2,0
Female,Asian,50,Bachelors,3.5,91.1,25.9,4.7,Urban,77329,4,0
Male,White,34,Masters,11.1,46.0,84.4,2.3,Rural,83473,4,1
Female,White,39,Masters,1.4,74.7,73.8,1.3,Urban,73666,1,0
Female,Hispanic,42,Masters,10.9,43.8,32.8,1.2,Rural,83580,3,0
Male,White,23,High School,1.5,86.8,70.4,3.1,Suburban,87707,1,1
Female,Asian,33,Masters,0.6,74.0,65.6,1.0,Suburban,77021,3,0
Male,Black,30,Masters,2.4,96.7,62.0,1.8,Urban,87602,2,1
Male,Hispanic,40,High School,0.7,29.2,56.2,2.9,Urban,63957,3,0
Male,Asian,28,Bachelors,4.9,79.5,53.7,1.9,Urban,87281,3,1
Male,White,30,High School,6.0,40.9,10.9,4.1,Urban,90999,1,1
Male,Black,34,Masters,4.0,55.1,10.8,4.4,Suburban,76238,1,0
Female,White,41,PhD,11.7,100.0,64.2,3.0,Rural,105450,1,1
Male,Black,40,Masters,7.2,47.6,21.2,2.9,Suburban,85139,2,0
Male,Black,50,Masters,10.3,100.0,46.7,1.7,Rural,115820,1,1
Female,Asian,45,High School,1.4,99.4,25.1,3.0,Urban,88939,3,0
Female,White,35,High School,8.5,47.3,50.6,3.6,Urban,90906,1,0
Male,Black,60,Bachelors,3.6,23.3,90.0,1.8,Rural,66611,1,0
Female,White,22,Masters,3.2,59.9,60.9,4.5,Rural,70526,1,0
Female,Hispanic,37,High School,0.6,49.5,75.9,5.0,Suburban,64240,3,0
Female,White,26,Bachelors,5.5,97.4,25.2,2.1,Urban,86574,4,0
Female,Asian,29,PhD,23.5,43.0,70.7,2.4,Suburban,121941,3,1
Female,Black,42,High School,9.7,60.9,58.6,2.0,Urban,89388,2,0
Female,White,22,Bachelors,8.0,35.1,71.0,1.5,Urban,78851,1,0
Male,Hispanic,52,Masters,3.1,88.6,62.3,3.1,Urban,81841,4,0
Male,Black,22,Bachelors,5.1,87.3,36.5,1.0,Rural,95038,1,0
Male,Hispanic,55,Masters,4.5,100.0,54.7,3.1,Urban,97271,3,1
Male,Black,22,Masters,2.0,62.7,81.8,1.9,Urban,76245,2,0
Female,Hispanic,22,Masters,3.3,32.8,57.4,3.5,Urban,65852,3,0
Female,Black,26,Bachelors,4.7,48.1,39.8,1.9,Suburban,81644,4,0
Female,White,39,PhD,9.6,75.2,84.0,4.2,Urban,102411,2,1
Male,White,43,Bachelors,0.1,42.8,88.3,3.4,Urban,73831,1,0
Male,Hispanic,26,High School,6.8,34.3,28.3,2.8,Urban,79349,4,0
Female,Asian,34,High School,19.8,97.5,79.6,1.7,Urban,115330,4,1
Female,White,35,Masters,5.2,52.7,39.4,2.4,Rural,81342,1,0
Female,Black,48,Bachelors,4.2,99.3,24.6,2.6,Rural,91166,2,0
Male,White,31,Masters,9.2,77.2,15.8,1.8,Rural,96502,2,1
Female,Hispanic,41,Bachelors,1.9,82.0,25.1,2.6,Urban,83935,3,0
Male,Hispanic,37,Masters,2.0,63.2,39.3,1.8,Urban,70804,3,0
Male,Black,30,PhD,0.9,58.5,47.6,3.7,Suburban,84142,1,0
Male,Hispanic,30,Bachelors,1.7,58.7,76.9,1.0,Suburban,86505,4,0
Female,Hispanic,25,Bachelors,7.1,77.0,27.1,2.3,Suburban,93708,3,0
Male,Asian,22,High School,5.7,73.8,47.8,1.1,Suburban,95592,3,0
Male,Black,51,Masters,14.6,77.6,61.6,1.5,Urban,98350,1,0
Female,White,28,Bachelors,2.3,84.2,32.4,2.1,Rural,82980,1,0
Female,White,29,PhD,0.6,100.0,85.6,2.5,Urban,83300,2,0
Female,Hispanic,22,Masters,4.1,64.2,21.7,2.5,Urban,78833,3,0
Male,Asian,35,High School,1.0,82.2,83.6,1.6,Suburban,81978,3,1
Female,White,27,Masters,2.1,76.7,39.1,4.4,Urban,81590,1,0
Male,Asian,31,High School,2.0,87.0,33.0,1.8,Rural,81878,3,1
Male,White,57,Bachelors,5.2,60.3,80.4,1.7,Urban,79068,2,0
Male,Asian,56,Masters,0.7,79.9,24.9,3.2,Urban,73999,3,1
Female,Black,43,Bachelors,4.7,19.6,75.5,4.7,Urban,70879,1,0
Male,White,22,Masters,0.6,76.4,57.2,5.0,Urban,80175,2,1
Male,Asian,37,Bachelors,22.7,99.4,37.0,4.3,Urban,127810,3,1
Male,Black,22,Masters,8.1,40.4,69.4,4.2,Suburban,90847,1,0
Male,Asian,46,High School,7.6,52.0,37.0,1.4,Suburban,83725,3,1
Male,Asian,41,Masters,4.0,97.7,9.6,1.3,Urban,88867,3,0
Male,White,24,Bachelors,7.7,100.0,13.9,1.3,Rural,100756,4,1
Male,Black,37,Bachelors,2.5,76.4,48.2,1.0,Suburban,92806,1,0
Male,Hispanic,30,Masters,1.8,48.8,29.5,1.5,Urban,63238,4,0
Male,Black,48,PhD,2.0,42.6,65.5,1.0,Urban,68879,1,0
Male,White,40,Masters,17.5,71.6,47.5,2.4,Urban,109906,1,1
Male,White,22,High School,11.1,90.5,28.5,1.4,Suburban,112073,1,1
Female,Black,28,Bachelors,2.0,47.5,100.0,3.1,Suburban,72093,1,0
Male,White,53,Masters,4.7,100.0,51.6,4.0,Rural,93316,3,1
Female,Hispanic,27,Masters,0.6,68.7,15.9,3.9,Urban,76121,3,0
Male,White,29,Bachelors,9.6,80.0,71.5,1.6,Suburban,100279,2,1
Male,Hispanic,37,High School,0.8,92.6,22.8,1.0,Urban,76487,3,0
Male,Black,31,Masters,2.8,58.1,71.1,3.7,Urban,70260,1,0
Male,White,44,High School,9.9,60.4,4.9,4.6,Suburban,92879,1,1
Female,White,35,PhD,6.9,50.9,15.2,5.0,Rural,78467,2,0
Male,Asian,38,Bachelors,2.6,100.0,53.7,1.7,Urban,89715,4,1
Female,Black,22,Bachelors,0.3,77.1,43.6,2.0,Urban,78153,1,0
