Gender,Race,Age,Education_Level,Experience_Years,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,Asian,31,Bachelors,5.4,23.9,1.0,Urban,83.1,85976,3,0
Male,Asian,28,High School,23.8,58.3,1.8,Urban,40.2,119442,3,1
Female,White,39,Masters,6.3,96.8,2.0,Urban,77.7,82187,3,1
Female,White,34,Masters,6.8,49.1,5.0,Urban,41.7,97106,2,0
Female,White,36,High School,2.8,63.0,4.9,Urban,68.0,78549,1,1
Female,White,30,Bachelors,1.7,65.4,1.1,Suburban,50.1,83597,3,0
Female,Asian,35,Bachelors,1.2,57.2,1.9,Rural,56.6,77827,4,0
Female,Asian,22,High School,4.6,43.1,2.1,Urban,52.2,77972,4,0
Female,White,34,Masters,16.8,81.5,3.6,Urban,75.4,109467,3,1
Male,Black,42,High School,16.3,71.6,1.9,Urban,37.6,110732,3,1
Female,Black,27,High School,11.2,60.8,3.0,Suburban,43.4,85502,2,0
Female,White,38,Bachelors,15.4,66.0,4.4,Suburban,27.8,101932,2,1
Female,Asian,22,High School,2.8,54.3,1.5,Suburban,34.9,77888,3,0
Male,White,32,Masters,3.1,80.5,1.4,Suburban,46.4,93564,2,1
Female,Black,27,High School,3.1,73.7,1.8,Urban,61.2,77408,1,0
Female,Hispanic,38,Masters,0.5,71.2,2.0,Urban,61.8,79075,3,0
Male,Asian,22,Masters,4.2,12.7,3.8,Rural,74.2,89906,3,1
Male,Black,37,PhD,6.0,26.9,4.0,Urban,55.3,93199,2,0
Male,White,23,High School,1.3,30.7,4.1,Suburban,88.7,93557,1,1
Female,Asian,37,Bachelors,0.8,24.9,4.9,Rural,64.1,61145,3,0
Female,Black,29,Masters,5.1,72.0,3.3,Urban,59.2,82028,1,0
Female,Asian,34,High School,0.4,49.7,3.5,Urban,83.2,86212,4,0
Male,White,23,High School,12.3,11.3,2.6,Urban,38.5,87998,4,1
Male,Black,32,Bachelors,1.7,42.7,1.8,Urban,19.0,87351,1,0
Female,White,37,High School,1.7,32.3,2.8,Rural,87.0,77192,1,0
Male,White,43,Bachelors,8.2,49.2,1.2,Rural,37.7,82427,3,0
Female,Black,31,PhD,0.0,21.5,3.8,Suburban,54.8,78559,2,0
Male,Hispanic,35,Masters,1.7,16.4,1.1,Suburban,69.9,76131,3,0
Male,White,37,High School,1.9,63.7,1.0,Urban,100.0,89783,1,1
Female,Asian,31,Bachelors,14.2,30.3,4.2,Suburban,60.9,109028,3,1
Male,White,27,Bachelors,2.3,21.0,5.0,Suburban,48.6,98638,2,1
Female,Asian,42,Bachelors,4.5,60.6,1.0,Rural,52.8,72042,3,0
Female,Hispanic,28,High School,1.4,0.0,1.9,Urban,59.7,62817,3,0
Male,White,28,Bachelors,0.1,49.3,2.3,Rural,82.2,65060,1,0
Female,Asian,36,High School,1.3,32.0,4.3,Urban,65.0,77464,3,0
Male,Black,22,High School,6.8,81.2,3.9,Suburban,22.9,77147,2,0
Female,Asian,27,PhD,7.3,20.6,4.6,Suburban,18.3,94204,3,0
Female,White,24,High School,7.5,54.5,2.4,Suburban,67.2,77116,1,0
Female,Asian,22,Masters,2.3,35.6,3.2,Rural,85.2,90076,3,0
Male,Black,31,PhD,1.9,95.7,1.8,Suburban,69.3,79300,1,0
Male,Hispanic,34,High School,9.8,48.4,1.0,Urban,52.9,85554,3,0
Female,White,60,High School,16.0,64.6,3.0,Urban,0.0,108741,1,1
Male,Asian,32,High School,6.1,73.5,2.1,Suburban,24.7,79905,4,0
Female,Hispanic,45,Masters,2.4,44.8,1.0,Urban,79.4,73211,3,0
Male,Hispanic,26,Bachelors,1.6,7.1,4.4,Suburban,66.5,85044,3,0
Female,White,34,Bachelors,8.1,24.6,1.3,Suburban,64.4,90276,3,0
Female,Black,34,PhD,1.6,50.2,2.3,Rural,57.6,68956,1,0
Male,Hispanic,34,PhD,13.2,36.5,1.0,Urban,67.3,98394,3,0
Male,Asian,29,High School,4.9,50.3,1.5,Suburban,50.7,77215,3,0
Male,Asian,27,High School,4.4,74.2,1.2,Urban,100.0,84716,4,1
Male,White,25,Masters,15.0,79.7,2.8,Urban,90.2,99390,1,1
Female,Asian,31,Bachelors,2.3,35.9,1.0,Rural,69.6,69424,3,0
Female,White,38,Bachelors,4.9,67.7,5.0,Rural,72.2,89107,1,1
Male,Asian,35,Masters,25.0,6.5,3.2,Urban,65.8,119232,4,1
Male,Black,31,Masters,2.0,64.1,4.2,Suburban,33.2,78722,2,0
Female,White,35,Bachelors,10.0,73.5,1.4,Suburban,12.8,99367,3,0
Female,Hispanic,30,High School,2.7,57.2,2.8,Urban,31.0,68826,3,0
Female,Black,34,High School,1.9,59.3,1.0,Suburban,79.2,72968,1,0
Male,Black,41,Bachelors,10.0,88.8,1.0,Suburban,37.7,109060,1,1
Male,Hispanic,22,Masters,5.5,26.9,1.0,Suburban,80.0,89102,3,0
Male,Asian,28,PhD,2.7,57.9,4.2,Suburban,38.3,83591,3,0
Male,White,22,Bachelors,2.0,21.2,1.9,Suburban,60.4,90650,3,0
Male,Asian,22,Masters,1.6,12.5,1.4,Urban,41.6,96286,4,0
Male,White,28,High School,7.1,34.1,2.6,Suburban,96.1,94134,2,1
Female,Hispanic,31,Bachelors,6.0,60.7,1.0,Urban,100.0,81788,3,0
Female,Asian,37,Bachelors,14.8,81.3,1.3,Suburban,58.5,106749,3,1
Female,Black,44,Bachelors,6.1,38.8,1.0,Urban,46.7,82274,1,0
Male,White,37,High School,1.0,71.2,2.1,Suburban,47.7,82998,1,0
Female,Black,47,Bachelors,2.9,28.6,2.2,Urban,8.0,87484,1,0
Male,White,22,Masters,0.2,47.2,1.6,Suburban,100.0,87531,1,1
Female,Black,34,Bachelors,2.5,66.8,2.6,Urban,65.9,63669,3,0
Female,Hispanic,34,Bachelors,13.5,92.5,2.6,Urban,56.0,99258,3,1
Male,Asian,37,Bachelors,1.2,45.1,2.3,Suburban,35.2,77304,3,0
Female,Asian,47,Bachelors,2.7,55.2,1.4,Urban,40.4,71539,4,0
Male,White,29,Bachelors,1.3,66.4,2.2,Urban,92.4,85855,1,1
Female,White,27,Masters,6.3,59.2,2.6,Rural,52.7,83969,1,0
Male,Asian,33,Bachelors,3.1,24.8,1.5,Suburban,74.2,83227,3,0
Male,Hispanic,37,Masters,6.5,34.4,2.0,Urban,66.8,93391,4,0
Female,White,39,Bachelors,1.9,84.7,1.0,Urban,70.5,75834,3,0
Male,Asian,33,Bachelors,3.3,9.0,1.0,Rural,46.2,92697,3,0
Male,Black,48,High School,0.3,61.9,1.0,Urban,30.0,70600,3,0
Male,Asian,45,High School,1.4,12.1,1.0,Urban,74.8,64844,3,0
Male,White,51,Masters,3.6,25.2,4.2,Suburban,65.4,94994,1,0
Female,Hispanic,22,Masters,8.4,47.3,2.0,Urban,34.6,93957,4,0
Female,White,23,Masters,0.3,8.5,2.5,Rural,68.2,75265,1,0
Male,White,39,PhD,0.9,79.8,1.3,Suburban,100.0,99869,1,1
Female,White,45,Bachelors,3.8,61.7,3.1,Urban,95.2,84772,3,1
Male,White,22,High School,3.0,57.1,2.4,Urban,100.0,84087,1,1
Male,White,43,High School,1.0,52.0,3.6,Rural,71.5,61108,1,0
Female,Black,34,High School,1.6,14.6,3.1,Urban,4.4,61809,1,0
Female,Black,47,Bachelors,5.6,50.3,1.9,Suburban,27.4,74557,2,0
Female,White,57,High School,4.7,81.1,4.1,Suburban,36.2,85505,2,0
Male,Black,22,Bachelors,0.6,87.1,2.8,Urban,77.4,70626,1,1
Female,White,46,Bachelors,2.7,12.7,3.4,Rural,72.8,80387,1,0
Female,White,27,PhD,3.4,49.7,2.3,Rural,18.3,82462,1,0
Female,Asian,37,High School,7.2,67.8,4.2,Urban,70.3,71360,3,0
Male,Black,41,Bachelors,2.9,64.5,1.7,Urban,46.7,83348,1,0
Female,Asian,30,High School,3.2,54.1,2.6,Urban,86.1,64277,3,0
Male,White,46,Bachelors,0.1,16.6,5.0,Urban,42.5,86199,1,0
Female,Black,37,Bachelors,2.9,0.0,2.8,Urban,66.2,75695,2,0
Male,White,38,Bachelors,2.2,16.7,1.8,Urban,51.0,91479,1,0
Male,Black,31,PhD,8.6,48.0,2.8,Urban,45.4,99199,2,0
Female,White,34,Masters,1.3,37.3,1.2,Urban,96.8,92877,1,0
Female,Hispanic,42,PhD,4.9,43.4,1.7,Urban,43.7,74517,3,0
Male,Asian,30,Masters,8.4,35.5,1.8,Urban,61.1,91769,4,1
Male,Black,22,High School,6.8,46.0,4.9,Suburban,40.4,84849,1,0
Male,White,37,High School,15.9,39.2,2.4,Rural,99.6,108113,2,1
Male,Black,44,Masters,13.1,30.8,1.0,Suburban,5.2,101357,2,0
Female,White,30,Bachelors,9.7,36.8,2.0,Suburban,13.4,85280,2,0
Female,Black,36,Bachelors,2.8,87.9,2.3,Urban,50.1,85257,1,0
Female,Asian,38,Bachelors,4.0,68.4,1.1,Urban,46.9,80145,3,0
Female,Black,35,PhD,4.0,62.0,1.3,Rural,56.7,80046,1,0
Female,White,35,Bachelors,4.2,28.8,1.7,Urban,84.1,76239,1,0
Male,Hispanic,45,Masters,5.9,23.9,1.0,Urban,49.9,90620,3,0
Female,White,38,Masters,3.1,30.9,2.5,Urban,8.6,84616,1,0
Male,White,36,Masters,3.8,12.6,4.8,Rural,64.1,95808,1,1
Female,Hispanic,22,Masters,4.6,82.4,1.0,Rural,87.2,80996,4,0
Female,White,29,High School,15.7,50.1,3.0,Rural,31.8,108637,1,1
Male,White,32,Masters,1.7,18.1,1.0,Suburban,36.5,98417,1,0
Male,Asian,22,Masters,0.8,62.6,3.5,Rural,53.2,77141,3,0
Male,Hispanic,28,Bachelors,2.6,31.1,1.0,Rural,51.5,73971,3,0
Female,Hispanic,49,Bachelors,1.9,50.9,1.0,Urban,45.9,83094,3,0
Female,Hispanic,37,Bachelors,5.0,2.0,3.3,Urban,88.2,97698,3,0
Female,White,22,High School,4.2,84.8,2.6,Rural,50.3,81765,2,0
Male,White,48,Masters,4.0,89.2,4.2,Suburban,20.8,85397,1,0
Male,Black,45,PhD,2.2,59.6,1.1,Rural,64.7,78869,1,0
Male,Asian,54,Bachelors,4.1,32.2,3.1,Suburban,55.6,68095,3,0
Female,White,44,High School,11.9,59.8,1.5,Urban,68.8,88337,2,0
Male,Asian,22,Masters,10.3,53.3,2.3,Urban,47.3,81676,3,1
Female,White,26,High School,1.8,69.4,1.1,Suburban,41.9,80403,2,0
Male,White,28,Bachelors,4.5,51.2,4.1,Rural,71.1,95852,1,1
Male,Asian,31,Bachelors,12.7,40.1,2.4,Suburban,56.6,108468,4,1
Male,White,50,Bachelors,0.4,72.7,4.4,Suburban,94.4,88522,1,1
Female,Hispanic,22,Masters,21.5,42.3,3.8,Suburban,27.0,113567,3,1
Female,Asian,49,High School,8.7,36.8,1.2,Urban,34.7,81698,3,0
Female,White,40,High School,4.6,88.0,2.3,Urban,39.6,71009,2,0
Male,White,30,PhD,15.0,13.3,1.5,Urban,61.6,114071,1,1
Female,Asian,22,Masters,2.9,65.2,1.3,Urban,50.1,70202,3,0
Male,Hispanic,31,High School,1.0,56.3,1.0,Urban,78.4,71377,3,0
Female,Hispanic,51,Bachelors,8.5,60.5,1.0,Urban,75.6,89984,3,0
Female,Asian,36,Bachelors,0.8,75.3,3.2,Suburban,21.1,67879,3,0
Female,White,22,Masters,3.0,84.1,3.6,Urban,35.9,85851,1,0
Female,White,22,High School,4.6,81.5,3.4,Rural,43.1,83353,1,0
Female,White,53,Bachelors,25.0,39.6,3.7,Urban,83.9,130828,2,1
Female,White,43,High School,5.5,41.7,1.0,Suburban,94.1,82392,1,0
Female,Asian,22,PhD,9.2,45.9,1.0,Suburban,37.3,96709,3,0
Male,Black,29,PhD,2.9,37.2,3.8,Urban,68.2,85534,3,1
Female,Asian,27,Masters,3.3,0.0,2.2,Urban,73.6,88011,4,0
Female,Black,32,Masters,0.6,22.3,4.1,Rural,50.0,82612,2,0
Female,White,33,High School,2.5,34.1,3.4,Urban,100.0,86242,3,0
Male,White,34,Masters,4.0,22.4,3.5,Urban,10.0,94398,1,0
Female,Asian,38,Bachelors,7.8,45.4,1.4,Rural,100.0,89880,3,1
Female,Asian,37,PhD,13.9,66.3,2.2,Suburban,29.8,98901,4,0
Male,Black,41,High School,3.4,18.0,1.1,Urban,85.9,81285,2,0
Female,White,28,High School,1.2,74.2,3.2,Urban,65.9,84297,1,0
Male,Black,44,Bachelors,1.2,52.8,1.5,Urban,88.0,77182,2,0
Female,Black,33,Bachelors,7.3,52.2,1.0,Rural,84.1,92345,1,0
Female,Asian,41,High School,8.3,79.5,2.9,Urban,38.6,83227,4,0
Male,Black,41,High School,1.0,77.1,5.0,Rural,100.0,84285,3,1
Male,Asian,40,Masters,4.9,3.0,2.3,Urban,73.2,88988,3,1
Female,White,39,Bachelors,15.2,78.3,2.3,Rural,25.7,88165,4,0
Male,White,33,Bachelors,9.0,91.2,2.1,Urban,79.1,100010,2,1
Male,Asian,31,Bachelors,2.4,16.1,3.0,Rural,39.6,84462,3,0
Female,Hispanic,27,Masters,3.6,47.0,2.6,Urban,26.2,75537,3,0
Male,White,28,Bachelors,12.3,23.0,1.7,Urban,100.0,100336,2,1
Female,Hispanic,32,Masters,23.0,74.7,1.0,Rural,63.4,110920,3,1
Female,White,37,Bachelors,4.3,68.8,3.4,Urban,27.5,81659,1,0
Female,Hispanic,30,Masters,2.6,32.3,3.5,Urban,64.4,75627,4,0
Female,White,45,High School,2.8,56.9,1.1,Suburban,83.7,61897,2,0
Male,White,43,High School,21.1,19.9,2.9,Urban,74.5,128172,3,1
Female,White,22,High School,14.8,50.3,4.3,Suburban,34.8,100937,2,1
Male,White,41,Masters,1.1,65.6,4.3,Suburban,88.9,72398,3,1
Female,Black,35,Masters,2.0,97.0,1.0,Urban,68.5,61615,1,0
Male,Black,37,Masters,0.7,66.5,1.1,Rural,57.9,72571,4,0
Female,Hispanic,39,Bachelors,7.4,46.4,1.9,Suburban,64.8,80783,3,0
Female,White,22,High School,2.9,59.7,2.3,Suburban,36.7,68807,2,0
Female,Black,38,Masters,0.7,15.6,1.0,Rural,15.6,72841,3,0
Male,White,22,Bachelors,10.7,66.2,1.7,Suburban,28.1,96490,1,1
Female,White,27,Masters,2.8,31.9,4.0,Urban,60.2,85623,2,1
Male,Hispanic,36,Bachelors,4.8,85.9,1.4,Urban,54.9,79191,4,0
Female,White,44,PhD,5.2,75.4,2.5,Rural,84.6,75666,1,0
Male,White,49,Bachelors,9.9,92.8,3.2,Rural,87.3,91246,1,1
Male,Hispanic,33,Bachelors,2.4,54.0,1.0,Suburban,44.8,88309,4,0
Female,Hispanic,39,Bachelors,0.3,38.5,3.1,Urban,66.7,82342,3,0
Female,Hispanic,29,High School,3.9,5.0,1.0,Urban,94.6,66516,3,0
Male,Black,22,Bachelors,1.1,71.9,2.1,Rural,80.6,82830,1,0
Female,Asian,26,Masters,2.7,60.3,4.3,Urban,28.8,75397,3,0
Male,White,48,Masters,3.2,0.0,1.1,Urban,79.9,97608,2,1
Male,Hispanic,27,Masters,1.8,81.3,4.0,Urban,78.0,80340,3,1
Female,White,22,Bachelors,6.0,43.8,2.3,Suburban,57.3,78191,2,0
Male,Asian,44,Bachelors,4.8,1.6,1.1,Suburban,43.1,73183,3,0
Female,Black,42,Masters,2.8,52.1,2.0,Rural,44.9,85832,1,0
Female,White,36,Bachelors,17.0,60.8,4.1,Urban,69.6,99975,1,1
Female,Asian,42,High School,6.4,53.2,1.1,Suburban,57.7,76885,3,0
Female,White,22,Bachelors,4.1,8.2,3.0,Rural,100.0,76786,1,0
Male,Black,63,PhD,25.0,44.8,1.0,Urban,84.9,133324,1,1
Male,Black,38,PhD,0.0,26.2,1.0,Urban,23.7,86227,2,0
Male,Asian,31,Masters,5.0,3.6,1.2,Urban,33.5,89712,3,0
Female,White,53,Bachelors,8.5,48.5,1.2,Urban,54.6,100370,3,1
Female,Black,23,High School,3.5,37.4,1.9,Urban,28.4,77424,3,0
Male,White,37,Bachelors,3.4,79.8,4.5,Urban,68.6,87617,1,1
Female,Asian,23,Masters,4.1,61.0,2.0,Urban,5.3,69410,3,0
Female,White,27,High School,5.7,75.9,1.7,Suburban,63.9,79857,1,1
Male,White,22,Masters,10.4,2.4,2.9,Suburban,69.2,85583,2,1
Female,Asian,30,Bachelors,1.0,49.4,2.4,Urban,73.3,69206,3,0
Female,Black,30,Bachelors,2.8,46.3,3.0,Urban,61.5,76701,3,0
Female,Hispanic,28,Bachelors,15.8,63.3,1.1,Urban,63.8,89680,3,0
Male,White,29,Masters,2.5,89.7,3.6,Urban,85.5,77681,2,1
Male,Hispanic,52,Bachelors,4.2,63.0,2.2,Urban,35.4,83816,3,0
Male,Black,50,High School,21.5,18.3,2.4,Urban,73.1,106977,1,1
Female,Asian,29,Bachelors,4.3,0.0,3.9,Urban,35.3,71728,3,0
Female,White,26,Masters,2.7,27.3,1.4,Suburban,33.3,91850,1,0
Female,Black,33,High School,5.9,59.3,2.3,Urban,48.8,85640,3,0
Female,White,51,Masters,2.2,39.3,1.8,Urban,18.5,85849,4,0
Female,White,29,Bachelors,4.9,42.4,4.2,Urban,87.1,90261,2,1
Female,White,36,Masters,3.9,44.0,1.3,Urban,54.2,85565,1,0
Male,White,22,Masters,2.5,60.8,3.6,Suburban,35.6,96894,1,0
Female,Black,29,High School,1.2,82.0,5.0,Suburban,29.4,66504,1,0
Female,Asian,30,Masters,3.4,14.7,2.4,Rural,18.2,90625,3,0
Male,White,28,PhD,4.1,13.3,5.0,Urban,87.8,77533,2,1
Male,Hispanic,23,Bachelors,2.4,0.0,1.1,Urban,85.0,96348,3,0
Female,White,43,Bachelors,25.0,51.8,1.1,Urban,41.7,110370,1,1
Female,White,43,PhD,7.9,66.1,2.6,Rural,64.1,89073,2,1
Male,White,28,Masters,0.8,8.4,2.9,Suburban,81.0,85536,1,1
Male,Asian,26,Bachelors,9.9,28.7,5.0,Urban,59.9,95538,3,1
Female,Asian,28,Bachelors,1.8,8.7,3.1,Urban,66.9,61093,3,0
Male,Black,31,Bachelors,13.4,33.6,2.4,Suburban,23.2,105848,1,0
Male,White,40,Masters,14.4,69.9,1.2,Urban,67.0,91312,1,1
Female,White,43,Masters,4.3,26.5,4.4,Suburban,73.9,82858,1,0
Female,White,35,High School,1.4,40.8,1.2,Urban,47.8,61645,2,0
Female,White,25,Bachelors,11.5,15.4,2.5,Urban,49.8,79832,4,0
Female,Asian,35,Bachelors,6.4,16.2,1.2,Suburban,89.4,91516,4,0
Female,White,35,Bachelors,3.6,96.2,4.0,Urban,65.8,85784,2,1
Male,Hispanic,22,High School,7.0,86.7,3.8,Urban,18.1,87852,3,0
Male,Black,24,Masters,0.3,72.3,1.4,Rural,41.9,83137,1,0
Male,White,58,Bachelors,2.8,78.5,1.0,Urban,52.3,95184,1,1
Female,White,36,Bachelors,2.1,93.6,4.6,Suburban,64.9,90857,2,1
Male,Asian,46,PhD,18.2,44.4,1.0,Urban,55.4,109342,3,1
Female,White,39,Bachelors,1.3,59.2,1.5,Urban,5.5,71623,1,0
Female,White,22,Masters,3.4,62.7,1.4,Urban,36.0,80266,1,0
Female,Black,33,Bachelors,2.8,24.9,2.1,Rural,64.2,76384,1,0
Female,Asian,26,Masters,2.4,11.3,2.1,Suburban,74.7,77294,3,0
Male,Asian,33,High School,4.9,81.4,2.0,Suburban,55.1,86627,3,0
Male,White,36,Bachelors,11.1,39.8,4.4,Urban,73.5,90863,1,1
Male,White,22,Masters,1.7,51.7,1.5,Rural,24.2,92389,1,0
Female,White,27,Masters,1.1,53.2,1.1,Suburban,83.7,79100,2,0
Male,Hispanic,27,Masters,2.1,68.1,3.9,Urban,30.6,82267,4,0
Male,White,28,High School,4.6,65.7,2.4,Suburban,40.3,76681,1,1
Female,Asian,53,Bachelors,8.3,34.4,4.5,Urban,22.2,94303,4,0
Female,White,39,Bachelors,22.6,36.4,5.0,Suburban,67.0,104248,1,1
Female,Asian,36,Masters,0.3,11.9,2.1,Suburban,43.6,72150,4,0
Male,Asian,27,Masters,2.7,47.4,5.0,Urban,88.3,81277,3,1
Female,White,40,High School,1.3,62.6,4.2,Urban,80.9,90087,1,0
Male,Asian,38,Bachelors,3.4,60.2,2.5,Rural,68.1,90887,3,0
Male,Black,30,Bachelors,3.5,37.6,1.7,Suburban,64.5,104872,4,0
Female,White,40,Bachelors,16.8,6.8,1.1,Rural,92.4,114825,3,1
Male,Black,31,Bachelors,2.8,59.4,2.7,Urban,59.9,74720,1,0
Male,Hispanic,63,High School,3.4,68.8,3.8,Suburban,84.1,82303,4,0
Male,Black,38,PhD,14.7,73.4,1.4,Rural,71.9,97861,3,1
Female,White,26,Bachelors,3.6,76.5,4.2,Suburban,34.7,86442,1,0
Female,Hispanic,22,High School,9.2,26.1,4.2,Suburban,67.1,81425,3,0
Female,Black,32,Masters,0.5,29.9,1.5,Urban,53.6,69978,1,0
Female,Asian,48,Masters,3.3,68.7,1.1,Urban,93.9,73378,3,0
Female,Black,35,High School,3.4,100.0,1.5,Urban,40.9,73947,2,0
Female,White,22,PhD,15.7,36.9,4.1,Suburban,70.0,95275,2,1
Female,Asian,47,Masters,11.6,76.2,2.1,Urban,70.9,104697,3,1
Female,White,47,PhD,3.1,46.7,1.5,Suburban,59.3,77403,1,0
Female,White,41,Bachelors,1.2,50.0,3.3,Urban,70.8,81434,1,0
