Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Hiring_Decision
Female,Black,43,Bachelors,2.9,48.2,34.0,2.2,Suburban,32.3,58450,0
Female,Asian,29,PhD,1.0,37.8,59.4,3.4,Urban,82.8,57001,0
Female,Black,47,Masters,3.0,76.5,89.0,2.3,Urban,67.6,78413,0
Female,White,51,Bachelors,2.0,73.3,34.6,3.2,Urban,37.8,85669,0
Male,Hispanic,32,Bachelors,16.1,7.2,45.8,1.0,Urban,22.5,86513,0
Female,White,32,Masters,12.4,58.1,1.4,2.0,Suburban,54.3,95558,0
Male,Hispanic,37,Bachelors,7.9,79.6,38.2,1.0,Rural,70.4,100256,0
Female,White,39,Bachelors,3.2,54.3,34.9,2.9,Suburban,15.5,76822,0
Female,Black,29,Masters,6.1,65.8,9.6,1.0,Urban,21.8,81291,0
Female,Asian,48,Bachelors,0.1,69.8,0.0,1.6,Suburban,84.5,66103,0
Female,White,28,PhD,13.5,84.8,61.5,1.8,Urban,18.8,106970,0
Female,White,23,Bachelors,3.5,49.7,52.0,4.0,Rural,19.4,85415,0
Male,White,53,PhD,3.3,100.0,55.1,1.6,Suburban,89.9,106586,1
Male,Black,24,PhD,5.8,68.2,46.0,2.5,Urban,62.5,85733,0
Male,White,22,High School,14.5,48.1,53.6,1.5,Urban,50.9,96221,1
Male,Asian,27,Bachelors,12.7,68.4,87.4,1.2,Urban,42.3,101535,1
Male,White,36,PhD,0.0,100.0,21.6,4.5,Urban,44.4,78381,1
Female,White,29,Bachelors,1.6,74.0,55.0,2.5,Urban,16.7,80946,0
Female,White,23,Bachelors,0.3,81.9,31.7,2.0,Urban,47.1,76567,0
Female,Hispanic,52,Bachelors,5.3,53.8,60.1,1.6,Rural,19.4,73571,0
Male,Asian,27,Bachelors,16.9,38.0,4.9,1.3,Urban,57.4,108834,0
Female,White,33,PhD,3.4,100.0,76.6,3.1,Urban,56.3,93814,0
Female,Asian,26,Masters,12.7,60.5,20.6,1.0,Urban,58.6,92322,0
Female,White,27,Masters,3.1,92.0,13.6,1.6,Suburban,47.4,91848,0
Male,Asian,23,Bachelors,0.8,68.7,67.2,1.0,Suburban,65.2,85644,0
Male,White,40,Masters,13.8,32.5,65.2,2.3,Suburban,95.9,98634,1
Male,Asian,51,Bachelors,8.9,94.5,39.8,1.9,Suburban,31.4,103196,1
Female,Hispanic,32,Masters,1.8,20.7,58.9,1.1,Urban,59.7,61653,0
Male,Hispanic,28,High School,2.7,49.4,24.0,1.4,Urban,59.0,71055,0
Female,White,30,High School,11.2,76.8,68.8,2.9,Urban,60.1,105982,1
Female,Asian,46,High School,0.8,26.5,0.0,1.6,Suburban,89.2,61726,0
Male,Asian,40,High School,6.0,75.1,82.9,2.9,Urban,62.7,88047,1
Male,Black,50,Bachelors,1.6,54.6,60.5,2.3,Suburban,61.0,76617,0
Male,Hispanic,28,High School,9.9,42.6,30.0,1.7,Suburban,45.1,86446,0
Female,Hispanic,39,Masters,1.7,79.7,4.4,4.3,Suburban,74.7,77692,0
Female,White,45,Bachelors,3.2,54.0,79.4,4.0,Suburban,63.8,82163,0
Male,White,32,Masters,4.3,76.9,0.0,2.5,Suburban,96.4,99819,1
Male,White,33,High School,17.0,49.0,51.3,3.9,Urban,48.4,122969,1
Male,Asian,24,Bachelors,12.1,82.6,48.3,5.0,Urban,53.4,108993,1
Male,Asian,25,Masters,6.7,60.8,65.2,2.0,Rural,100.0,82795,1
Male,Asian,50,Masters,8.4,88.9,32.7,2.1,Urban,63.3,91885,1
Male,Black,37,Masters,20.3,87.2,8.5,1.1,Urban,71.5,120121,1
Male,Asian,25,Bachelors,0.8,62.2,36.9,1.9,Urban,61.0,73754,0
Female,Black,50,Masters,2.9,82.5,35.0,3.2,Urban,57.4,78425,0
Female,White,45,Masters,24.7,52.4,32.0,1.6,Urban,88.4,128473,1
Female,Black,38,Masters,0.1,93.6,42.2,1.0,Suburban,66.6,77529,0
Female,White,31,Masters,1.7,93.4,67.7,2.2,Urban,87.0,86124,0
Female,Asian,36,Bachelors,1.5,65.5,84.5,1.0,Urban,76.6,72554,0
Male,Black,22,Masters,5.3,81.1,8.3,1.9,Suburban,15.1,89115,0
Female,Hispanic,39,Bachelors,4.4,63.6,0.0,2.9,Urban,66.1,74451,0
Male,Black,54,Bachelors,1.8,38.3,10.6,1.0,Suburban,53.1,76367,0
Male,Hispanic,34,Masters,2.9,50.7,89.7,3.1,Rural,60.6,76503,0
Male,Asian,22,High School,2.5,36.5,12.0,1.8,Urban,91.3,77732,0
Female,White,32,Masters,1.7,94.3,49.5,2.3,Suburban,76.0,99264,0
Male,Asian,33,Masters,6.3,100.0,45.8,1.3,Urban,93.3,98908,1
Male,Asian,30,Bachelors,3.3,96.2,71.7,1.0,Urban,80.8,91726,1
Male,Hispanic,31,PhD,1.5,33.3,66.3,1.7,Urban,63.3,66875,0
Male,Hispanic,32,High School,3.9,79.4,29.0,2.5,Rural,57.7,94217,0
Male,White,26,Masters,7.2,56.6,47.8,4.4,Urban,76.2,85651,1
Female,White,28,Masters,10.7,69.4,68.6,4.3,Suburban,53.6,98225,1
Male,Asian,39,Bachelors,5.1,83.4,53.2,3.9,Urban,52.5,90897,1
Male,White,39,High School,5.4,52.7,33.5,1.1,Urban,86.8,89938,0
Female,Black,41,High School,0.4,24.4,37.9,3.0,Rural,34.8,57827,0
Male,White,39,High School,4.7,86.2,49.4,1.5,Urban,74.3,109661,1
Male,Hispanic,41,Bachelors,0.0,78.8,58.5,1.1,Urban,44.5,86986,0
Male,Black,51,High School,5.0,89.3,48.0,2.6,Urban,76.2,91570,0
Female,Asian,22,High School,16.2,83.9,17.3,3.0,Urban,67.7,108706,1
Male,Asian,34,Bachelors,3.2,61.8,38.2,4.4,Suburban,68.9,79991,0
Female,Black,37,Masters,15.1,69.4,37.3,1.8,Rural,55.1,92158,0
Male,White,44,High School,1.1,90.2,7.5,1.9,Suburban,98.4,88482,1
Female,White,48,Masters,2.3,92.7,51.9,2.2,Suburban,51.0,82685,0
Female,Asian,56,Bachelors,5.0,57.1,0.3,3.7,Urban,59.9,76898,0
Female,Hispanic,33,Masters,0.3,88.5,16.4,4.9,Urban,42.2,88566,0
Female,Hispanic,40,High School,2.4,55.7,19.6,2.3,Urban,60.8,73384,0
Male,Hispanic,34,Bachelors,0.1,78.8,64.6,1.8,Urban,42.3,74026,0
Female,White,30,Masters,3.2,24.1,69.5,4.2,Rural,53.3,76105,0
Female,White,31,Bachelors,2.3,47.3,59.5,2.2,Suburban,61.7,70654,0
Female,White,22,High School,6.2,32.8,25.4,5.0,Rural,78.8,79118,0
Male,Black,51,PhD,4.3,98.6,43.8,1.0,Rural,65.1,90942,0
Female,White,22,PhD,4.7,93.5,75.7,2.8,Urban,41.7,103582,1
Male,White,33,Masters,14.2,51.7,47.1,5.0,Urban,42.4,100841,1
Female,Black,22,Masters,2.1,72.0,55.4,3.3,Urban,30.7,76051,0
Female,White,36,High School,14.7,80.9,28.1,2.5,Urban,88.0,101804,1
Male,White,22,Masters,1.4,84.0,52.8,1.3,Urban,69.2,82670,1
Female,White,33,Bachelors,3.4,56.4,100.0,1.9,Suburban,61.2,83266,0
Male,Black,22,High School,0.4,56.2,45.5,1.9,Rural,86.8,73968,0
Male,White,43,High School,5.0,80.9,42.2,3.9,Suburban,59.8,97081,1
Male,Hispanic,30,High School,3.4,58.8,0.2,1.0,Rural,100.0,74304,0
Female,Black,43,Masters,5.5,77.3,46.2,1.7,Suburban,69.4,77833,0
Male,White,31,Bachelors,10.1,48.6,43.6,3.3,Urban,46.4,86726,1
Male,White,45,Masters,6.3,63.8,34.4,1.8,Urban,100.0,87152,1
Female,Black,51,Bachelors,10.9,82.9,63.2,2.8,Rural,43.6,93396,0
Female,White,22,Masters,6.3,87.1,32.2,2.6,Urban,51.4,91771,0
Male,Hispanic,37,Masters,0.1,91.9,64.3,3.9,Suburban,0.0,74566,0
Male,Hispanic,39,Bachelors,15.2,91.3,56.6,4.8,Rural,59.4,104708,1
Female,Asian,35,PhD,0.4,48.8,51.2,1.0,Urban,76.3,57718,0
Male,Black,44,High School,0.1,85.1,92.6,3.1,Suburban,41.8,83719,0
Female,Black,38,Bachelors,2.3,79.4,54.4,1.4,Rural,82.1,80042,0
Female,Asian,26,High School,11.7,36.0,4.1,4.0,Rural,64.9,87627,1
Female,Black,22,Bachelors,7.0,55.0,99.7,4.0,Urban,27.4,86467,0
Female,Black,55,High School,4.5,21.4,9.4,2.9,Suburban,44.1,66609,0
Female,White,30,Masters,2.0,58.0,35.3,1.0,Suburban,49.5,85211,0
Female,White,25,Bachelors,10.6,66.0,61.5,2.4,Suburban,59.8,99967,1
Female,Asian,49,Bachelors,14.7,56.2,68.1,4.0,Urban,44.1,92148,1
Female,Black,40,PhD,3.2,70.7,91.0,2.5,Suburban,71.0,77722,0
Female,White,24,Masters,0.5,63.3,88.2,1.7,Suburban,87.5,75102,0
Female,Asian,38,High School,0.6,89.9,14.3,1.0,Suburban,23.7,77179,0
Female,White,41,Masters,19.7,44.4,58.5,1.0,Urban,27.0,110511,1
Female,Asian,41,High School,6.3,65.2,52.4,1.8,Suburban,67.8,75152,0
Male,Asian,59,Masters,2.5,97.8,18.8,2.3,Urban,77.4,86418,1
Female,Asian,37,High School,9.8,100.0,49.2,2.5,Urban,74.9,108727,1
Female,Hispanic,32,Bachelors,6.7,38.3,80.8,1.8,Urban,66.6,70267,0
Male,Hispanic,22,High School,5.3,78.7,32.3,1.0,Suburban,55.4,95259,0
Female,Black,57,Masters,1.0,100.0,39.5,2.0,Urban,52.4,78050,0
Female,Hispanic,22,Bachelors,8.0,80.9,0.0,1.0,Urban,51.2,96916,0
Female,Asian,27,PhD,5.9,45.7,9.4,5.0,Rural,38.0,73826,0
Male,Black,44,Masters,0.4,100.0,73.7,1.0,Suburban,15.7,85451,0
Male,White,22,Bachelors,3.9,62.8,67.4,1.2,Urban,54.7,88808,1
Female,White,26,Masters,1.1,100.0,75.3,1.0,Rural,47.9,89285,0
Male,White,47,Bachelors,4.7,17.8,38.6,1.4,Urban,56.9,71263,0
Male,White,34,Bachelors,2.0,94.5,86.1,2.8,Suburban,45.1,93788,1
Male,Black,30,PhD,6.0,90.8,64.8,1.0,Urban,32.0,93676,0
Male,White,36,Bachelors,3.9,92.3,27.4,2.5,Suburban,43.3,95554,1
Female,Black,25,High School,1.8,19.5,38.9,1.9,Suburban,52.3,66643,0
Female,White,51,Masters,3.8,72.1,41.0,1.0,Suburban,57.3,86928,0
Male,Black,36,Masters,11.4,55.8,86.5,1.0,Urban,45.9,102691,1
Female,Hispanic,47,Masters,2.1,75.8,7.2,3.7,Urban,0.0,85652,0
Female,Hispanic,30,Bachelors,1.3,49.7,24.8,2.8,Urban,55.9,65136,0
Male,Asian,44,High School,1.3,82.8,25.2,2.3,Urban,94.1,85898,1
Male,Asian,22,Bachelors,0.9,67.7,90.7,3.8,Urban,33.5,82972,0
Female,Asian,27,High School,3.4,82.2,63.4,1.2,Rural,67.8,75018,0
Male,Asian,22,Masters,15.4,76.8,59.1,2.1,Urban,47.4,116547,1
Male,White,33,Bachelors,1.5,63.0,28.4,3.7,Rural,90.5,76864,1
Female,White,41,Bachelors,4.3,95.9,89.8,2.7,Rural,47.5,90779,0
Male,Asian,22,Bachelors,4.6,94.3,30.0,1.0,Urban,57.6,83634,0
Female,Hispanic,48,High School,5.8,51.2,22.6,2.4,Urban,13.4,77500,0
Male,Asian,42,High School,2.8,74.0,57.3,3.8,Suburban,27.8,83152,0
Male,White,22,High School,9.3,40.3,100.0,1.5,Suburban,44.5,89952,1
Female,Hispanic,41,Masters,0.2,90.0,8.6,1.0,Suburban,49.0,70663,0
Female,Hispanic,26,High School,0.8,29.7,16.9,3.1,Urban,57.9,58575,0
Male,White,49,Masters,25.0,22.8,76.4,5.0,Rural,58.4,108986,1
Female,Black,30,PhD,7.3,48.3,56.0,4.0,Urban,55.8,79828,0
Male,White,28,Bachelors,1.0,93.9,51.9,1.6,Suburban,96.9,93558,1
Female,Hispanic,37,Bachelors,6.3,55.4,45.1,4.2,Suburban,58.6,82993,0
Male,Asian,29,Bachelors,1.5,100.0,33.1,3.7,Suburban,75.4,81792,1
Female,Black,31,Bachelors,1.9,91.6,32.0,1.2,Urban,0.0,77849,0
Female,Black,38,Bachelors,2.4,21.2,35.1,4.1,Suburban,14.0,61620,0
Female,White,49,Masters,9.5,73.2,69.9,5.0,Urban,74.3,100854,1
Male,White,22,High School,1.8,80.8,52.7,3.3,Urban,79.3,86777,1
Male,Asian,40,Bachelors,4.9,48.7,49.4,2.4,Suburban,35.9,76784,0
Male,White,27,Bachelors,2.7,87.8,32.7,1.0,Rural,79.4,100405,1
Male,White,34,Bachelors,15.4,75.3,28.1,1.0,Urban,67.0,113307,1
Male,Black,33,Bachelors,0.6,32.1,33.2,3.0,Rural,79.4,69038,0
Female,Hispanic,30,Masters,0.4,75.1,9.6,1.0,Urban,73.2,72433,0
Male,Black,30,PhD,3.8,79.4,42.2,1.6,Suburban,38.9,85231,0
Male,White,40,Bachelors,5.9,89.8,71.7,1.2,Suburban,95.6,105491,1
