Gender,Age,Commute_Time,Job_Level,Marital_Status,Department,Python_Skill,Excel_Skill,Experience,Education,Spa_Membership,Hiring_Decision
Male,44,13,2,married,Finance,69,52,27.7,Bachelors,Y,0
Male,38,21,2,divorced,Marketing,82,72,22.9,Bachelors,N,1
Male,40,15,2,divorced,Marketing,71,70,16.5,Masters,N,0
Female,44,18,1,single,IT,68,76,23.8,Masters,Y,0
Male,39,14,2,divorced,Finance,68,77,19.8,Bachelors,Y,1
Female,31,22,1,single,IT,54,84,10.5,Bachelors,N,0
Female,50,30,2,divorced,Marketing,72,84,33.7,Masters,Y,0
Male,45,10,2,married,Marketing,82,79,26.0,Bachelors,Y,1
Male,34,23,2,married,HR,80,65,17.4,Bachelors,N,1
Female,41,29,2,single,Marketing,66,74,27.0,PhD,Y,1
Female,29,28,1,married,Marketing,61,92,8.1,PhD,Y,0
Female,46,33,1,divorced,IT,57,87,25.6,Bachelors,Y,0
Female,46,35,2,married,HR,56,74,27.5,Bachelors,Y,0
Male,35,17,1,divorced,HR,72,45,19.8,Bachelors,N,0
Male,44,13,3,divorced,Finance,92,74,27.0,Masters,N,1
Male,33,7,1,married,Engineering,82,75,15.9,Bachelors,N,0
Female,46,25,1,divorced,Finance,74,65,25.9,Bachelors,Y,0
Female,33,26,1,married,Finance,54,69,13.3,Masters,N,0
Male,35,18,1,single,Finance,82,65,16.7,Masters,N,0
Male,34,15,2,married,HR,84,75,15.3,Masters,N,1
Male,37,22,3,married,IT,99,99,23.0,Bachelors,N,1
Male,33,14,2,married,Marketing,79,83,14.4,Bachelors,N,0
Female,40,29,1,single,HR,65,61,17.9,Bachelors,N,0
Female,48,37,1,married,Marketing,60,74,30.0,PhD,N,0
Female,38,32,2,divorced,Marketing,70,78,21.2,PhD,Y,0
Male,23,17,3,single,Engineering,77,76,5.8,Masters,N,0
Male,49,14,1,married,Finance,93,60,31.3,PhD,N,0
Female,53,26,1,divorced,Engineering,80,87,31.0,Bachelors,Y,0
Female,31,24,2,married,Finance,58,73,13.8,Bachelors,N,0
Female,47,26,1,single,HR,69,86,23.6,Bachelors,Y,0
Female,37,34,1,married,Marketing,99,80,16.2,Bachelors,Y,1
Male,38,16,1,married,Engineering,62,94,16.3,Masters,N,0
Male,38,9,2,married,HR,77,81,17.5,Bachelors,N,1
Male,34,28,1,married,HR,89,85,14.0,Masters,N,0
Male,29,19,2,single,Finance,77,57,11.7,Bachelors,Y,0
Male,30,9,1,single,Marketing,76,63,11.2,Bachelors,Y,0
Male,28,15,3,single,Finance,74,73,12.0,Bachelors,N,0
Female,35,30,1,single,Finance,57,65,15.9,Bachelors,Y,0
Male,35,28,3,married,HR,77,82,16.8,Masters,N,1
Male,30,11,3,single,Finance,92,71,12.2,Bachelors,N,0
Female,47,35,2,married,IT,54,93,29.0,Bachelors,N,1
Male,47,26,2,married,Marketing,83,75,27.2,Bachelors,N,1
Male,31,14,2,single,Finance,92,70,13.0,Bachelors,N,0
Female,43,28,1,single,Finance,69,78,21.7,Bachelors,Y,0
Male,39,11,1,married,Engineering,74,60,18.7,Masters,N,0
Male,39,16,2,married,Marketing,88,60,17.7,Bachelors,N,1
Male,36,17,1,single,Marketing,69,80,12.6,Bachelors,N,0
Male,41,21,3,married,Finance,85,78,23.6,Masters,N,1
Female,45,36,1,married,IT,68,94,22.3,Masters,Y,1
Female,32,25,1,single,Engineering,70,73,6.8,Bachelors,Y,0
Female,48,18,1,divorced,IT,90,93,29.0,Bachelors,Y,1
Female,49,29,1,divorced,Finance,83,77,30.9,Masters,Y,1
Female,35,31,3,married,Marketing,87,86,20.8,Masters,Y,1
Male,36,19,1,married,Marketing,70,85,15.7,Masters,N,0
Female,47,28,1,married,IT,57,104,26.7,Masters,N,0
Male,34,18,1,single,HR,85,82,14.2,PhD,N,0
Female,50,39,2,married,Finance,73,82,30.7,Bachelors,Y,0
Female,60,32,1,divorced,Marketing,46,86,36.3,Bachelors,N,0
Male,29,15,3,married,HR,84,84,15.4,Masters,Y,1
Male,24,14,1,single,Marketing,104,78,4.0,Bachelors,N,1
Male,38,16,1,single,Marketing,102,65,17.9,Bachelors,N,1
Male,41,27,1,married,HR,71,77,20.4,Masters,N,1
Female,40,28,1,married,IT,78,95,21.2,Masters,Y,1
Female,53,29,1,married,Finance,59,101,32.8,Bachelors,Y,0
Male,25,15,2,married,HR,78,70,6.0,Bachelors,N,1
Male,41,24,1,single,HR,70,56,20.3,Masters,N,0
Male,31,29,2,married,Marketing,65,48,13.1,Bachelors,N,0
Male,49,20,3,married,HR,90,79,30.7,Bachelors,N,1
Male,51,18,2,single,Finance,83,51,35.8,Masters,N,1
Male,29,18,1,married,IT,85,73,7.8,Bachelors,N,0
Female,37,15,3,single,IT,77,92,19.4,Bachelors,Y,1
Male,42,22,2,single,IT,82,68,23.2,Bachelors,N,1
Male,32,18,1,married,Finance,67,52,13.8,Masters,N,0
Female,41,32,1,married,Marketing,72,64,20.5,Bachelors,N,1
Male,36,13,1,married,Finance,77,58,18.3,Masters,Y,0
Female,26,27,1,single,HR,67,78,5.3,Bachelors,N,0
Female,41,27,3,married,Engineering,58,94,22.2,Masters,Y,1
Male,30,24,2,married,Engineering,61,70,10.3,Bachelors,N,0
Male,32,15,1,married,Engineering,73,95,10.6,Masters,Y,1
Male,47,30,1,married,IT,86,82,28.3,Bachelors,Y,1
Male,25,20,2,married,Finance,79,73,6.1,Bachelors,Y,0
Male,42,10,2,married,Finance,101,69,21.6,Bachelors,N,1
Female,39,29,1,married,IT,69,74,16.1,Bachelors,Y,0
Male,33,14,1,married,HR,82,71,9.3,Bachelors,N,0
Male,42,4,1,married,Engineering,80,76,27.3,Bachelors,N,0
Male,38,27,2,married,Engineering,67,73,18.5,Bachelors,N,0
Female,46,34,2,married,IT,69,74,28.9,Masters,N,0
Male,43,21,2,married,Engineering,67,57,22.6,Bachelors,N,1
Male,33,18,2,divorced,Marketing,79,92,17.5,Bachelors,N,0
Male,31,9,2,married,Finance,58,77,11.3,Bachelors,N,1
Female,33,27,3,married,Engineering,69,84,20.7,Bachelors,N,0
Male,29,23,3,married,Engineering,81,76,16.9,Bachelors,N,1
Female,65,23,2,married,Marketing,72,93,44.8,Bachelors,Y,1
Female,51,14,1,single,HR,52,74,33.5,Bachelors,Y,0
Male,25,16,2,divorced,HR,85,68,10.8,Bachelors,N,1
Female,31,29,1,married,Marketing,77,70,7.8,Masters,Y,0
Male,39,18,2,single,HR,68,69,18.0,Bachelors,N,0
Female,46,34,1,married,IT,81,71,21.8,Masters,Y,0
Female,46,33,1,married,Marketing,72,67,24.1,Bachelors,Y,0
Male,33,19,2,married,Finance,79,50,13.0,Bachelors,N,1
Male,34,25,1,single,Finance,86,89,13.3,Masters,N,0
Female,44,20,2,divorced,Finance,89,75,23.4,Bachelors,Y,1
Male,36,21,1,married,Engineering,78,75,17.4,Bachelors,N,0
Male,18,21,2,single,Marketing,74,71,0.1,Bachelors,N,0
Male,34,10,1,married,Marketing,104,75,14.8,Bachelors,N,0
Female,35,20,1,divorced,HR,67,55,17.1,Bachelors,Y,0
Female,43,25,1,single,Marketing,74,74,23.5,Masters,N,0
Male,59,14,1,single,Marketing,77,83,38.6,Bachelors,N,1
Male,38,22,2,single,HR,60,93,18.4,Bachelors,N,0
Male,33,14,2,married,Marketing,76,65,16.8,Bachelors,N,1
Female,49,24,1,married,Marketing,83,77,29.5,Bachelors,Y,0
Male,39,14,1,single,IT,70,82,19.4,Masters,N,0
Female,45,36,2,married,HR,85,85,25.8,Masters,Y,0
Male,40,18,2,married,IT,89,70,22.6,Bachelors,N,1
Female,58,28,1,divorced,Engineering,57,79,36.4,Bachelors,N,0
Male,26,17,2,divorced,HR,65,63,8.6,Masters,N,1
Male,39,25,2,single,Marketing,65,62,20.5,Masters,N,0
Male,28,13,1,divorced,Marketing,75,71,9.4,Bachelors,Y,0
Female,46,37,2,married,IT,56,83,25.3,Bachelors,Y,0
Female,34,31,2,married,IT,84,84,16.1,Bachelors,Y,1
Male,32,17,1,married,Engineering,65,61,13.4,Bachelors,Y,0
Female,39,45,1,divorced,Engineering,59,95,19.1,Masters,N,0
Female,49,23,2,married,Marketing,88,60,28.2,Masters,Y,1
Female,49,27,2,married,Finance,66,86,29.5,Masters,Y,0
Male,26,10,3,single,Engineering,85,63,12.5,PhD,N,0
Male,36,23,2,married,Marketing,85,59,17.9,Bachelors,N,1
Male,30,28,3,single,Engineering,62,66,12.4,Bachelors,N,1
Female,31,40,1,married,HR,79,60,13.5,Masters,N,0
Female,40,37,1,married,IT,77,84,23.1,Bachelors,Y,1
Female,39,28,1,married,Marketing,77,99,16.6,Bachelors,Y,0
Male,55,15,1,married,Engineering,71,62,34.0,Bachelors,N,0
Male,39,7,1,single,IT,83,98,18.3,Bachelors,Y,1
Female,30,42,2,divorced,Finance,67,69,13.1,Masters,Y,0
Female,37,32,2,divorced,Engineering,71,74,18.6,Bachelors,Y,0
Female,50,27,1,married,Marketing,60,96,30.2,Bachelors,N,0
Female,58,37,1,single,HR,67,65,37.7,Bachelors,N,0
Female,29,24,2,divorced,IT,81,77,15.4,Bachelors,Y,1
Male,20,20,1,single,IT,56,90,1.1,Bachelors,N,0
Male,50,16,1,married,HR,75,55,29.4,Masters,N,1
Female,45,33,2,single,Marketing,77,87,26.4,Bachelors,N,0
Female,35,29,3,single,Finance,56,86,19.9,Bachelors,N,0
Male,40,9,1,single,HR,84,46,18.1,Bachelors,N,0
Male,14,18,2,divorced,Finance,85,62,-3.5,Bachelors,N,1
Female,42,36,2,divorced,Marketing,68,108,24.3,Bachelors,N,1
Male,38,17,1,divorced,Engineering,83,72,16.3,Masters,N,0
Male,43,22,3,single,Engineering,99,74,22.4,Bachelors,Y,1
Male,27,11,1,married,Marketing,71,72,3.5,Masters,N,0
Female,42,29,1,married,Finance,53,104,21.5,Bachelors,N,0
Female,34,26,2,divorced,HR,64,68,17.8,Bachelors,Y,0
Male,38,22,1,married,Marketing,68,61,17.1,Masters,N,0
Female,34,30,1,married,Marketing,74,78,15.7,Bachelors,Y,0
Male,32,22,1,single,Engineering,74,76,11.3,Bachelors,N,0
Male,28,24,2,married,HR,87,71,7.9,Bachelors,N,1
Female,47,34,1,single,Engineering,73,82,24.4,Bachelors,Y,0
Female,48,31,2,married,Finance,61,73,28.1,Masters,Y,0
Female,40,24,1,married,Finance,58,87,20.3,Masters,Y,0
Female,42,29,1,divorced,IT,53,57,21.9,Bachelors,N,0
Female,30,26,1,married,Marketing,82,73,9.5,Masters,N,0
Male,33,15,2,married,HR,86,60,14.6,Bachelors,Y,1
Male,35,15,2,single,HR,75,56,19.2,Bachelors,N,1
Male,56,12,3,married,Engineering,87,48,43.8,Bachelors,N,1
Male,27,6,2,divorced,Engineering,66,72,7.5,Bachelors,N,1
Female,53,25,2,married,HR,59,85,34.6,Bachelors,Y,0
Male,43,19,2,married,Engineering,68,75,22.6,Bachelors,N,1
Female,44,21,1,single,IT,73,91,24.0,Bachelors,Y,1
Female,56,30,1,married,Marketing,62,93,35.4,Bachelors,N,0
Female,44,41,3,single,IT,52,55,28.4,PhD,Y,0
Male,39,24,1,married,Finance,81,77,20.8,Masters,N,1
Female,41,39,1,married,HR,76,82,18.6,Bachelors,N,1
Male,45,20,2,married,IT,78,72,26.6,Bachelors,Y,1
Male,44,25,1,single,IT,93,68,23.4,PhD,N,1
Female,36,25,1,single,Engineering,79,73,16.3,Bachelors,N,0
Male,25,14,3,divorced,Engineering,93,76,11.8,Masters,N,1
Male,34,1,2,married,Engineering,89,58,14.7,Bachelors,N,0
Female,35,37,1,married,Finance,72,93,16.2,Bachelors,Y,0
Male,35,27,1,single,IT,65,64,18.3,Bachelors,N,0
Female,51,26,2,married,Marketing,65,55,31.3,PhD,N,0
Female,38,28,3,married,Engineering,63,81,22.3,Bachelors,Y,1
Female,41,25,1,married,Finance,59,65,21.3,Masters,Y,0
Male,36,20,3,single,Finance,73,55,17.4,Bachelors,N,1
Male,42,24,2,married,Engineering,62,78,25.2,Bachelors,N,1
Female,24,19,2,married,HR,80,91,8.2,Masters,N,0
Male,31,20,2,single,IT,67,68,11.7,Bachelors,Y,1
Female,43,28,2,divorced,Engineering,79,55,24.4,Masters,N,0
Female,51,30,1,divorced,Marketing,85,86,27.5,Bachelors,N,0
Female,38,32,1,divorced,IT,60,76,20.1,Bachelors,N,1
Male,20,16,3,married,Finance,73,86,5.7,Bachelors,N,1
Male,40,17,1,divorced,Marketing,85,93,18.1,Bachelors,Y,0
Female,36,28,1,married,IT,64,61,14.3,Bachelors,N,0
Male,26,23,3,single,Marketing,70,99,9.2,Bachelors,Y,0
Male,31,20,2,single,Finance,85,51,15.6,Bachelors,N,0
Female,40,31,1,married,Engineering,61,73,19.9,Bachelors,Y,0
Female,37,22,1,married,Marketing,95,92,17.3,Masters,Y,0
Female,24,27,1,married,Engineering,76,71,4.3,Bachelors,N,0
Female,49,35,1,divorced,Finance,78,70,31.7,Masters,N,0
Male,46,18,1,single,Finance,78,49,25.3,Bachelors,N,0
Female,47,33,3,married,Marketing,92,63,30.7,Bachelors,Y,1
Female,32,40,1,divorced,Marketing,61,70,14.3,Bachelors,Y,0
Male,34,24,1,single,Finance,89,79,16.3,Bachelors,N,0
Male,35,18,2,married,Marketing,63,90,14.9,Bachelors,N,0
Female,46,26,1,married,Marketing,97,70,22.1,Bachelors,N,0
Female,47,14,2,single,Marketing,79,75,29.0,Masters,Y,0
Female,36,28,1,married,Marketing,58,68,17.3,PhD,Y,0
Female,42,28,1,married,IT,76,61,22.6,Masters,N,0
Male,39,20,3,married,Finance,92,51,21.8,Bachelors,Y,1
Male,47,17,1,divorced,Finance,69,54,30.7,Bachelors,N,0
Female,47,28,1,married,HR,64,79,24.9,Bachelors,Y,0
Female,48,19,2,married,Engineering,58,72,27.3,PhD,Y,0
Female,42,24,2,married,HR,75,75,26.3,Masters,Y,0
Female,53,32,2,married,Marketing,72,84,34.2,Masters,Y,1
Male,39,28,1,married,Marketing,80,68,22.4,Bachelors,Y,0
Male,29,17,2,married,IT,70,56,10.5,Masters,N,0
Female,53,31,2,single,IT,67,91,34.2,Bachelors,N,1
Female,47,35,1,married,IT,61,55,28.0,Bachelors,Y,0
Female,38,25,2,married,IT,75,70,21.7,Bachelors,Y,1
Female,38,32,1,divorced,IT,57,100,22.3,Masters,Y,0
Female,44,25,2,single,IT,60,84,27.7,Masters,N,1
Male,39,23,1,married,IT,89,48,21.1,Bachelors,N,1
Male,37,18,3,single,IT,74,51,19.8,Bachelors,N,1
Male,38,19,1,single,IT,101,65,19.9,Masters,Y,1
Female,55,25,1,single,Finance,72,74,36.3,PhD,Y,0
Male,44,22,2,married,IT,58,78,24.8,Masters,Y,1
Male,37,30,1,married,Engineering,64,83,14.2,Masters,N,0
Male,43,11,3,single,IT,72,63,25.2,Bachelors,N,1
Male,27,15,1,divorced,Marketing,88,68,6.0,Bachelors,N,1
Female,45,31,1,married,Marketing,77,67,24.6,Bachelors,N,0
Male,50,22,1,married,IT,74,68,31.5,Bachelors,N,1
Male,34,14,2,single,IT,94,57,17.9,Bachelors,Y,0
Female,35,13,1,married,Marketing,73,80,18.5,Bachelors,Y,0
Male,30,26,2,married,Engineering,76,62,12.9,Masters,N,0
Male,27,22,1,divorced,HR,94,77,4.1,Masters,N,0
Male,29,7,1,married,Finance,70,82,7.2,Bachelors,N,0
Female,39,26,1,married,Marketing,76,95,18.5,Masters,Y,0
Male,24,27,1,divorced,IT,87,70,6.1,Masters,N,1
Female,42,38,2,married,Finance,77,87,25.2,Bachelors,Y,1
Male,43,23,1,single,IT,78,64,21.5,Bachelors,Y,1
Male,28,16,3,married,HR,90,59,9.8,Bachelors,Y,1
Male,48,18,1,single,HR,102,53,26.7,Bachelors,N,1
Male,40,17,2,single,Marketing,78,74,19.5,Bachelors,N,1
Female,50,36,2,married,Finance,70,55,31.8,Bachelors,Y,0
Female,36,24,1,single,Finance,81,90,16.9,Bachelors,Y,0
Female,48,25,1,married,HR,66,75,28.6,Masters,Y,0
Male,27,24,1,divorced,IT,76,66,6.0,Masters,Y,1
Male,43,17,1,single,Marketing,66,78,23.1,Masters,N,1
Female,43,38,1,married,Engineering,49,57,20.4,Masters,N,0
Male,40,13,2,single,HR,66,67,20.6,Bachelors,N,1
Male,26,17,2,single,HR,90,88,8.6,Bachelors,N,1
Male,28,12,2,single,Marketing,67,66,14.5,Masters,N,1
Male,40,18,2,single,IT,85,54,24.7,Bachelors,N,1
Female,34,21,1,divorced,Finance,87,75,11.4,Bachelors,N,0
Female,45,27,2,married,HR,71,95,28.7,Masters,N,1
Female,31,21,1,single,Marketing,59,70,11.4,Masters,N,0
Male,42,22,3,divorced,Marketing,78,51,26.4,Bachelors,N,1
Male,26,22,1,married,Marketing,84,64,11.1,Bachelors,N,0
Male,40,7,1,married,Finance,84,53,19.0,Masters,N,1
Male,41,26,2,single,HR,81,42,24.1,Bachelors,N,1
Male,30,32,1,married,Marketing,87,79,11.5,Bachelors,N,0
Female,46,30,2,single,Finance,81,92,26.6,Masters,Y,1
Female,44,26,1,single,IT,64,85,19.8,Bachelors,Y,0
Male,31,34,1,married,Engineering,96,80,8.3,Bachelors,N,1
Female,33,22,2,married,HR,73,75,15.5,Masters,Y,0
Female,26,30,2,married,Finance,43,96,9.8,Bachelors,Y,0
Female,44,31,2,divorced,Engineering,67,72,27.1,Masters,Y,0
Female,29,38,1,married,Engineering,67,80,10.1,Bachelors,N,0
Male,36,20,2,single,Finance,92,59,18.7,Bachelors,N,1
Male,33,15,2,married,Finance,73,53,13.3,Bachelors,N,1
Male,41,12,1,married,Finance,81,62,20.9,Bachelors,Y,1
Female,39,27,1,married,Marketing,52,106,20.3,Bachelors,Y,0
Male,33,11,2,single,IT,70,88,15.9,Bachelors,Y,1
Male,41,18,1,married,Marketing,89,79,24.3,Bachelors,N,0
Male,38,14,3,divorced,Engineering,65,64,20.8,Bachelors,Y,1
Male,38,9,2,single,Engineering,91,64,18.9,Bachelors,N,1
Female,45,37,2,single,Engineering,83,100,25.6,Bachelors,Y,0
Female,29,27,1,married,Finance,84,80,3.5,Bachelors,Y,0
Male,42,10,3,single,HR,98,79,27.2,Masters,N,1
Male,40,16,1,married,Marketing,89,63,20.0,Bachelors,N,0
Male,27,18,1,single,HR,85,66,6.5,Bachelors,Y,0
Male,34,7,2,married,IT,87,79,14.4,Masters,N,1
Male,35,19,2,married,IT,80,61,18.1,Bachelors,Y,1
Male,34,11,1,single,Marketing,75,74,14.0,Bachelors,N,0
Male,38,28,3,married,Engineering,89,61,25.1,PhD,N,1
Female,53,33,2,married,IT,75,86,35.0,PhD,Y,1
Female,50,27,1,divorced,HR,80,71,30.8,Masters,Y,0
Male,25,13,1,single,HR,77,91,8.1,Bachelors,N,0
Male,40,17,2,single,Finance,78,69,21.3,Bachelors,N,0
Female,52,33,1,single,Engineering,72,89,31.1,Bachelors,Y,0
Male,39,17,1,divorced,Finance,78,69,21.9,Bachelors,N,0
Female,50,28,1,married,Marketing,104,73,26.9,Bachelors,N,0
Female,58,30,1,single,IT,93,86,37.5,Bachelors,N,1
Male,44,14,2,married,Finance,80,83,25.4,Masters,N,1
Male,37,15,1,single,Finance,78,52,15.3,Bachelors,Y,1
Female,50,17,1,divorced,Marketing,75,81,31.1,Bachelors,Y,0
Male,37,23,1,married,HR,74,68,15.9,Bachelors,Y,1
Female,42,31,2,married,HR,64,82,24.2,Bachelors,N,1
Female,39,25,3,divorced,Marketing,70,96,21.1,Bachelors,N,1
Female,54,41,2,single,HR,65,89,36.6,Bachelors,Y,1
Male,29,18,1,married,Marketing,82,83,13.2,Bachelors,N,0
Female,54,23,2,divorced,HR,74,83,35.9,Bachelors,N,1
Male,39,23,3,single,Marketing,41,64,23.0,Bachelors,Y,1
Male,24,20,3,divorced,HR,56,40,5.6,Bachelors,N,0
Female,44,32,1,single,Finance,59,96,25.7,Bachelors,Y,0
Male,19,15,2,divorced,Finance,83,39,0.8,Bachelors,Y,1
Female,47,32,2,divorced,HR,60,99,29.8,PhD,Y,0
Female,49,28,1,divorced,Marketing,97,88,30.9,Masters,Y,1
Male,31,21,1,married,Finance,90,93,10.6,Bachelors,N,0
Male,36,6,2,single,IT,103,73,20.0,Bachelors,N,1
Male,51,15,2,married,HR,90,76,35.2,Bachelors,Y,1
Male,31,28,1,divorced,IT,60,67,11.7,Masters,Y,0
Male,27,13,3,single,IT,66,70,11.4,Bachelors,N,1
Female,53,26,2,married,Engineering,63,71,35.1,Masters,Y,0
Male,51,15,1,married,IT,65,68,32.1,Bachelors,N,0
Male,36,10,2,single,IT,92,59,19.0,Bachelors,N,1
Female,50,16,2,married,Engineering,68,80,29.1,Bachelors,Y,0
Male,46,16,1,married,Engineering,82,69,24.7,Bachelors,Y,1
Female,36,30,1,married,Engineering,86,79,17.9,Bachelors,Y,0
Male,32,17,3,married,Marketing,103,68,16.5,PhD,Y,1
Male,45,17,1,married,Engineering,76,62,24.6,Masters,N,0
Female,55,30,2,divorced,Marketing,53,86,40.5,Masters,N,1
Female,46,36,2,single,HR,55,83,29.6,Bachelors,N,1
Female,34,28,1,married,Marketing,83,83,16.2,Masters,Y,0
Female,57,26,1,single,HR,73,68,36.6,Bachelors,Y,0
Female,37,28,1,divorced,Engineering,59,88,17.8,Bachelors,Y,0
Male,33,21,2,single,Engineering,88,60,14.8,Bachelors,N,1
Male,38,26,2,married,HR,67,63,17.9,Bachelors,N,0
Female,54,26,1,married,Finance,48,81,34.4,Masters,Y,0
Female,48,30,2,married,Marketing,45,93,29.9,Bachelors,Y,0
Female,45,32,1,divorced,IT,52,65,24.9,Bachelors,N,0
Male,39,12,1,single,Engineering,93,58,21.0,Bachelors,N,1
Male,36,18,1,single,Marketing,77,46,15.8,Masters,N,0
Female,46,21,1,single,Marketing,69,86,26.1,Bachelors,Y,0
Male,15,7,1,married,Engineering,82,65,-4.8,Bachelors,N,0
Female,39,32,1,married,HR,57,85,20.0,Bachelors,Y,0
Female,43,27,1,divorced,Engineering,64,84,23.6,Bachelors,Y,0
Male,26,19,2,divorced,Marketing,75,79,9.4,Bachelors,N,0
Female,45,29,1,single,Finance,58,80,22.4,Masters,N,0
Female,40,24,1,married,HR,64,71,20.3,Bachelors,N,0
Male,50,17,3,single,Engineering,78,72,33.8,Bachelors,N,1
Female,54,22,1,single,IT,67,84,31.4,Masters,Y,0
Male,32,26,3,divorced,Engineering,85,65,13.1,Bachelors,N,0
Female,40,21,1,married,Marketing,64,81,18.7,Bachelors,Y,0
Male,35,16,3,single,Marketing,98,53,17.7,Bachelors,N,1
Female,38,23,1,married,IT,57,64,17.5,Masters,N,0
Male,37,21,1,married,HR,73,50,17.3,Bachelors,N,1
Male,29,16,2,single,Marketing,84,73,12.0,Bachelors,N,0
Female,32,26,1,married,HR,77,88,9.5,Bachelors,Y,0
Male,40,23,1,single,HR,65,52,18.2,Bachelors,N,0
Male,41,18,2,single,Engineering,78,71,21.3,Bachelors,N,1
Female,35,33,1,married,HR,79,85,14.8,Bachelors,Y,0
Female,49,24,2,divorced,Marketing,50,75,31.1,Bachelors,N,0
Female,36,21,2,divorced,Marketing,68,99,20.0,Bachelors,Y,0
Female,44,30,1,married,Finance,52,62,22.2,Bachelors,Y,0
Male,42,16,3,single,HR,70,65,27.6,Masters,N,1
Male,35,21,2,married,Finance,81,35,14.0,Bachelors,N,1
Male,39,17,1,single,Engineering,77,74,19.0,Bachelors,N,0
