Applicant_ID,Gender,Age,Ethnicity,Income,Education_Level,Employment_Status,Credit_Score,Loan_Amount,Region,Marital_Status,Loan_Approved
A00040,Male,28,Hispanic,82328.61497564414,High School,Self-employed,583,18375.481252588495,Suburban,Married,Yes
A00041,Non-binary,41,Other,79274.75754346214,Bachelor,Self-employed,385,17475.047936946936,Suburban,Divorced,Yes
A00042,Non-binary,48,White,30437.725712246214,Bachelor,Employed,401,19826.98235120352,Urban,Divorced,Yes
A00043,Male,30,White,66209.58554011867,PhD,Self-employed,830,19448.86803354413,Suburban,Divorced,Yes
A00044,Male,33,Hispanic,62934.94944410451,Master,Unemployed,362,21374.902610933255,Rural,Married,Yes
A00045,Non-binary,41,White,66599.17575680869,High School,Unemployed,849,18995.188747677,Urban,Divorced,Yes
A00046,Female,30,Hispanic,44917.7504041788,PhD,Employed,707,17831.70153221931,Suburban,Divorced,Yes
A00047,Male,41,Black,37661.609761756816,Bachelor,Self-employed,472,23891.1115846871,Urban,Single,Yes
A00048,Female,43,Hispanic,50479.799999582974,Master,Employed,820,23014.367397168517,Suburban,Married,Yes
A00049,Female,19,Hispanic,58044.10005831594,PhD,Self-employed,820,19837.87154128869,Suburban,Single,Yes
A00050,Female,33,Other,83699.68895200631,Master,Employed,832,25975.517123832888,Urban,Divorced,Yes
A00051,Male,55,White,96346.21639451213,PhD,Employed,323,20413.2449612205,Suburban,Divorced,Yes
A00052,Female,63,Black,87931.95692446356,Master,Employed,394,19194.136779646688,Rural,Married,Yes
A00053,Male,18,Asian,77203.70421563688,Master,Unemployed,595,19657.042552725467,Suburban,Divorced,Yes
A00054,Female,66,Hispanic,39913.194754008204,High School,Self-employed,479,20825.586483129602,Urban,Married,No
A00055,Non-binary,28,Asian,51822.07650021009,Master,Self-employed,430,15413.99968606733,Urban,Divorced,Yes
A00056,Non-binary,68,White,64198.52104825996,Bachelor,Unemployed,832,10631.860375489217,Suburban,Divorced,Yes
A00057,Male,52,Hispanic,47351.2192384765,High School,Unemployed,307,21407.3556909141,Rural,Single,No
A00058,Non-binary,60,Asian,71544.11305055901,Master,Self-employed,500,24170.179057483176,Suburban,Divorced,Yes
A00059,Non-binary,46,Other,74409.72216508575,Bachelor,Self-employed,684,14995.207805456044,Suburban,Single,Yes
A00060,Female,54,Asian,70725.80125130937,Bachelor,Employed,825,25365.363835117492,Suburban,Single,Yes
A00061,Male,34,Other,80502.69209115164,PhD,Employed,847,11767.720826695911,Suburban,Divorced,Yes
A00062,Female,56,Black,41908.17572573852,High School,Self-employed,705,17206.058636306923,Rural,Single,No
A00063,Female,59,White,78656.57408184395,High School,Self-employed,672,28530.079111087463,Suburban,Married,Yes
A00064,Female,45,Asian,46087.090997596075,PhD,Employed,463,21779.682429355962,Rural,Single,Yes
A00065,Female,46,Hispanic,41181.280947142295,PhD,Unemployed,822,18487.61228808082,Suburban,Married,Yes
A00066,Female,60,White,70642.32268372763,PhD,Self-employed,653,21261.429176491143,Rural,Single,Yes
A00067,Female,20,Asian,84317.47124397961,High School,Self-employed,708,25981.7159962538,Suburban,Single,Yes
A00068,Female,69,Hispanic,69760.2697275202,Bachelor,Unemployed,810,12774.200388189018,Urban,Single,Yes
A00069,Male,27,Hispanic,60416.080475450886,Bachelor,Unemployed,511,26589.29875139345,Suburban,Divorced,Yes
A00070,Non-binary,59,Hispanic,66203.07652203014,Master,Unemployed,644,17549.8173445241,Suburban,Divorced,Yes
A00071,Female,31,Hispanic,62728.5383613456,High School,Self-employed,310,23541.924631481386,Urban,Divorced,No
A00072,Female,29,Asian,37480.98207729212,High School,Self-employed,635,16928.882203917186,Urban,Divorced,Yes
A00073,Female,64,Black,35147.597101101695,PhD,Self-employed,639,28418.61660777658,Suburban,Married,Yes
A00074,Female,59,Other,58423.4824105309,High School,Employed,557,19844.18498416955,Rural,Single,No
A00075,Female,47,Other,61597.13671538608,High School,Unemployed,353,13355.916257135821,Urban,Divorced,Yes
A00076,Female,49,Other,60226.64756735468,Bachelor,Unemployed,595,22350.38212477546,Urban,Single,Yes
A00077,Non-binary,49,Black,73522.03227299827,High School,Employed,516,26506.14990896875,Urban,Divorced,Yes
A00078,Non-binary,59,Hispanic,55690.465676713204,Bachelor,Employed,687,25941.315876861838,Urban,Married,Yes
A00079,Female,49,Hispanic,71259.58363809712,Bachelor,Employed,406,20467.50185090899,Urban,Single,Yes
A00080,Non-binary,43,White,57108.264653471044,High School,Employed,772,24060.376617783226,Urban,Married,Yes
A00081,Male,68,Other,96467.17924072933,Bachelor,Unemployed,307,17892.159604801225,Suburban,Divorced,Yes
A00082,Female,18,Other,61614.27453452894,PhD,Employed,843,22955.188272755066,Suburban,Single,Yes
A00083,Male,59,Hispanic,106814.45223051355,Bachelor,Employed,467,21814.06458064139,Urban,Divorced,Yes
A00084,Male,19,Other,67040.23182181729,High School,Unemployed,630,5523.669900654873,Rural,Divorced,Yes
A00085,Female,34,Hispanic,55726.456588235684,PhD,Unemployed,336,14996.972460593688,Rural,Married,Yes
A00086,Non-binary,47,Hispanic,42011.04047480651,PhD,Unemployed,530,21039.22300549237,Rural,Married,Yes
A00087,Male,56,Hispanic,31142.22851884613,High School,Unemployed,482,20824.97365878175,Suburban,Single,No
A00088,Female,24,Asian,40171.15431207686,Master,Self-employed,591,19854.612544870095,Suburban,Divorced,Yes
A00089,Male,69,Asian,42407.8738167202,Bachelor,Self-employed,821,20446.87309321151,Suburban,Single,Yes
A00090,Male,44,Asian,67896.40040824353,Bachelor,Self-employed,369,26038.338267100247,Suburban,Single,No
A00091,Male,26,Asian,49476.692578796254,Master,Self-employed,536,21770.61109324174,Urban,Divorced,Yes
A00092,Male,39,Black,63738.54105108995,PhD,Unemployed,763,8336.869088305875,Urban,Married,Yes
A00093,Non-binary,51,White,85639.56724753372,Master,Self-employed,417,29738.5482123712,Rural,Single,Yes
A00094,Male,63,White,58243.83296730293,High School,Employed,490,10467.269480077897,Rural,Single,Yes
A00095,Male,66,Hispanic,101583.13396933608,Master,Employed,805,24790.71312854362,Urban,Single,Yes
A00096,Male,18,Other,36483.780393216046,PhD,Employed,803,12178.405807543168,Rural,Divorced,Yes
A00097,Non-binary,26,Asian,56988.329032501446,High School,Self-employed,700,27117.199884349106,Suburban,Single,Yes
A00098,Male,37,White,49213.741527780425,High School,Self-employed,616,18610.004769584248,Rural,Married,Yes
A00099,Male,36,White,78730.13212114015,High School,Employed,521,21921.387780580466,Suburban,Married,Yes
A00100,Non-binary,53,Asian,20000.0,Bachelor,Self-employed,488,10069.200357640117,Rural,Divorced,No
A00101,Non-binary,57,Black,31137.694216443775,Bachelor,Unemployed,591,23647.815826465703,Suburban,Divorced,Yes
A00102,Non-binary,62,Black,57853.06355098075,High School,Self-employed,522,22081.511060383353,Rural,Divorced,No
A00103,Male,21,White,91027.55442018986,Master,Employed,716,23086.616333953254,Suburban,Divorced,Yes
A00104,Non-binary,26,Black,64516.83668074614,Bachelor,Employed,706,24748.083118024137,Urban,Married,Yes
A00105,Non-binary,58,Asian,32969.05091471532,PhD,Self-employed,337,20892.54434749317,Urban,Divorced,No
A00106,Male,39,White,36056.6681461954,Bachelor,Self-employed,752,18946.45964985832,Suburban,Single,Yes
A00107,Non-binary,35,Asian,93459.79405689906,Master,Employed,506,15945.465767002093,Urban,Married,Yes
A00108,Male,29,Black,47577.30402407519,Bachelor,Employed,699,17784.428947615415,Rural,Divorced,Yes
A00109,Female,59,Asian,41140.73255100472,Master,Self-employed,486,26032.473097609924,Urban,Divorced,Yes
A00110,Non-binary,60,Black,89547.45121261722,Master,Self-employed,659,15811.051880507423,Suburban,Single,Yes
A00111,Female,56,Black,80221.94011173982,Bachelor,Employed,305,10784.521138133407,Urban,Married,Yes
A00112,Male,26,Asian,85481.19286533592,Master,Employed,432,15062.33536633958,Rural,Married,Yes
A00113,Non-binary,23,Black,40999.16239468367,Master,Employed,772,23030.21339845518,Suburban,Single,Yes
A00114,Male,36,Hispanic,29497.887179712787,PhD,Employed,812,18485.738781979497,Urban,Single,Yes
A00115,Female,65,Asian,62663.329787254115,High School,Employed,382,23022.468281543228,Urban,Divorced,Yes
A00116,Male,64,Hispanic,66702.52266147328,High School,Employed,676,9997.694597843074,Urban,Single,Yes
A00117,Non-binary,24,Asian,67292.03607409664,Bachelor,Employed,634,5087.290437983094,Rural,Single,Yes
A00118,Non-binary,33,Black,89563.67871278003,Master,Self-employed,401,21320.54284853249,Urban,Single,Yes
A00119,Female,22,Black,25324.658199835038,Bachelor,Unemployed,587,25023.46443367499,Rural,Married,Yes
A00120,Male,33,White,77193.90102595532,Bachelor,Unemployed,330,11445.023887014948,Suburban,Married,Yes
A00121,Non-binary,18,White,38067.499117053645,High School,Self-employed,613,22630.21609669913,Rural,Single,Yes
A00122,Female,68,Hispanic,77114.70641721682,Master,Unemployed,453,25951.31786789355,Urban,Single,Yes
A00123,Non-binary,54,Black,50500.86590957245,Bachelor,Self-employed,452,19978.082290445647,Suburban,Married,Yes
A00124,Non-binary,56,White,43720.56408218977,Bachelor,Self-employed,531,24505.454196681017,Urban,Single,Yes
A00125,Male,36,Black,47801.945861015956,High School,Self-employed,420,20952.0381707569,Urban,Single,Yes
A00126,Non-binary,54,Asian,31087.79598446875,High School,Self-employed,484,18685.328123632222,Rural,Married,No
A00127,Male,34,White,60808.578796669346,High School,Unemployed,755,24105.077705044394,Urban,Single,Yes
A00128,Non-binary,43,Hispanic,44546.53218679086,Bachelor,Self-employed,687,29563.987927912414,Rural,Single,Yes
A00129,Female,39,White,75725.96461800557,Master,Employed,525,17210.79428891055,Suburban,Married,Yes
A00130,Non-binary,25,Black,72801.12162065835,High School,Self-employed,494,19561.341664918837,Suburban,Divorced,Yes
A00131,Male,50,Other,93763.14105805581,High School,Unemployed,325,15046.572726033744,Suburban,Single,No
A00132,Male,19,Other,67326.54967082155,Master,Unemployed,493,20776.06772223067,Urban,Single,Yes
A00133,Female,47,Black,70413.55534160147,Bachelor,Unemployed,318,19218.003152747915,Rural,Single,Yes
A00134,Non-binary,64,Asian,88001.99623655627,Bachelor,Unemployed,836,25792.25971685094,Urban,Divorced,Yes
A00135,Non-binary,37,White,47446.74607946607,Master,Employed,563,27098.740843324398,Urban,Married,Yes
A00136,Female,35,Other,30234.83574353935,High School,Self-employed,814,23939.92726643538,Rural,Married,Yes
A00137,Non-binary,60,Asian,64001.88118256787,PhD,Employed,770,25233.821721906937,Urban,Married,Yes
A00138,Non-binary,27,Black,31547.33061571192,Master,Self-employed,538,16475.81891660624,Suburban,Married,No
A00139,Male,41,Asian,109078.7734585078,PhD,Self-employed,588,15225.340409499,Rural,Single,Yes
A00140,Non-binary,21,Black,89109.96584157887,Bachelor,Employed,667,22184.08687862258,Suburban,Divorced,Yes
A00141,Non-binary,54,White,103279.52666603161,Bachelor,Employed,711,20100.101286306428,Urban,Divorced,Yes
A00142,Female,21,Asian,61248.939533262586,PhD,Unemployed,321,29995.94440658824,Urban,Married,No
A00143,Female,30,White,71011.47187403195,High School,Self-employed,653,10391.777585356238,Suburban,Married,Yes
A00144,Male,42,Asian,50810.49136094712,PhD,Self-employed,841,23097.904031019763,Urban,Single,Yes
A00145,Non-binary,30,Black,77658.49611173503,High School,Self-employed,719,23015.25392574471,Urban,Married,Yes
A00146,Non-binary,35,Black,35689.13575897886,Master,Self-employed,614,16190.211018751272,Rural,Married,Yes
A00147,Non-binary,41,Asian,20000.0,Bachelor,Self-employed,628,15162.1141749842,Rural,Married,Yes
A00148,Male,19,Black,44185.78761022867,Bachelor,Self-employed,769,18303.690808805495,Suburban,Married,Yes
A00149,Male,65,Hispanic,30890.530487653683,PhD,Unemployed,762,11792.443923761923,Urban,Divorced,Yes
A00150,Female,50,Hispanic,89558.5347231907,Master,Self-employed,739,27286.664020675555,Suburban,Married,Yes
A00151,Male,36,White,96313.54910160633,PhD,Unemployed,547,33503.64473340269,Urban,Married,Yes
A00152,Non-binary,26,Hispanic,31941.41855173778,PhD,Self-employed,470,18293.578358148898,Rural,Single,Yes
A00153,Non-binary,45,Hispanic,85834.31215042478,PhD,Self-employed,578,16803.524104002132,Rural,Married,Yes
A00154,Male,52,Other,79027.69967001541,High School,Employed,447,13445.70824768948,Urban,Married,Yes
A00155,Non-binary,56,Other,28604.466305622474,Bachelor,Self-employed,442,14519.316222415697,Rural,Single,No
A00156,Non-binary,27,Other,52194.649381367635,Bachelor,Employed,370,17052.777891651145,Rural,Single,Yes
A00157,Male,18,Other,48396.725557509606,PhD,Employed,610,26043.839704238173,Urban,Married,Yes
A00158,Male,59,Black,74959.907972544,High School,Employed,766,35965.03642708154,Rural,Single,Yes
A00159,Non-binary,38,White,35424.412981899724,Bachelor,Unemployed,340,16385.870179374404,Urban,Single,No
A00160,Non-binary,26,White,58022.54748681035,High School,Employed,655,15489.733013508694,Suburban,Married,Yes
A00161,Non-binary,64,Hispanic,46281.30992100764,Master,Employed,443,14160.033950437792,Urban,Divorced,Yes
A00162,Female,32,White,69466.82366770286,High School,Employed,578,22253.947145379152,Suburban,Single,Yes
A00163,Female,52,Hispanic,55664.159366241416,High School,Self-employed,770,21721.104559189753,Urban,Married,Yes
A00164,Female,22,White,49295.0859211921,Master,Unemployed,357,20504.629011570683,Urban,Single,No
A00165,Male,58,Asian,55734.06848735844,Bachelor,Unemployed,467,17778.48141465561,Urban,Divorced,Yes
A00166,Female,39,Asian,100720.85665680224,Bachelor,Unemployed,465,26796.02349581846,Urban,Divorced,Yes
A00167,Male,58,White,51662.00727761222,High School,Unemployed,672,23821.3051465389,Urban,Married,Yes
A00168,Male,40,Black,39179.89563432426,High School,Self-employed,381,23604.319099243836,Suburban,Divorced,No
A00169,Female,24,Hispanic,71668.6713831193,Master,Employed,433,21851.193134979138,Rural,Married,Yes
A00170,Female,40,White,57129.50661154087,Master,Self-employed,663,19053.05588790034,Urban,Married,Yes
A00171,Female,61,Hispanic,31695.32138267055,Bachelor,Unemployed,784,16424.158679321663,Suburban,Single,Yes
A00172,Non-binary,42,Other,104629.92670404931,Bachelor,Self-employed,345,22599.525077717648,Suburban,Married,Yes
A00173,Female,44,White,52950.421088267045,Master,Self-employed,561,22115.813288022968,Urban,Single,Yes
A00174,Non-binary,58,Black,52442.610920772975,High School,Unemployed,768,22835.955683094093,Urban,Single,Yes
A00175,Male,23,Other,63196.70703816195,Master,Employed,521,12177.8300758455,Urban,Single,Yes
A00176,Non-binary,51,White,94602.33538417678,Bachelor,Self-employed,391,21696.390714854966,Suburban,Single,Yes
A00177,Female,26,Asian,26405.093469620086,High School,Unemployed,318,18456.665763293273,Urban,Married,No
A00178,Male,66,White,65519.71698841079,PhD,Self-employed,569,15607.013968648702,Urban,Divorced,Yes
A00179,Male,50,Asian,101745.44323587255,PhD,Self-employed,714,23642.134721099945,Rural,Married,Yes
A00180,Male,68,Asian,62574.573614792964,Master,Self-employed,546,20886.351951494416,Suburban,Divorced,Yes
A00181,Non-binary,23,White,35293.32041393041,Bachelor,Employed,601,31770.616931968885,Urban,Married,Yes
A00182,Female,54,White,47632.06294078695,High School,Self-employed,315,22422.41080549676,Suburban,Single,No
A00183,Male,48,Asian,64137.65059513581,PhD,Self-employed,802,18513.896860419456,Urban,Single,Yes
A00184,Male,51,Hispanic,86616.07831279724,High School,Employed,694,19458.572487780508,Urban,Married,Yes
A00185,Male,58,Other,53213.283111678786,High School,Self-employed,483,14140.49365183593,Suburban,Divorced,Yes
A00186,Non-binary,46,Black,76533.03594864864,High School,Self-employed,740,26154.240892598544,Suburban,Married,Yes
A00187,Non-binary,31,White,31292.623459062215,High School,Employed,549,21574.926428529776,Suburban,Married,Yes
A00188,Female,53,Other,31125.63260809891,Master,Unemployed,675,21660.648401465725,Suburban,Divorced,Yes
A00189,Non-binary,53,Other,50343.98622630101,High School,Self-employed,757,14678.907679051626,Rural,Single,Yes
A00190,Male,32,Hispanic,88760.57443746524,PhD,Unemployed,387,23895.005913793135,Suburban,Single,Yes
A00191,Female,25,Other,61377.492790275384,PhD,Unemployed,645,15323.010157832687,Urban,Single,Yes
A00192,Male,43,White,65796.22391133239,Master,Unemployed,689,17230.452444132465,Urban,Divorced,Yes
A00193,Male,53,Other,65561.59191147055,PhD,Employed,479,20627.189501316345,Suburban,Single,Yes
A00194,Non-binary,65,White,82184.15965173462,High School,Employed,675,17095.27266018975,Suburban,Single,Yes
A00195,Female,38,White,47795.586149242925,PhD,Self-employed,482,16038.348447372106,Suburban,Single,Yes
A00196,Non-binary,45,Asian,73765.70216976464,Bachelor,Unemployed,628,19749.323507839654,Suburban,Divorced,Yes
A00197,Non-binary,21,Hispanic,43382.3467228974,High School,Employed,789,25050.034018670318,Suburban,Divorced,Yes
A00198,Female,33,Black,99665.4531184152,Master,Employed,499,24475.38131661431,Urban,Single,Yes
A00199,Male,39,Asian,43992.177914066204,Bachelor,Unemployed,778,23537.07774138778,Rural,Married,Yes
A00200,Male,29,Black,42352.21393842758,PhD,Employed,754,22431.199167789026,Suburban,Married,Yes
A00201,Female,33,White,70993.396269761,Bachelor,Unemployed,739,17622.17970379318,Suburban,Single,Yes
A00202,Male,68,Asian,61595.768628646474,PhD,Employed,798,25604.362913963112,Suburban,Divorced,Yes
A00203,Female,57,Other,66537.04812521869,PhD,Unemployed,455,11320.487315232482,Suburban,Single,Yes
A00204,Female,55,Other,64546.27590984636,PhD,Employed,758,22168.94635818874,Rural,Single,Yes
A00205,Non-binary,59,Black,38192.156023851225,Master,Employed,482,24206.47492057827,Rural,Married,No
A00206,Female,54,White,92267.17858158969,Bachelor,Employed,735,19548.542155494106,Urban,Married,Yes
A00207,Non-binary,46,Black,77870.8441177822,Master,Employed,345,16388.541176236664,Suburban,Single,No
A00208,Male,35,Hispanic,87178.99902534232,PhD,Unemployed,543,19814.70488640144,Suburban,Single,Yes
A00209,Male,27,Other,49433.38221779151,High School,Self-employed,455,16212.024846426044,Urban,Divorced,Yes
A00210,Male,59,Asian,68330.47089430343,High School,Self-employed,693,22571.30328841572,Urban,Married,Yes
A00211,Male,56,Asian,63947.36924469382,Master,Employed,548,24728.66828996487,Suburban,Single,Yes
A00212,Non-binary,35,Asian,82560.05252403015,High School,Self-employed,554,22233.44890984328,Rural,Married,Yes
A00213,Male,18,Other,83204.96263659238,Bachelor,Employed,661,21935.677751613224,Urban,Married,Yes
A00214,Female,56,White,63861.0160591623,High School,Self-employed,676,23801.58778404494,Suburban,Single,Yes
A00215,Female,38,Other,29640.977363134967,High School,Employed,452,24379.446532944596,Suburban,Married,Yes
A00216,Female,18,Other,95593.23774175378,PhD,Self-employed,539,16108.631452397498,Suburban,Single,Yes
A00217,Non-binary,32,Asian,71119.74867380278,Bachelor,Self-employed,759,12310.033616862667,Urban,Single,Yes
A00218,Male,21,Other,47831.25917217716,Bachelor,Employed,451,21389.433286270025,Urban,Divorced,Yes
A00219,Male,37,Asian,68130.8427653339,High School,Self-employed,739,24621.92848880384,Urban,Married,Yes
A00220,Male,27,White,29778.12903094953,PhD,Employed,539,12095.507758277785,Suburban,Divorced,No
A00221,Non-binary,40,Hispanic,81107.06134942088,High School,Self-employed,482,20344.160381748472,Urban,Married,Yes
A00222,Female,58,Asian,30575.76511441694,High School,Unemployed,609,25641.678398639757,Suburban,Divorced,Yes
A00223,Female,51,Black,55583.31015925835,Master,Unemployed,558,19417.709519150125,Rural,Single,Yes
A00224,Male,63,Hispanic,64889.08899211099,PhD,Unemployed,759,27605.67147369842,Rural,Married,Yes
A00225,Female,65,White,80776.79423964187,Master,Employed,730,26669.194620726656,Rural,Divorced,Yes
A00226,Female,50,Hispanic,62130.893528687484,High School,Employed,799,19086.43726621361,Urban,Single,Yes
A00227,Non-binary,51,Asian,72699.257472251,High School,Employed,375,18161.301482088726,Suburban,Single,Yes
A00228,Non-binary,56,White,59436.66183100894,PhD,Unemployed,596,18253.320016683763,Urban,Married,Yes
A00229,Non-binary,27,Black,59356.280981114345,Bachelor,Self-employed,661,20674.274645129542,Rural,Married,Yes
A00230,Non-binary,37,Asian,61709.54500696595,High School,Employed,482,14132.482687087018,Suburban,Divorced,Yes
A00231,Male,18,Asian,56218.84158295251,High School,Unemployed,358,13208.144677146258,Rural,Single,No
A00232,Non-binary,30,White,26268.59513837129,Master,Employed,705,8642.526174184379,Suburban,Single,Yes
A00233,Female,18,White,44633.53012606743,Master,Employed,826,19894.235133937236,Urban,Married,Yes
A00234,Male,22,Hispanic,64895.49682223397,PhD,Self-employed,486,30194.424675776143,Suburban,Single,Yes
A00235,Female,33,Black,55017.57993022562,Master,Employed,324,10047.410255284223,Rural,Divorced,Yes
A00236,Female,32,Hispanic,56883.818356361866,Bachelor,Employed,598,19079.185612628615,Suburban,Single,Yes
A00237,Female,66,Hispanic,53532.92661122569,High School,Self-employed,491,18928.96299587831,Suburban,Single,Yes
A00238,Non-binary,45,Asian,42728.03214536364,Master,Employed,430,19239.66874737875,Rural,Single,Yes
A00239,Non-binary,48,White,50138.01078047412,Bachelor,Employed,803,26284.006246983463,Rural,Divorced,Yes
A00240,Male,40,Asian,53863.36511222811,High School,Self-employed,506,15557.985621283453,Rural,Married,Yes
A00241,Male,65,Black,60102.86281083699,High School,Employed,537,10268.734034996822,Rural,Married,Yes
A00242,Non-binary,62,Hispanic,67867.56688939425,Bachelor,Employed,491,17328.5847425206,Suburban,Single,Yes
A00243,Female,60,Black,56388.99418228522,High School,Unemployed,327,16660.828319758264,Suburban,Single,Yes
A00244,Male,34,White,39406.89488615161,Bachelor,Self-employed,406,8845.434959796152,Rural,Divorced,No
A00245,Non-binary,66,White,32038.359201624335,Bachelor,Unemployed,522,21227.433647517602,Suburban,Divorced,Yes
A00246,Non-binary,51,Other,111948.74414750448,Master,Self-employed,679,14069.9368639635,Rural,Divorced,Yes
A00247,Non-binary,30,Black,37403.69939470874,PhD,Employed,728,19584.502425550985,Suburban,Single,Yes
A00248,Female,31,Asian,49627.499974712344,Bachelor,Unemployed,383,18185.799705909158,Urban,Married,Yes
A00249,Non-binary,28,Black,70340.0060502787,Master,Unemployed,797,14629.920143051593,Suburban,Married,Yes
A00250,Non-binary,45,Hispanic,67217.21219131362,High School,Unemployed,536,24453.13588095092,Rural,Single,No
A00251,Non-binary,59,White,70417.31385123145,Master,Unemployed,448,18592.700481292464,Urban,Single,Yes
A00252,Non-binary,49,White,51145.65860935649,Bachelor,Self-employed,334,20271.357835144387,Urban,Divorced,Yes
A00253,Male,52,Black,64771.16141279094,Master,Employed,396,22932.03128251389,Rural,Married,Yes
A00254,Male,48,Black,61226.87328481727,PhD,Employed,532,21442.508228580715,Rural,Married,Yes
A00255,Non-binary,34,Black,53757.37264917426,High School,Unemployed,706,20725.00056291589,Suburban,Single,Yes
A00256,Female,64,Hispanic,64908.194835426795,Master,Employed,824,15879.04018155613,Suburban,Single,Yes
A00257,Male,26,Hispanic,81107.31093501413,High School,Employed,788,14438.773671728268,Urban,Single,Yes
A00258,Non-binary,27,Asian,59555.995531293505,Bachelor,Self-employed,703,20789.237557945886,Suburban,Divorced,Yes
A00259,Male,25,Black,59689.056927128506,PhD,Employed,522,15190.422447013982,Suburban,Married,Yes
A00260,Male,38,Asian,81363.22069751969,PhD,Employed,702,23972.20554496364,Suburban,Married,Yes
A00261,Female,30,Other,79227.20719637626,Master,Employed,750,19352.30129423937,Urban,Single,Yes
A00262,Non-binary,67,Hispanic,91678.72881926966,High School,Employed,483,23243.060124919386,Suburban,Divorced,Yes
